,client_id,data_de_desembolso,limite,juros_am,retencao,default_60d,default_mar,limite_binado
62,0211bd4,2019-10-21,20700.0,3.59,11.3,0,0,5
63,021842e,2019-10-07,28700.0,3.59,13.5,1,1,5
64,02255b7,2019-10-07,11000.0,4.99,26.1,0,0,4
65,023b059,2019-09-06,40700.0,2.89,21.2,0,0,6
66,023c3dc,2019-10-10,13000.0,4.99,22.7,0,0,4
67,023cdfc,2019-09-25,32300.0,2.89,21.0,0,0,6
68,0248d04,2019-10-07,2800.0,6.39,8.9,0,0,2
69,0249ce2,2019-10-25,20700.0,1.89,6.9,1,0,5
70,0254dee,2019-10-28,8800.0,6.39,27.5,0,0,4
71,0261c08,2019-09-25,34500.0,2.89,19.3,0,0,6
72,026577c,2019-09-13,2300.0,4.99,8.0,0,0,2
73,026594c,2019-09-04,11000.0,3.59,17.4,0,0,4
74,026c1b3,2019-10-25,2800.0,6.39,8.9,0,0,2
75,028563e,2019-09-04,52400.0,1.89,23.3,0,0,6
76,028c264,2019-10-16,4400.0,6.39,27.5,0,0,3
77,0290f95,2019-09-16,9800.0,4.99,26.3,0,0,4
78,02a47bb,2019-09-23,27600.0,2.89,16.5,0,0,5
79,02adb3f,2019-10-07,69000.0,1.89,4.0,0,0,7
80,02ae998,2019-10-25,8300.0,6.39,21.5,0,0,4
81,02b457c,2019-10-30,6900.0,6.39,22.4,0,0,3
82,02b5885,2019-10-21,1900.0,6.39,9.3,0,0,1
83,02cad2e,2019-10-08,2100.0,6.39,7.6,0,0,2
84,02cfae0,2019-09-04,69000.0,1.89,6.4,0,0,7
85,02e4e74,2019-10-28,23200.0,3.59,21.7,0,0,5
86,02f3dbc,2019-10-16,5800.0,6.39,13.2,0,0,3
87,02f64b6,2019-10-21,5700.0,6.39,11.7,0,0,3
88,030048c,2019-10-28,800.0,6.39,16.2,0,0,1
89,030ee21,2019-10-02,3200.0,6.39,17.3,0,0,2
90,0316d6a,2019-09-10,10000.0,4.99,28.1,0,0,4
91,031b5e4,2019-09-25,40300.0,2.89,23.1,0,0,6
92,032269b,2019-09-25,5300.0,6.39,20.4,0,0,3
93,03233ee,2019-10-07,8300.0,6.39,17.2,0,1,4
94,0332e9c,2019-10-31,3500.0,6.39,23.8,1,1,2
95,033a046,2019-10-11,33100.0,2.89,21.2,0,0,6
96,033ac75,2019-09-26,7600.0,4.99,19.8,1,0,3
97,033cd78,2019-10-28,10700.0,6.39,33.8,0,0,4
98,033d958,2019-10-28,2400.0,6.39,8.3,0,0,2
99,034ddea,2019-09-20,35800.0,2.89,21.5,0,0,6
100,03504d7,2019-10-28,1100.0,6.39,10.3,0,0,1
101,035c01c,2019-10-07,34500.0,2.49,4.3,1,1,6
102,035f9e6,2019-09-20,2800.0,6.39,36.2,0,0,2
103,0360f00,2019-10-16,9700.0,4.99,11.1,0,0,4
104,036707b,2019-10-28,9100.0,6.39,22.5,0,0,4
105,036ee4a,2019-10-21,6200.0,5.69,16.5,0,0,3
106,03719a2,2019-10-03,24100.0,2.89,19.2,0,0,5
107,0372dbb,2019-10-08,8300.0,4.99,7.1,0,0,4
108,037c86b,2019-10-07,9200.0,6.39,14.6,0,0,4
109,0380a30,2019-09-19,17700.0,3.59,16.4,0,0,5
110,0386e9d,2019-09-18,27300.0,2.89,29.7,1,1,5
111,03b0aba,2019-10-17,7600.0,5.69,18.0,0,0,3
112,03b0bb3,2019-09-26,5200.0,6.39,20.7,0,0,3
113,03b4cec,2019-10-01,46900.0,2.89,19.5,0,0,6
114,03b8634,2019-09-25,7900.0,4.99,20.4,0,0,3
115,03b8e2c,2019-10-04,13300.0,6.39,17.9,0,0,4
116,03c4c49,2019-10-16,6800.0,6.39,18.6,0,0,3
117,03cd0c9,2019-09-05,24800.0,2.89,19.5,0,0,5
118,03d79f0,2019-09-25,6900.0,2.89,3.0,0,0,3
119,03d8011,2019-10-08,4000.0,6.39,21.1,0,0,3
120,03dd486,2019-09-20,5700.0,4.99,18.8,0,0,3
121,03df854,2019-10-31,4100.0,6.39,18.6,0,0,3
122,03e1eaf,2019-10-16,2800.0,6.39,28.0,0,0,2
123,03e2afe,2019-10-07,2900.0,6.39,10.5,0,0,2
124,03ec02e,2019-10-30,89700.0,1.89,35.5,0,1,7
125,03fccec,2019-10-16,6300.0,4.99,23.6,0,0,3
126,040a6e4,2019-10-08,4400.0,6.39,28.7,0,0,3
127,041199a,2019-10-28,5400.0,6.39,25.0,0,0,3
128,04271f1,2019-10-24,9700.0,5.69,15.6,0,0,4
129,043170e,2019-10-28,26900.0,3.59,22.2,0,0,5
130,04348ad,2019-10-16,2900.0,6.39,20.0,1,1,2
131,043a51c,2019-09-26,4600.0,6.39,24.4,1,1,3
132,043d7e3,2019-10-31,50600.0,2.89,20.4,0,0,6
133,04402a2,2019-10-28,10900.0,6.39,31.9,0,0,4
134,04441ea,2019-10-28,4200.0,6.39,35.0,0,0,3
135,04498f0,2019-10-01,20700.0,2.89,14.2,0,0,5
136,045df61,2019-10-02,19700.0,4.29,11.2,1,1,5
137,045f1e6,2019-10-21,15500.0,4.99,18.2,0,0,4
138,0461e1d,2019-09-13,31800.0,2.89,21.5,1,1,5
139,04660d5,2019-10-17,2800.0,6.39,19.7,0,1,2
140,0467cab,2019-10-21,3900.0,5.69,25.1,0,0,2
141,046d585,2019-10-28,1800.0,6.39,9.3,1,1,1
142,046d95f,2019-10-07,10100.0,6.39,15.8,0,0,4
143,047b1cf,2019-10-16,900.0,6.39,15.5,1,1,1
144,047bb54,2019-09-06,5200.0,6.39,30.6,0,0,3
145,04830df,2019-09-09,1400.0,4.99,6.3,1,0,1
146,048491a,2019-10-28,1500.0,6.39,22.8,0,0,1
147,049ea2f,2019-10-30,6300.0,6.39,24.6,0,0,3
148,049f843,2019-09-20,33100.0,2.89,28.0,0,0,6
149,04a11de,2019-10-16,20700.0,2.89,17.4,0,0,5
150,04a1a19,2019-10-28,69000.0,1.89,12.4,0,0,7
151,04a72a5,2019-09-18,65800.0,1.89,18.3,0,0,7
152,04ac313,2019-10-07,2800.0,4.99,9.6,0,0,2
153,04c18c8,2019-10-15,5900.0,4.99,8.7,0,0,3
154,04d4800,2019-09-16,5800.0,4.99,28.0,0,0,3
155,04daf35,2019-09-02,18200.0,3.59,23.2,0,0,5
156,04ef972,2019-10-28,15700.0,4.99,26.1,0,0,4
157,04f6840,2019-09-20,45300.0,2.89,20.9,1,1,6
158,0515f27,2019-09-11,4100.0,6.39,27.4,1,0,3
159,0523f97,2019-10-28,3500.0,6.39,18.8,1,1,2
160,052f537,2019-09-02,7800.0,4.99,30.7,0,0,3
161,0536c13,2019-09-26,20800.0,3.59,18.4,0,0,5
162,053a6e7,2019-10-16,9700.0,6.39,14.6,0,0,4
163,0558b84,2019-10-24,6600.0,4.99,15.7,0,0,3
164,056cd9a,2019-10-25,8600.0,4.99,21.8,1,1,4
165,0579d2c,2019-10-28,8300.0,6.39,20.1,0,1,4
166,057beb9,2019-10-09,26100.0,2.89,28.5,1,1,5
167,057c33c,2019-10-07,54700.0,1.89,20.3,0,0,6
168,057c48f,2019-09-16,26900.0,2.89,15.9,0,0,5
169,057d8cb,2019-10-31,8900.0,6.39,17.7,0,0,4
170,05834f1,2019-10-31,2800.0,6.39,12.3,0,0,2
171,05915f2,2019-10-28,6500.0,6.39,33.1,1,1,3
172,059ba15,2019-10-28,9700.0,6.39,17.9,0,0,4
173,05abbb3,2019-10-16,14900.0,4.29,13.9,0,0,4
174,05bb2e6,2019-10-16,11700.0,4.99,22.5,0,0,4
175,05bb51d,2019-09-25,69000.0,1.89,10.5,0,0,7
176,05c4337,2019-09-11,63200.0,1.89,15.8,0,0,6
177,05c4fa6,2019-10-01,3700.0,6.39,8.8,0,0,2
178,05ce37d,2019-09-02,48300.0,2.19,28.7,1,0,6
179,05dbc1a,2019-09-23,12400.0,4.99,18.7,0,0,4
180,05dedbc,2019-10-07,9500.0,6.39,24.3,0,0,4
181,05fe103,2019-09-06,5200.0,6.39,37.4,0,0,3
182,0620f2c,2019-09-25,34500.0,2.89,22.1,0,0,6
183,062e815,2019-09-12,11700.0,4.99,28.8,1,0,4
184,063f035,2019-10-07,8800.0,6.39,16.4,0,0,4
185,063f899,2019-10-25,5600.0,6.39,21.9,0,1,3
186,064772e,2019-10-11,13800.0,4.99,15.3,0,0,4
187,064bc78,2019-10-07,55200.0,2.49,5.6,1,0,6
188,067fb9e,2019-10-02,14700.0,6.39,21.7,0,0,4
189,068004b,2019-10-07,27600.0,2.89,18.5,0,0,5
190,0687e2c,2019-09-20,69000.0,1.89,14.8,0,0,7
191,068ccb4,2019-10-28,36500.0,3.59,14.0,0,0,6
192,068df27,2019-10-07,69000.0,1.89,15.2,0,0,7
193,069bdda,2019-10-16,4400.0,6.39,18.9,0,0,3
194,06ac288,2019-10-31,59300.0,1.89,17.4,0,0,6
195,06b7f6c,2019-09-25,22100.0,2.89,18.3,0,0,5
196,06ce9da,2019-10-02,44200.0,2.89,21.2,0,0,6
197,06d170a,2019-10-28,2800.0,4.99,3.9,1,1,2
198,06daee2,2019-10-15,17800.0,3.59,14.1,1,0,5
199,06dbd45,2019-10-02,3800.0,6.39,17.7,1,1,2
200,06e271e,2019-10-11,8500.0,4.99,21.1,0,0,4
201,06ebbd1,2019-10-31,19600.0,4.99,23.8,1,1,5
202,06f35bc,2019-10-31,1200.0,6.39,8.4,1,0,1
203,06f6ff1,2019-09-30,13800.0,4.99,12.3,0,1,4
204,06fff4d,2019-10-04,6900.0,2.89,3.9,0,0,3
205,070ee42,2019-09-04,15200.0,4.29,23.5,0,0,4
206,07147a6,2019-10-24,3400.0,5.69,21.0,0,0,2
207,071aa50,2019-10-28,20700.0,3.59,17.8,0,0,5
208,071f30e,2019-10-31,5200.0,6.39,15.3,0,0,3
209,07280ca,2019-10-15,10200.0,4.99,24.8,0,0,4
210,072cc1a,2019-10-07,61200.0,1.89,19.7,0,0,6
211,0731ab3,2019-10-17,27600.0,3.59,13.5,0,0,5
212,0731f20,2019-09-12,69000.0,1.89,15.5,0,0,7
213,0742cc5,2019-10-07,24800.0,3.59,19.3,0,1,5
214,0751a70,2019-09-23,14700.0,4.99,22.0,0,0,4
215,07706fc,2019-09-02,7000.0,4.99,25.3,0,0,3
216,0770ee1,2019-10-31,4900.0,6.39,15.1,0,0,3
217,078688c,2019-10-15,6900.0,5.69,18.9,0,0,3
218,07895b7,2019-10-04,13500.0,6.39,16.8,0,0,4
219,078bae6,2019-09-03,44900.0,2.89,35.4,0,0,6
220,078e7f6,2019-10-31,800.0,6.39,13.9,0,0,1
221,07b012c,2019-09-25,20700.0,2.89,15.1,0,0,5
222,07b6ca3,2019-10-07,2800.0,6.39,18.3,0,0,2
223,07b77ca,2019-10-28,8900.0,4.99,25.3,0,0,4
224,07b9358,2019-10-08,27600.0,2.89,14.7,0,0,5
225,07c5653,2019-09-05,700.0,7.09,8.8,0,0,1
226,07cbf31,2019-10-08,45200.0,3.59,15.1,0,0,6
227,07cf4fe,2019-10-29,9700.0,6.39,33.6,0,0,4
228,07d1d63,2019-10-21,8300.0,5.69,18.5,0,0,4
229,07d4896,2019-09-13,9700.0,4.99,32.3,0,0,4
230,07d632e,2019-10-25,5600.0,6.39,21.1,0,0,3
231,07dd361,2019-10-28,3400.0,6.39,19.2,0,0,2
232,07e704d,2019-09-03,10400.0,4.99,25.8,1,1,4
233,07f539a,2019-09-25,10800.0,4.99,26.5,0,0,4
234,080b6b8,2019-10-07,13800.0,6.39,17.6,0,0,4
235,080de1c,2019-10-16,700.0,6.39,15.4,1,1,1
236,08213a0,2019-09-25,11600.0,4.99,21.6,1,1,4
237,083ab5c,2019-10-31,10400.0,6.39,17.7,0,0,4
238,083c795,2019-09-23,8900.0,4.99,19.8,0,0,4
239,08416a6,2019-10-28,2500.0,6.39,21.8,0,0,2
240,085d806,2019-10-22,4100.0,4.99,17.3,0,0,3
241,0868f00,2019-10-16,4100.0,6.39,8.6,0,0,3
242,086b6d7,2019-10-28,2500.0,4.99,12.0,0,0,2
243,087f870,2019-10-16,5500.0,6.39,15.1,0,0,3
244,0882bcf,2019-09-20,9200.0,4.99,16.6,0,1,4
245,08a0b4f,2019-10-28,5900.0,6.39,26.5,0,0,3
246,08a4051,2019-09-25,11800.0,4.29,22.4,1,1,4
247,08a9ed9,2019-10-30,16600.0,4.29,20.4,0,0,5
248,08b1aa3,2019-09-12,69000.0,1.89,13.9,0,0,7
249,08b28e9,2019-10-10,69000.0,1.89,14.2,0,0,7
250,08b79fa,2019-10-16,2500.0,5.69,11.0,0,0,2
251,08b97b3,2019-10-23,47500.0,3.59,14.4,0,0,6
252,08d12c5,2019-10-07,7900.0,4.99,19.9,0,0,3
253,08d663b,2019-10-16,33900.0,2.89,17.0,0,0,6
254,08d9275,2019-10-07,20700.0,3.59,5.0,1,1,5
255,08da36b,2019-09-26,13100.0,4.99,17.9,0,0,4
256,08dffc3,2019-10-16,5200.0,5.69,13.2,0,0,3
257,08ec5ea,2019-10-01,40000.0,2.89,26.2,0,0,6
258,08edf91,2019-10-18,4500.0,5.69,20.7,0,0,3
259,08f5826,2019-10-07,69000.0,1.89,10.9,1,1,7
260,08f5a43,2019-10-29,300.0,5.69,19.6,0,0,1
261,08f6844,2019-10-03,13400.0,4.99,21.8,0,1,4
262,08f7ff4,2019-10-25,9000.0,3.59,9.8,0,0,4
263,08fe218,2019-09-26,34500.0,2.89,13.6,0,0,6
264,090414a,2019-09-30,42200.0,2.89,18.7,0,0,6
265,0916b93,2019-10-17,6900.0,4.99,23.1,1,0,3
266,091f5af,2019-10-31,4200.0,6.39,22.1,0,0,3
267,092ac7c,2019-10-28,1400.0,6.39,23.2,0,0,1
268,093656c,2019-09-30,5500.0,4.99,11.9,0,0,3
269,0938b9e,2019-10-23,11900.0,4.29,25.8,1,0,4
270,093da73,2019-10-15,11000.0,4.29,23.1,0,0,4
271,094f54a,2019-09-23,38600.0,2.89,15.4,0,0,6
272,09565ca,2019-10-16,19100.0,3.59,18.3,1,1,5
273,09568f6,2019-09-02,11000.0,4.29,23.7,0,0,4
274,0959b98,2019-09-30,55200.0,1.89,25.2,1,1,6
275,095a07e,2019-10-28,4200.0,6.39,22.2,0,1,3
276,09664d0,2019-10-31,4400.0,6.39,16.6,0,0,3
277,0976a96,2019-10-25,4700.0,6.39,29.2,0,0,3
278,0976d04,2019-10-15,20000.0,3.59,20.1,0,0,5
279,0979a54,2019-10-11,46700.0,2.89,18.0,0,0,6
280,097bca7,2019-10-23,3900.0,6.39,16.1,1,1,2
281,097d542,2019-10-28,4100.0,5.69,17.4,0,0,3
282,0988bd2,2019-10-11,11700.0,4.99,19.4,1,1,4
283,09924ae,2019-10-28,3900.0,6.39,15.1,0,0,2
284,0992c1a,2019-09-10,10600.0,4.99,15.9,0,0,4
285,099e43f,2019-10-31,3800.0,6.39,18.3,1,1,2
286,099ea73,2019-10-21,4100.0,4.99,4.5,0,0,3
287,09abe4b,2019-09-12,15800.0,4.29,23.7,1,0,4
288,09b995d,2019-10-16,20700.0,4.29,13.1,0,0,5
289,09bdfd4,2019-10-30,10700.0,4.99,11.5,0,1,4
290,09cad3c,2019-10-30,7500.0,4.99,11.0,0,0,3
291,09d6528,2019-10-30,31000.0,3.59,21.5,0,0,5
292,09e68eb,2019-10-09,41400.0,1.89,13.6,0,0,6
293,09e7c0a,2019-09-23,11100.0,4.99,32.2,0,0,4
294,09ecac6,2019-10-15,6700.0,4.99,18.5,0,0,3
295,09f5011,2019-09-19,11600.0,4.29,23.7,1,0,4
296,0a1d955,2019-10-28,10800.0,6.39,27.1,0,0,4
297,0a3bf8a,2019-10-28,3400.0,6.39,14.9,0,0,2
298,0a4a02c,2019-09-05,39500.0,2.89,26.6,0,0,6
299,0a4a477,2019-09-20,24100.0,2.89,19.7,0,1,5
300,0a4e63c,2019-10-16,7600.0,6.39,15.4,0,0,3
301,0a51208,2019-09-25,12300.0,4.99,24.5,0,1,4
302,0a52e1e,2019-10-02,4100.0,6.39,8.0,1,1,3
303,0a5a20b,2019-09-12,69000.0,1.89,15.4,0,0,7
304,0a5d6c7,2019-10-21,2600.0,6.39,25.1,0,0,2
305,0a60ed8,2019-10-07,12100.0,4.99,22.4,0,0,4
306,0a6321c,2019-09-06,45300.0,2.89,22.4,0,0,6
307,0a69d48,2019-10-31,1400.0,6.39,15.6,0,0,1
308,0a728d0,2019-10-23,16000.0,4.29,17.4,0,0,5
309,0a86317,2019-09-20,38600.0,2.89,10.7,0,0,6
310,0a8b965,2019-10-21,23400.0,3.59,14.1,0,0,5
311,0a8d661,2019-10-16,33100.0,3.59,17.8,0,0,6
312,0a9451e,2019-10-02,4000.0,6.39,20.9,0,0,3
313,0aaf9b7,2019-10-30,2900.0,6.39,31.9,0,0,2
314,0ab496b,2019-10-08,4700.0,6.39,14.6,0,0,3
315,0ab532a,2019-10-28,3200.0,6.39,16.6,0,0,2
316,0abac1e,2019-10-21,1700.0,6.39,23.1,0,1,1
317,0abba77,2019-10-28,5800.0,6.39,27.4,0,0,3
318,0abe529,2019-10-02,69000.0,1.89,9.1,0,0,7
319,0ac7424,2019-10-23,24800.0,4.99,17.8,0,0,5
320,0acd4d7,2019-10-02,43400.0,2.89,18.0,0,0,6
321,0ad77fa,2019-09-11,12300.0,4.29,26.7,0,0,4
322,0ae4018,2019-09-20,26100.0,2.89,17.7,0,0,5
323,0ae6456,2019-10-16,19200.0,4.29,18.5,0,0,5
324,0af3661,2019-10-31,9000.0,6.39,20.0,0,0,4
325,0afa0cc,2019-09-02,30100.0,2.89,27.3,0,0,5
326,0b0d2f9,2019-10-30,41400.0,2.89,14.9,0,0,6
327,0b11e69,2019-10-25,17300.0,3.59,23.7,0,0,5
328,0b17d37,2019-10-09,16300.0,4.99,24.1,0,0,5
329,0b20722,2019-09-25,23500.0,2.89,18.2,0,0,5
330,0b2ea6b,2019-09-10,23400.0,2.89,27.5,0,0,5
331,0b2ed41,2019-10-03,15200.0,6.39,16.4,0,0,4
332,0b2fe1c,2019-10-28,5500.0,6.39,22.0,0,0,3
333,0b37a77,2019-10-31,800.0,6.39,23.1,0,0,1
334,0b3fe5c,2019-09-18,3600.0,6.39,35.4,1,0,2
335,0b450d3,2019-10-30,4600.0,6.39,23.1,0,0,3
336,0b457fd,2019-09-10,6600.0,4.99,28.7,0,0,3
337,0b49175,2019-10-16,4300.0,6.39,22.8,0,0,3
338,0b53735,2019-10-25,6900.0,6.39,23.8,0,0,3
339,0b5efb7,2019-10-07,44000.0,2.89,27.7,0,0,6
340,0b76997,2019-10-07,12500.0,4.99,21.8,0,0,4
341,0b8d9b9,2019-10-28,2300.0,6.39,15.5,0,0,2
342,0b8dda5,2019-10-28,7500.0,6.39,31.6,0,0,3
343,0b97bdd,2019-10-02,35300.0,3.59,13.6,0,0,6
344,0ba46bf,2019-10-16,4100.0,6.39,19.6,0,0,3
345,0babda4,2019-09-26,9700.0,4.99,13.5,0,0,4
346,0bac458,2019-10-31,4100.0,6.39,18.6,0,0,3
347,0bb7139,2019-10-11,4400.0,6.39,22.4,0,0,3
348,0bbfe7a,2019-09-25,12100.0,4.99,16.7,0,0,4
349,0bcb2b6,2019-10-31,47500.0,2.89,19.0,1,0,6
350,0bcddca,2019-09-10,13800.0,2.89,10.0,0,0,4
351,0bd09f0,2019-10-11,9400.0,4.99,21.3,1,0,4
352,0bd2c2a,2019-09-23,8100.0,4.99,13.7,0,0,4
353,0bdc52d,2019-09-23,55100.0,1.89,16.0,0,0,6
354,0bdf496,2019-10-07,9700.0,2.89,8.2,0,0,4
355,0be1344,2019-10-21,15600.0,4.99,20.9,0,0,4
356,0bea4ff,2019-10-23,3100.0,6.39,19.5,0,0,2
357,0beb302,2019-10-16,69000.0,1.89,15.3,0,0,7
358,0bf0605,2019-10-11,69000.0,1.89,10.2,0,0,7
359,0bf23e9,2019-10-24,13800.0,3.59,14.3,0,0,4
360,0bfb0cc,2019-10-07,8300.0,4.99,10.8,0,0,4
361,0c050cb,2019-09-26,19200.0,3.59,23.6,0,0,5
362,0c0f91d,2019-10-31,7100.0,4.99,17.5,0,0,3
363,0c100b7,2019-10-16,3300.0,5.69,27.3,0,0,2
364,0c1079b,2019-09-20,36700.0,2.89,17.0,0,0,6
365,0c1d7cb,2019-10-07,8300.0,4.99,26.6,1,0,4
366,0c20598,2019-10-07,2100.0,6.39,5.7,0,0,2
367,0c2bfcc,2019-10-02,2200.0,6.39,16.1,0,0,2
368,0c37163,2019-09-03,19500.0,3.59,23.6,0,0,5
369,0c5774a,2019-09-30,20700.0,2.89,8.1,0,0,5
370,0c63949,2019-10-16,14500.0,4.29,27.4,0,0,4
371,0c65126,2019-09-25,20700.0,2.89,15.0,0,0,5
372,0c6c709,2019-10-31,21900.0,4.99,30.8,0,0,5
373,0c7403d,2019-09-02,69000.0,1.89,30.6,0,0,7
374,0c88961,2019-10-07,3400.0,6.39,17.3,0,0,2
375,0c8985d,2019-10-16,11700.0,6.39,18.9,0,0,4
376,0c8de50,2019-10-16,48200.0,2.89,21.1,0,0,6
377,0c93582,2019-10-28,13100.0,6.39,18.3,0,0,4
378,0c93f95,2019-10-01,20200.0,3.59,24.4,0,1,5
379,0ca0112,2019-10-08,9700.0,6.39,14.8,0,1,4
380,0ca80d4,2019-10-31,8000.0,6.39,30.0,0,0,4
381,0ca8969,2019-10-07,28700.0,3.59,12.1,0,0,5
382,0caa448,2019-09-25,11100.0,4.99,21.0,0,0,4
383,0cb5fa4,2019-10-07,4100.0,6.39,13.1,0,0,3
384,0cb7985,2019-09-03,34500.0,2.89,19.7,1,1,6
385,0cbba90,2019-09-25,42200.0,2.89,24.1,0,0,6
386,0cc0237,2019-09-25,26200.0,2.89,18.3,0,0,5
387,0cc3e49,2019-10-07,4100.0,4.99,15.9,0,0,3
388,0cc3ffb,2019-10-28,7600.0,6.39,26.3,0,0,3
389,0cc500a,2019-10-21,20700.0,4.29,14.8,1,1,5
390,0cc6e9e,2019-10-17,3700.0,5.69,19.8,1,1,2
391,0ccd4c3,2019-10-31,2100.0,6.39,7.3,0,0,2
392,0ce5af9,2019-10-25,13800.0,6.39,13.5,0,0,4
393,0cea5e7,2019-10-02,6000.0,6.39,34.4,1,1,3
394,0cf753f,2019-10-07,5500.0,4.99,12.2,0,0,3
395,0d035d5,2019-10-28,3600.0,6.39,28.7,0,0,2
396,0d04ec2,2019-10-25,24800.0,2.89,17.1,0,0,5
397,0d04fd8,2019-10-21,13800.0,1.89,5.8,0,0,4
398,0d0b463,2019-10-16,11000.0,6.39,16.2,0,0,4
399,0d15027,2019-09-02,7300.0,4.99,25.0,0,0,3
400,0d193ab,2019-10-21,6900.0,4.99,15.5,0,0,3
401,0d395b8,2019-09-10,17400.0,3.59,28.7,1,0,5
402,0d3dac1,2019-09-30,20700.0,1.89,3.1,0,0,5
403,0d42486,2019-10-01,15500.0,6.39,15.9,0,0,4
404,0d43ac2,2019-09-03,41400.0,2.19,17.2,0,0,6
405,0d51338,2019-09-10,69000.0,1.89,23.0,0,0,7
406,0d69923,2019-09-18,4200.0,6.39,28.0,0,0,3
407,0d7552b,2019-10-16,4500.0,5.69,18.7,0,0,3
408,0d7a4b6,2019-10-28,12800.0,4.99,13.7,0,0,4
409,0d801fb,2019-10-31,6500.0,6.39,27.8,0,0,3
410,0d91ca6,2019-10-09,19800.0,3.59,24.8,0,0,5
411,0d9c13e,2019-10-31,21000.0,3.59,24.8,1,1,5
412,0d9d327,2019-10-23,34900.0,2.89,18.7,1,1,6
