client_id;data_de_desembolso;data_cadastro;tpv_prometido;mcc_;segmento_;cidade_;bairro_;canal_de_vendas_;subcanal_de_vendas_;uf_;regiao_
290a2cb;30/08/2019;29/11/2017;60000.0;mcc_1;segmento_3;cidade_3;bairro_1;canal_de_vendas_1;subcanal_de_vendas_1;uf_3;regiao_2
f3387cf;28/08/2019;01/06/2018;30000.0;mcc_21;segmento_24;cidade_104;bairro_522;canal_de_vendas_1;subcanal_de_vendas_1;uf_9;regiao_3
9db1959;25/09/2019;19/09/2017;500000.0;mcc_13;segmento_13;cidade_82;bairro_2769;canal_de_vendas_1;subcanal_de_vendas_3;uf_1;regiao_1
8d76f94;16/10/2019;07/12/2017;;mcc_54;segmento_14;cidade_49;bairro_1;canal_de_vendas_1;subcanal_de_vendas_1;uf_19;regiao_4
c176f76;27/05/2019;20/10/2017;10000.0;mcc_8;segmento_10;cidade_21;bairro_48;canal_de_vendas_1;subcanal_de_vendas_1;uf_5;regiao_1
9868a7d;28/08/2019;22/08/2018;55000.0;mcc_20;segmento_23;cidade_17;bairro_23;canal_de_vendas_1;subcanal_de_vendas_1;uf_2;regiao_1
fda066c;07/10/2019;16/01/2019;;mcc_1;segmento_3;cidade_2;bairro_22;canal_de_vendas_1;subcanal_de_vendas_1;uf_2;regiao_1
89f4c1c;20/09/2019;23/10/2017;;mcc_7;segmento_7;cidade_97;bairro_519;canal_de_vendas_1;subcanal_de_vendas_2;uf_1;regiao_1
a49e506;30/08/2019;24/09/2018;30000.0;mcc_124;segmento_4;cidade_287;bairro_2803;canal_de_vendas_1;subcanal_de_vendas_1;uf_10;regiao_4
c6acd28;01/08/2019;05/04/2018;15000.0;mcc_2;segmento_2;cidade_18;bairro_69;canal_de_vendas_1;subcanal_de_vendas_1;uf_3;regiao_2
9bfb260;28/10/2019;13/11/2018;15000.0;mcc_10;segmento_12;cidade_45;bairro_666;canal_de_vendas_1;subcanal_de_vendas_1;uf_1;regiao_1
b821ef7;28/10/2019;13/04/2018;;mcc_2;segmento_2;cidade_65;bairro_389;canal_de_vendas_1;subcanal_de_vendas_1;uf_1;regiao_1
f3b5103;07/08/2019;31/08/2018;30000.0;mcc_45;segmento_7;cidade_7;bairro_637;canal_de_vendas_1;subcanal_de_vendas_1;uf_9;regiao_3
f160560;25/10/2019;11/10/2018;60000.0;mcc_7;segmento_7;cidade_66;bairro_412;canal_de_vendas_1;subcanal_de_vendas_1;uf_20;regiao_4
e88fbda;27/08/2019;21/09/2018;20000.0;mcc_2;segmento_2;cidade_58;bairro_697;canal_de_vendas_1;subcanal_de_vendas_1;uf_1;regiao_1
c5f22ea;31/10/2019;05/12/2018;25000.0;mcc_6;segmento_1;cidade_24;bairro_3273;canal_de_vendas_1;subcanal_de_vendas_1;uf_1;regiao_1
04143b8;14/08/2019;04/10/2018;10000.0;mcc_9;segmento_11;cidade_32;bairro_605;canal_de_vendas_1;subcanal_de_vendas_1;uf_16;regiao_3
f694b70;25/10/2019;24/05/2018;20000.0;mcc_4;segmento_4;cidade_129;bairro_1;canal_de_vendas_1;subcanal_de_vendas_1;uf_15;regiao_3
d1f6780;26/09/2019;26/10/2018;30000.0;mcc_2;segmento_2;cidade_239;;canal_de_vendas_1;subcanal_de_vendas_1;uf_8;regiao_3
b243738;16/10/2019;23/11/2017;;mcc_1;segmento_3;cidade_16;bairro_18;canal_de_vendas_1;subcanal_de_vendas_1;uf_4;regiao_2
97d879b;31/10/2019;04/10/2018;50000.0;mcc_51;segmento_17;cidade_1;bairro_2323;canal_de_vendas_1;subcanal_de_vendas_1;uf_1;regiao_1
3af22b6;26/06/2019;24/09/2018;10000.0;mcc_19;segmento_17;cidade_3;bairro_265;canal_de_vendas_1;subcanal_de_vendas_1;uf_3;regiao_2
e5a8391;18/09/2019;17/06/2016;;mcc_2;segmento_2;cidade_112;bairro_717;canal_de_vendas_1;subcanal_de_vendas_3;uf_2;regiao_1
86a7c0a;10/06/2019;30/07/2018;60000.0;mcc_1;segmento_3;cidade_2;bairro_2045;canal_de_vendas_1;subcanal_de_vendas_1;uf_2;regiao_1
47df51f;03/07/2019;28/07/2018;6000.0;mcc_30;segmento_8;cidade_87;bairro_447;canal_de_vendas_1;subcanal_de_vendas_1;uf_1;regiao_1
8b8020e;27/08/2019;10/08/2017;;mcc_8;segmento_10;cidade_122;bairro_1;canal_de_vendas_1;subcanal_de_vendas_1;uf_2;regiao_1
1ded37c;08/08/2019;09/08/2017;100000.0;mcc_5;segmento_9;cidade_70;bairro_388;canal_de_vendas_1;subcanal_de_vendas_1;uf_1;regiao_1
97e5b71;08/08/2019;12/09/2018;18000.0;mcc_14;segmento_2;cidade_356;bairro_2830;canal_de_vendas_1;subcanal_de_vendas_3;uf_5;regiao_1
3bf4e20;31/07/2019;15/12/2017;5500.0;mcc_24;segmento_16;cidade_7;bairro_215;canal_de_vendas_1;subcanal_de_vendas_1;uf_9;regiao_3
97b5711;13/06/2019;19/08/2017;;mcc_9;segmento_11;cidade_2;bairro_665;canal_de_vendas_1;subcanal_de_vendas_1;uf_2;regiao_1
190b722;26/06/2019;04/05/2018;40000.0;mcc_12;segmento_1;cidade_36;bairro_2995;canal_de_vendas_1;subcanal_de_vendas_1;uf_3;regiao_2
472e2ed;02/07/2019;27/11/2017;;mcc_2;segmento_2;cidade_165;;canal_de_vendas_1;subcanal_de_vendas_1;uf_1;regiao_1
f929c92;13/05/2019;22/11/2017;20000.0;mcc_2;segmento_2;cidade_52;bairro_431;canal_de_vendas_1;subcanal_de_vendas_1;uf_4;regiao_2
9db0af8;07/10/2019;28/02/2019;15000.0;mcc_5;segmento_9;cidade_308;;canal_de_vendas_1;subcanal_de_vendas_1;uf_6;regiao_2
831d4c2;02/07/2019;03/09/2018;12000.0;mcc_3;segmento_1;cidade_71;bairro_42;canal_de_vendas_1;subcanal_de_vendas_1;uf_6;regiao_2
9a6fc4f;29/07/2019;13/04/2018;15000.0;mcc_4;segmento_4;cidade_1;bairro_33;canal_de_vendas_1;subcanal_de_vendas_1;uf_1;regiao_1
094a053;05/07/2019;16/03/2018;5000.0;mcc_14;segmento_2;cidade_26;bairro_1510;canal_de_vendas_1;subcanal_de_vendas_1;uf_5;regiao_1
814f3a4;27/03/2019;17/11/2017;25000.0;mcc_12;segmento_1;cidade_102;bairro_1;canal_de_vendas_1;subcanal_de_vendas_1;uf_2;regiao_1
b30e1ac;19/08/2019;19/09/2017;;mcc_5;segmento_9;cidade_57;bairro_2373;canal_de_vendas_1;subcanal_de_vendas_1;uf_6;regiao_2
0d8d8c0;16/08/2019;31/01/2018;;mcc_12;segmento_1;cidade_6;bairro_268;canal_de_vendas_1;subcanal_de_vendas_1;uf_8;regiao_3
6f96066;31/07/2019;06/11/2017;15000.0;mcc_6;segmento_1;cidade_260;bairro_2814;canal_de_vendas_1;subcanal_de_vendas_1;uf_4;regiao_2
d53e935;07/10/2019;18/01/2019;20000.0;mcc_75;segmento_15;cidade_2;bairro_437;canal_de_vendas_1;subcanal_de_vendas_1;uf_2;regiao_1
d7ba412;07/10/2019;01/03/2018;;mcc_7;segmento_7;cidade_12;bairro_2894;canal_de_vendas_1;subcanal_de_vendas_1;uf_1;regiao_1
016345b;20/05/2019;09/05/2018;25000.0;mcc_10;segmento_12;cidade_89;bairro_1;canal_de_vendas_1;subcanal_de_vendas_1;uf_1;regiao_1
169218d;19/08/2019;13/04/2018;60000.0;mcc_2;segmento_2;cidade_4;bairro_4;canal_de_vendas_1;subcanal_de_vendas_1;uf_7;regiao_4
3df01ea;17/04/2019;03/10/2017;8000.0;mcc_61;segmento_5;cidade_29;bairro_135;canal_de_vendas_1;subcanal_de_vendas_1;uf_5;regiao_1
ea4ced2;01/10/2019;08/11/2017;30000.0;mcc_86;segmento_13;cidade_288;bairro_1;canal_de_vendas_1;subcanal_de_vendas_1;uf_1;regiao_1
ec740c2;20/09/2019;12/12/2017;22000.0;mcc_28;segmento_8;cidade_5;bairro_1199;canal_de_vendas_1;subcanal_de_vendas_3;uf_5;regiao_1
39131c0;29/04/2019;13/03/2018;2000.0;mcc_1;segmento_3;cidade_77;bairro_496;canal_de_vendas_1;subcanal_de_vendas_1;uf_4;regiao_2
7a2543b;03/06/2019;08/08/2017;14900.0;mcc_43;segmento_1;cidade_382;bairro_1;canal_de_vendas_1;subcanal_de_vendas_1;uf_11;regiao_3
adf5338;16/10/2019;26/03/2019;6000.0;mcc_95;segmento_15;cidade_245;;canal_de_vendas_1;subcanal_de_vendas_1;uf_6;regiao_2
f57f318;06/09/2019;24/11/2018;10000.0;mcc_27;segmento_19;cidade_104;bairro_2098;canal_de_vendas_1;subcanal_de_vendas_1;uf_9;regiao_3
8df837f;30/10/2019;18/08/2017;;mcc_15;segmento_5;cidade_11;bairro_1490;canal_de_vendas_1;subcanal_de_vendas_1;uf_4;regiao_2
6ffefd4;28/06/2019;29/11/2017;51000.0;mcc_2;segmento_2;cidade_31;bairro_143;canal_de_vendas_1;subcanal_de_vendas_1;uf_2;regiao_1
a68ef5d;17/09/2019;29/05/2017;;mcc_4;segmento_4;cidade_81;bairro_536;canal_de_vendas_1;subcanal_de_vendas_1;uf_12;regiao_1
ffa4b4f;13/06/2019;22/05/2018;40000.0;mcc_1;segmento_3;cidade_8;bairro_1391;canal_de_vendas_1;subcanal_de_vendas_1;uf_10;regiao_4
e8a69d7;11/06/2019;12/07/2018;50000.0;mcc_2;segmento_2;cidade_1;bairro_175;canal_de_vendas_1;subcanal_de_vendas_1;uf_1;regiao_1
75fef6d;28/06/2019;05/09/2017;12000.0;mcc_2;segmento_2;cidade_18;bairro_392;canal_de_vendas_1;subcanal_de_vendas_1;uf_3;regiao_2
c7f583f;21/08/2019;10/10/2018;15000.0;mcc_70;segmento_22;cidade_44;bairro_683;canal_de_vendas_1;subcanal_de_vendas_1;uf_18;regiao_3
c25a0f4;25/10/2019;30/07/2018;5700.0;mcc_3;segmento_1;cidade_1;bairro_362;canal_de_vendas_1;subcanal_de_vendas_1;uf_1;regiao_1
bd1176a;01/07/2019;17/09/2018;14600.0;mcc_26;segmento_18;cidade_380;;canal_de_vendas_1;subcanal_de_vendas_1;uf_9;regiao_3
49e526a;03/07/2019;23/09/2017;;mcc_28;segmento_8;cidade_93;bairro_1;canal_de_vendas_1;subcanal_de_vendas_1;uf_5;regiao_1
76c294e;02/08/2019;13/11/2017;30000.0;mcc_3;segmento_1;cidade_28;bairro_1;canal_de_vendas_1;subcanal_de_vendas_1;uf_1;regiao_1
9178f6a;28/10/2019;23/08/2017;4000.0;mcc_1;segmento_3;cidade_10;bairro_786;canal_de_vendas_1;subcanal_de_vendas_1;uf_11;regiao_3
d80999c;25/09/2019;26/04/2018;10000.0;mcc_17;segmento_20;cidade_12;bairro_3266;canal_de_vendas_1;subcanal_de_vendas_1;uf_1;regiao_1
8e8b84d;28/10/2019;02/03/2018;10000.0;mcc_3;segmento_1;cidade_357;;canal_de_vendas_1;subcanal_de_vendas_1;uf_1;regiao_1
923c590;31/10/2019;12/04/2019;25000.0;mcc_1;segmento_3;cidade_385;;canal_de_vendas_1;subcanal_de_vendas_1;uf_3;regiao_2
7e556b3;20/08/2019;08/02/2018;30000.0;mcc_1;segmento_3;cidade_213;;canal_de_vendas_1;subcanal_de_vendas_1;uf_4;regiao_2
9288dcb;08/10/2019;13/08/2018;10000.0;mcc_17;segmento_20;cidade_78;bairro_1;canal_de_vendas_1;subcanal_de_vendas_1;uf_8;regiao_3
d53d5ee;21/06/2019;16/01/2018;30000.0;mcc_6;segmento_1;cidade_3;bairro_167;canal_de_vendas_1;subcanal_de_vendas_1;uf_3;regiao_2
f1edf78;29/08/2019;10/10/2017;18000.0;mcc_10;segmento_12;cidade_37;bairro_272;canal_de_vendas_1;subcanal_de_vendas_1;uf_2;regiao_1
b1d0404;25/09/2019;23/02/2018;180000.0;mcc_30;segmento_8;cidade_4;bairro_78;canal_de_vendas_1;subcanal_de_vendas_1;uf_7;regiao_4
1dd296c;15/05/2019;05/12/2016;70000.0;mcc_25;segmento_18;cidade_146;bairro_2260;canal_de_vendas_1;subcanal_de_vendas_1;uf_1;regiao_1
da8bf7d;21/08/2019;17/03/2018;;mcc_6;segmento_1;cidade_81;bairro_443;canal_de_vendas_1;subcanal_de_vendas_1;uf_12;regiao_1
f914fdd;29/10/2019;27/06/2018;12000.0;mcc_10;segmento_12;cidade_4;bairro_74;canal_de_vendas_1;subcanal_de_vendas_1;uf_7;regiao_4
adf0d7b;10/10/2019;31/01/2019;60000.0;mcc_16;segmento_14;cidade_41;bairro_80;canal_de_vendas_1;subcanal_de_vendas_1;uf_17;regiao_5
9bc3678;22/05/2019;08/06/2018;30000.0;mcc_68;segmento_6;cidade_1;bairro_550;canal_de_vendas_1;subcanal_de_vendas_1;uf_1;regiao_1
959bdda;21/10/2019;29/01/2019;12000.0;mcc_62;segmento_6;cidade_263;bairro_1;canal_de_vendas_1;subcanal_de_vendas_1;uf_1;regiao_1
6685c71;01/07/2019;30/08/2018;24000.0;mcc_2;segmento_2;cidade_2;bairro_1;canal_de_vendas_1;subcanal_de_vendas_1;uf_2;regiao_1
13e5cb5;05/08/2019;05/10/2018;24000.0;mcc_1;segmento_3;cidade_64;bairro_657;canal_de_vendas_1;subcanal_de_vendas_1;uf_4;regiao_2
51c6675;02/07/2019;27/09/2018;30000.0;mcc_73;segmento_7;cidade_50;bairro_1627;canal_de_vendas_1;subcanal_de_vendas_1;uf_3;regiao_2
3a56f38;08/08/2019;06/01/2017;;mcc_1;segmento_3;cidade_39;bairro_1;canal_de_vendas_1;subcanal_de_vendas_1;uf_4;regiao_2
fe6b23d;09/10/2019;15/02/2019;20000.0;mcc_1;segmento_3;cidade_93;bairro_111;canal_de_vendas_1;subcanal_de_vendas_1;uf_5;regiao_1
10e8086;22/03/2019;11/02/2017;10000.0;mcc_2;segmento_2;cidade_40;bairro_180;canal_de_vendas_1;subcanal_de_vendas_1;uf_1;regiao_1
d2f1939;20/09/2019;13/06/2018;6000.0;mcc_16;segmento_14;cidade_56;bairro_1039;canal_de_vendas_1;subcanal_de_vendas_1;uf_4;regiao_2
5d6bbab;06/08/2019;18/04/2018;27000.0;mcc_2;segmento_2;cidade_114;bairro_2863;canal_de_vendas_1;subcanal_de_vendas_1;uf_1;regiao_1
4764cc3;12/07/2019;23/03/2018;40000.0;mcc_5;segmento_9;cidade_51;bairro_330;canal_de_vendas_1;subcanal_de_vendas_3;uf_22;regiao_5
500a6c0;19/06/2019;31/07/2018;40000.0;mcc_1;segmento_3;cidade_406;;canal_de_vendas_1;subcanal_de_vendas_1;uf_4;regiao_2
ffaed4b;28/10/2019;31/10/2017;80000.0;mcc_14;segmento_2;cidade_227;bairro_227;canal_de_vendas_1;subcanal_de_vendas_1;uf_3;regiao_2
85dd52d;09/08/2019;12/05/2018;8000.0;mcc_4;segmento_4;cidade_11;bairro_623;canal_de_vendas_1;subcanal_de_vendas_1;uf_4;regiao_2
0f0a4c9;26/06/2019;24/08/2018;36000.0;mcc_5;segmento_9;cidade_192;;canal_de_vendas_1;subcanal_de_vendas_1;uf_9;regiao_3
195c5cb;25/04/2019;23/07/2017;18000.0;mcc_3;segmento_1;cidade_1;bairro_20;canal_de_vendas_1;subcanal_de_vendas_1;uf_1;regiao_1
ee2d47f;08/07/2019;01/06/2018;;mcc_5;segmento_9;cidade_291;bairro_1;canal_de_vendas_1;subcanal_de_vendas_1;uf_1;regiao_1
8a2acb8;12/07/2019;25/07/2018;50000.0;mcc_3;segmento_1;cidade_146;bairro_609;canal_de_vendas_1;subcanal_de_vendas_1;uf_1;regiao_1
a9dee99;26/09/2019;29/03/2018;30000.0;mcc_4;segmento_4;cidade_77;bairro_832;canal_de_vendas_1;subcanal_de_vendas_1;uf_4;regiao_2
dbb63aa;24/10/2019;05/07/2018;35000.0;mcc_18;segmento_21;cidade_3;bairro_259;canal_de_vendas_1;subcanal_de_vendas_1;uf_3;regiao_2
342d1ed;30/08/2019;05/06/2018;30000.0;mcc_3;segmento_1;cidade_227;bairro_227;canal_de_vendas_1;subcanal_de_vendas_1;uf_3;regiao_2
8f26f42;03/07/2019;19/05/2017;;mcc_25;segmento_18;cidade_220;bairro_749;canal_de_vendas_1;subcanal_de_vendas_1;uf_5;regiao_1
b7b8357;30/07/2019;10/08/2018;;mcc_8;segmento_10;cidade_225;;canal_de_vendas_1;subcanal_de_vendas_1;uf_10;regiao_4
afc41a4;01/07/2019;15/06/2018;40000.0;mcc_11;segmento_8;cidade_4;bairro_4;canal_de_vendas_1;subcanal_de_vendas_1;uf_7;regiao_4
42c5749;19/06/2019;19/06/2017;;mcc_9;segmento_11;cidade_9;bairro_30;canal_de_vendas_1;subcanal_de_vendas_1;uf_6;regiao_2
c426c43;24/06/2019;20/08/2018;3500.0;mcc_8;segmento_10;cidade_84;bairro_120;canal_de_vendas_1;subcanal_de_vendas_1;uf_8;regiao_3
ae4d440;29/10/2019;29/11/2018;25000.0;mcc_14;segmento_2;cidade_242;;canal_de_vendas_1;subcanal_de_vendas_1;uf_4;regiao_2
d40f0b5;14/05/2019;02/10/2017;;mcc_14;segmento_2;cidade_61;bairro_2038;canal_de_vendas_1;subcanal_de_vendas_1;uf_1;regiao_1
d2f4d68;20/08/2019;25/07/2018;40000.0;mcc_9;segmento_11;cidade_2;bairro_25;canal_de_vendas_1;subcanal_de_vendas_1;uf_2;regiao_1
67c38f5;21/06/2019;13/09/2018;20000.0;mcc_1;segmento_3;cidade_93;bairro_1;canal_de_vendas_1;subcanal_de_vendas_1;uf_5;regiao_1
d6afb54;31/10/2019;13/11/2018;10000.0;mcc_10;segmento_12;cidade_118;bairro_1996;canal_de_vendas_1;subcanal_de_vendas_1;uf_8;regiao_3
e7f4a20;01/07/2019;18/05/2018;17000.0;mcc_43;segmento_1;cidade_2;bairro_32;canal_de_vendas_1;subcanal_de_vendas_1;uf_2;regiao_1
8a720ca;02/09/2019;11/06/2018;4500.0;mcc_4;segmento_4;cidade_85;bairro_2123;canal_de_vendas_1;subcanal_de_vendas_1;uf_1;regiao_1
a213c3d;01/08/2019;28/03/2018;35000.0;mcc_2;segmento_2;cidade_6;bairro_198;canal_de_vendas_1;subcanal_de_vendas_1;uf_8;regiao_3
90da98a;07/06/2019;29/10/2016;30000.0;mcc_2;segmento_2;cidade_1;bairro_179;canal_de_vendas_1;subcanal_de_vendas_1;uf_1;regiao_1
e305ab0;28/06/2019;28/09/2018;15000.0;mcc_1;segmento_3;cidade_1;bairro_712;canal_de_vendas_1;subcanal_de_vendas_1;uf_1;regiao_1
a65325c;20/09/2019;30/09/2017;;mcc_39;segmento_17;cidade_22;bairro_315;canal_de_vendas_1;subcanal_de_vendas_3;uf_1;regiao_1
ec0bb17;01/07/2019;29/11/2017;60000.0;mcc_14;segmento_2;cidade_2;bairro_22;canal_de_vendas_1;subcanal_de_vendas_1;uf_2;regiao_1
ea51e2a;31/07/2019;13/04/2017;;mcc_3;segmento_1;cidade_1;bairro_49;canal_de_vendas_1;subcanal_de_vendas_1;uf_1;regiao_1
c7d9fae;07/10/2019;28/02/2019;40000.0;mcc_1;segmento_3;cidade_1;bairro_117;canal_de_vendas_1;subcanal_de_vendas_1;uf_1;regiao_1
91c7f6b;25/09/2019;10/12/2018;3000.0;mcc_3;segmento_1;cidade_4;bairro_78;canal_de_vendas_1;subcanal_de_vendas_1;uf_7;regiao_4
b8bc740;01/03/2019;03/02/2017;;mcc_24;segmento_16;cidade_13;bairro_182;canal_de_vendas_1;subcanal_de_vendas_1;uf_1;regiao_1
f4a15d1;31/10/2019;05/03/2018;200000.0;mcc_80;segmento_4;cidade_3;bairro_1;canal_de_vendas_1;subcanal_de_vendas_1;uf_3;regiao_2
3f9a4b3;11/07/2019;08/06/2018;12000.0;mcc_3;segmento_1;cidade_108;bairro_678;canal_de_vendas_1;subcanal_de_vendas_1;uf_1;regiao_1
0457cee;07/06/2019;16/05/2018;40000.0;mcc_2;segmento_2;cidade_156;;canal_de_vendas_1;subcanal_de_vendas_1;uf_2;regiao_1
cea35f1;02/08/2019;19/03/2018;30000.0;mcc_30;segmento_8;cidade_4;bairro_1914;canal_de_vendas_1;subcanal_de_vendas_1;uf_7;regiao_4
92d5ace;05/08/2019;05/06/2018;25000.0;mcc_8;segmento_10;cidade_8;bairro_345;canal_de_vendas_1;subcanal_de_vendas_1;uf_10;regiao_4
be2f521;22/07/2019;26/10/2017;;mcc_10;segmento_12;cidade_23;bairro_98;canal_de_vendas_1;subcanal_de_vendas_1;uf_13;regiao_3
ecf866c;31/10/2019;28/08/2018;14000.0;mcc_19;segmento_17;cidade_73;bairro_351;canal_de_vendas_1;subcanal_de_vendas_1;uf_2;regiao_1
815d7a0;08/08/2019;15/09/2017;15000.0;mcc_1;segmento_3;cidade_85;bairro_7;canal_de_vendas_1;subcanal_de_vendas_1;uf_1;regiao_1
8169958;28/08/2019;30/01/2018;15000.0;mcc_1;segmento_3;cidade_69;bairro_2802;canal_de_vendas_1;subcanal_de_vendas_1;uf_1;regiao_1
