,client_id,mes,tpv,margem_tpv,data_de_desembolso
91,004767f,2019-06-30,17764.53,209.39,2019-10-10
89,004767f,2019-04-30,8766.99,113.98,2019-10-10
86,004767f,2019-01-31,12594.56,166.8,2019-10-10
87,004767f,2019-02-28,12791.0,171.58,2019-10-10
88,004767f,2019-03-31,7059.53,84.06,2019-10-10
85,004767f,2018-12-31,10544.84,145.81,2019-10-10
84,004767f,2018-11-30,13696.84,181.05,2019-10-10
83,004767f,2018-10-31,19433.19,270.88,2019-10-10
106,0053e7f,2019-09-30,3974.16,58.27,2019-10-17
105,0053e7f,2019-08-31,5737.67,87.2,2019-10-17
104,0053e7f,2019-07-31,7529.85,99.09,2019-10-17
103,0053e7f,2019-06-30,3953.28,54.27,2019-10-17
102,0053e7f,2019-05-31,4394.37,65.45,2019-10-17
101,0053e7f,2019-04-30,4500.51,72.05,2019-10-17
100,0053e7f,2019-03-31,10451.31,158.81,2019-10-17
99,0053e7f,2019-02-28,3151.14,52.38,2019-10-17
98,0053e7f,2019-01-31,14072.25,218.99,2019-10-17
97,0053e7f,2018-12-31,7447.2,104.66,2019-10-17
96,0053e7f,2018-11-30,5896.86,88.58,2019-10-17
95,0053e7f,2018-10-31,7973.55,134.52,2019-10-17
118,0063da1,2019-09-30,16432.34,194.59,2019-10-02
117,0063da1,2019-08-31,25231.25,297.77,2019-10-02
116,0063da1,2019-07-31,14004.78,152.3,2019-10-02
115,0063da1,2019-06-30,13034.12,159.28,2019-10-02
114,0063da1,2019-05-31,14684.33,165.48,2019-10-02
113,0063da1,2019-04-30,12096.74,164.55,2019-10-02
111,0063da1,2019-02-28,15779.98,188.94,2019-10-02
110,0063da1,2019-01-31,20099.08,237.76,2019-10-02
109,0063da1,2018-12-31,17304.08,205.09,2019-10-02
108,0063da1,2018-11-30,19167.35,239.01,2019-10-02
107,0063da1,2018-10-31,12648.1,156.58,2019-10-02
112,0063da1,2019-03-31,11581.47,132.94,2019-10-02
124,007ae20,2019-03-31,3003.32,46.84,2019-10-30
130,007ae20,2019-09-30,2162.73,9.36,2019-10-30
129,007ae20,2019-08-31,2627.1,15.15,2019-10-30
128,007ae20,2019-07-31,2163.43,22.57,2019-10-30
127,007ae20,2019-06-30,2002.67,28.46,2019-10-30
126,007ae20,2019-05-31,1587.32,24.33,2019-10-30
122,007ae20,2019-01-31,4583.16,71.89,2019-10-30
123,007ae20,2019-02-28,3792.44,62.37,2019-10-30
121,007ae20,2018-12-31,2735.47,40.75,2019-10-30
120,007ae20,2018-11-30,2422.91,39.58,2019-10-30
119,007ae20,2018-10-31,3582.27,59.11,2019-10-30
125,007ae20,2019-04-30,1601.26,30.12,2019-10-30
139,007bb49,2019-06-30,7171.41,67.66,2019-10-08
140,007bb49,2019-07-31,9732.69,81.8,2019-10-08
138,007bb49,2019-05-31,11173.41,95.14,2019-10-08
142,007bb49,2019-09-30,7955.28,48.26,2019-10-08
141,007bb49,2019-08-31,7635.99,75.96,2019-10-08
137,007bb49,2019-04-30,7076.58,64.11,2019-10-08
131,007bb49,2018-10-31,8425.95,129.95,2019-10-08
135,007bb49,2019-02-28,2282.88,20.37,2019-10-08
134,007bb49,2019-01-31,1804.38,30.35,2019-10-08
133,007bb49,2018-12-31,8519.96,140.2,2019-10-08
132,007bb49,2018-11-30,9199.38,161.83,2019-10-08
136,007bb49,2019-03-31,3014.55,29.91,2019-10-08
154,008b0a8,2019-09-30,30656.86,367.56,2019-10-11
153,008b0a8,2019-08-31,46906.56,596.01,2019-10-11
152,008b0a8,2019-07-31,28482.47,351.16,2019-10-11
151,008b0a8,2019-06-30,35924.21,445.93,2019-10-11
150,008b0a8,2019-05-31,27107.48,333.1,2019-10-11
149,008b0a8,2019-04-30,17814.38,228.02,2019-10-11
147,008b0a8,2019-02-28,11093.04,142.53,2019-10-11
146,008b0a8,2019-01-31,10604.73,123.67,2019-10-11
145,008b0a8,2018-12-31,47046.5,520.51,2019-10-11
144,008b0a8,2018-11-30,14407.76,177.56,2019-10-11
143,008b0a8,2018-10-31,11456.7,177.23,2019-10-11
148,008b0a8,2019-03-31,12674.06,155.96,2019-10-11
162,008e4f2,2019-05-31,80228.44,593.19,2019-10-23
166,008e4f2,2019-09-30,62275.48,442.51,2019-10-23
165,008e4f2,2019-08-31,79146.51,593.14,2019-10-23
164,008e4f2,2019-07-31,70409.97,525.51,2019-10-23
163,008e4f2,2019-06-30,73293.59,544.1,2019-10-23
161,008e4f2,2019-04-30,83066.73,625.91,2019-10-23
155,008e4f2,2018-10-31,2958.0,21.57,2019-10-23
159,008e4f2,2019-02-28,75450.75,588.4,2019-10-23
158,008e4f2,2019-01-31,65056.69,492.7,2019-10-23
157,008e4f2,2018-12-31,98514.8,764.11,2019-10-23
156,008e4f2,2018-11-30,22847.94,162.08,2019-10-23
160,008e4f2,2019-03-31,89140.46,665.16,2019-10-23
174,0094f89,2019-04-30,31667.93,325.54,2019-09-12
178,0094f89,2019-08-31,27563.71,199.56,2019-09-12
177,0094f89,2019-07-31,34028.94,293.75,2019-09-12
176,0094f89,2019-06-30,30407.98,289.75,2019-09-12
175,0094f89,2019-05-31,33365.0,339.54,2019-09-12
173,0094f89,2019-03-31,41802.95,428.79,2019-09-12
171,0094f89,2019-01-31,42180.62,410.27,2019-09-12
172,0094f89,2019-02-28,31784.54,322.19,2019-09-12
170,0094f89,2018-12-31,39071.14,438.35,2019-09-12
169,0094f89,2018-11-30,34121.76,367.86,2019-09-12
168,0094f89,2018-10-31,33218.91,365.93,2019-09-12
167,0094f89,2018-09-30,33773.08,385.78,2019-09-12
188,0099a43,2019-09-30,9360.07,76.2,2019-10-07
187,0099a43,2019-08-31,21368.24,171.97,2019-10-07
186,0099a43,2019-07-31,49326.65,427.26,2019-10-07
185,0099a43,2019-06-30,39393.34,335.05,2019-10-07
184,0099a43,2019-05-31,31213.42,252.28,2019-10-07
182,0099a43,2019-03-31,29373.11,243.39,2019-10-07
181,0099a43,2019-02-28,14359.05,124.3,2019-10-07
180,0099a43,2019-01-31,24326.85,207.37,2019-10-07
179,0099a43,2018-12-31,17211.98,144.23,2019-10-07
183,0099a43,2019-04-30,24631.61,201.37,2019-10-07
193,00a12b3,2019-08-31,6446.53,76.89,2019-10-31
194,00a12b3,2019-09-30,10761.03,128.13,2019-10-31
192,00a12b3,2019-07-31,7208.82,83.98,2019-10-31
191,00a12b3,2019-06-30,7171.32,81.67,2019-10-31
190,00a12b3,2019-05-31,11927.7,163.29,2019-10-31
189,00a12b3,2019-04-30,5959.5,73.6,2019-10-31
204,00a14c1,2019-09-30,41925.43,526.63,2019-10-30
203,00a14c1,2019-08-31,60346.75,670.15,2019-10-30
202,00a14c1,2019-07-31,56438.53,678.9,2019-10-30
200,00a14c1,2019-05-31,35178.88,434.69,2019-10-30
201,00a14c1,2019-06-30,30411.73,347.72,2019-10-30
198,00a14c1,2019-03-31,10600.08,106.98,2019-10-30
197,00a14c1,2019-02-28,17922.87,173.65,2019-10-30
196,00a14c1,2019-01-31,18641.92,211.75,2019-10-30
195,00a14c1,2018-12-31,4597.08,55.01,2019-10-30
199,00a14c1,2019-04-30,15265.89,153.48,2019-10-30
212,00afc8b,2019-04-30,22283.46,255.42,2019-09-20
216,00afc8b,2019-08-31,30043.31,260.78,2019-09-20
215,00afc8b,2019-07-31,24749.64,245.36,2019-09-20
214,00afc8b,2019-06-30,26720.91,296.89,2019-09-20
210,00afc8b,2019-02-28,20239.73,233.84,2019-09-20
213,00afc8b,2019-05-31,25507.3,281.65,2019-09-20
211,00afc8b,2019-03-31,26066.04,299.34,2019-09-20
208,00afc8b,2018-12-31,27335.81,315.88,2019-09-20
209,00afc8b,2019-01-31,25537.85,295.07,2019-09-20
207,00afc8b,2018-11-30,18527.91,209.26,2019-09-20
206,00afc8b,2018-10-31,15563.19,211.07,2019-09-20
205,00afc8b,2018-09-30,15536.62,196.94,2019-09-20
228,00b7378,2019-09-30,21092.19,398.02,2019-10-16
227,00b7378,2019-08-31,21936.61,382.95,2019-10-16
226,00b7378,2019-07-31,38145.88,652.02,2019-10-16
225,00b7378,2019-06-30,14270.87,244.24,2019-10-16
224,00b7378,2019-05-31,8760.42,129.37,2019-10-16
223,00b7378,2019-04-30,13392.07,208.03,2019-10-16
222,00b7378,2019-03-31,4320.51,68.15,2019-10-16
221,00b7378,2019-02-28,11015.85,180.33,2019-10-16
220,00b7378,2019-01-31,41799.4,661.14,2019-10-16
219,00b7378,2018-12-31,40878.5,652.87,2019-10-16
218,00b7378,2018-11-30,25014.54,411.27,2019-10-16
217,00b7378,2018-10-31,20532.65,327.41,2019-10-16
240,00b9ab4,2019-09-30,10786.87,189.93,2019-10-07
239,00b9ab4,2019-08-31,11687.41,205.97,2019-10-07
238,00b9ab4,2019-07-31,11812.21,218.12,2019-10-07
237,00b9ab4,2019-06-30,7796.48,143.63,2019-10-07
236,00b9ab4,2019-05-31,7913.87,146.69,2019-10-07
235,00b9ab4,2019-04-30,7148.4,128.91,2019-10-07
229,00b9ab4,2018-10-31,9715.4,150.79,2019-10-07
233,00b9ab4,2019-02-28,8439.74,159.05,2019-10-07
232,00b9ab4,2019-01-31,7536.9,132.12,2019-10-07
231,00b9ab4,2018-12-31,10430.52,161.98,2019-10-07
230,00b9ab4,2018-11-30,8276.83,133.84,2019-10-07
234,00b9ab4,2019-03-31,8747.07,158.74,2019-10-07
241,00bafb2,2019-03-31,3136.35,35.61,2019-10-28
242,00bafb2,2019-04-30,7264.06,84.62,2019-10-28
243,00bafb2,2019-05-31,8456.38,99.04,2019-10-28
244,00bafb2,2019-06-30,9112.79,106.87,2019-10-28
245,00bafb2,2019-07-31,7101.38,83.49,2019-10-28
246,00bafb2,2019-08-31,8067.15,93.94,2019-10-28
247,00bafb2,2019-09-30,9633.51,119.84,2019-10-28
257,00bcd0d,2019-07-31,11317.13,124.33,2019-10-15
258,00bcd0d,2019-08-31,12656.6,129.72,2019-10-15
255,00bcd0d,2019-05-31,10611.73,114.68,2019-10-15
259,00bcd0d,2019-09-30,12040.9,111.58,2019-10-15
254,00bcd0d,2019-04-30,8811.57,97.75,2019-10-15
256,00bcd0d,2019-06-30,6710.74,73.9,2019-10-15
252,00bcd0d,2019-02-28,2510.52,24.14,2019-10-15
251,00bcd0d,2019-01-31,4212.14,41.52,2019-10-15
253,00bcd0d,2019-03-31,8618.14,92.27,2019-10-15
250,00bcd0d,2018-12-31,8086.31,74.47,2019-10-15
249,00bcd0d,2018-11-30,12099.94,125.75,2019-10-15
248,00bcd0d,2018-10-31,12786.9,132.65,2019-10-15
271,00cd72a,2019-08-31,27804.86,446.23,2019-09-20
270,00cd72a,2019-07-31,12688.24,212.46,2019-09-20
269,00cd72a,2019-06-30,23507.45,383.6,2019-09-20
268,00cd72a,2019-05-31,24915.4,399.49,2019-09-20
267,00cd72a,2019-04-30,16229.18,267.24,2019-09-20
266,00cd72a,2019-03-31,10952.35,174.95,2019-09-20
265,00cd72a,2019-02-28,21099.8,349.71,2019-09-20
264,00cd72a,2019-01-31,10104.88,169.6,2019-09-20
263,00cd72a,2018-12-31,10608.08,176.79,2019-09-20
262,00cd72a,2018-11-30,19788.08,322.52,2019-09-20
261,00cd72a,2018-10-31,18858.89,309.97,2019-09-20
260,00cd72a,2018-09-30,17123.71,229.84,2019-09-20
282,00d7990,2019-07-31,24656.67,360.34,2019-09-23
281,00d7990,2019-06-30,22213.71,317.23,2019-09-23
280,00d7990,2019-05-31,18861.6,265.3,2019-09-23
283,00d7990,2019-08-31,22155.42,235.31,2019-09-23
279,00d7990,2019-04-30,25490.13,364.03,2019-09-23
278,00d7990,2019-03-31,21537.72,315.78,2019-09-23
275,00d7990,2018-12-31,21003.54,311.08,2019-09-23
276,00d7990,2019-01-31,19795.11,292.1,2019-09-23
274,00d7990,2018-11-30,20666.85,313.91,2019-09-23
273,00d7990,2018-10-31,27566.82,397.47,2019-09-23
272,00d7990,2018-09-30,21911.38,277.07,2019-09-23
277,00d7990,2019-02-28,13893.03,195.44,2019-09-23
294,00d7b02,2019-08-31,9057.57,98.57,2019-09-26
293,00d7b02,2019-07-31,6906.32,95.95,2019-09-26
292,00d7b02,2019-06-30,3723.88,36.53,2019-09-26
291,00d7b02,2019-05-31,2704.83,33.68,2019-09-26
290,00d7b02,2019-04-30,3635.73,42.7,2019-09-26
288,00d7b02,2019-02-28,5715.9,72.23,2019-09-26
287,00d7b02,2019-01-31,5000.15,76.35,2019-09-26
286,00d7b02,2018-12-31,6325.77,72.46,2019-09-26
285,00d7b02,2018-11-30,2627.4,33.49,2019-09-26
284,00d7b02,2018-10-31,102.66,0.84,2019-09-26
289,00d7b02,2019-03-31,2905.8,36.73,2019-09-26
301,00dcaaf,2019-09-30,10240.19,310.47,2019-10-28
300,00dcaaf,2019-08-31,2526.18,19.71,2019-10-28
299,00dcaaf,2019-07-31,2972.23,23.18,2019-10-28
296,00dcaaf,2019-04-30,3424.34,26.05,2019-10-28
297,00dcaaf,2019-05-31,3025.7,22.88,2019-10-28
298,00dcaaf,2019-06-30,2412.38,20.26,2019-10-28
295,00dcaaf,2019-03-31,508.65,4.33,2019-10-28
310,00de358,2019-06-30,23608.89,169.96,2019-10-15
313,00de358,2019-09-30,10467.48,68.73,2019-10-15
312,00de358,2019-08-31,10537.68,68.97,2019-10-15
311,00de358,2019-07-31,8163.42,59.66,2019-10-15
308,00de358,2019-04-30,16601.63,108.22,2019-10-15
309,00de358,2019-05-31,18236.58,128.19,2019-10-15
306,00de358,2019-02-28,18695.13,336.53,2019-10-15
305,00de358,2019-01-31,16517.33,301.63,2019-10-15
304,00de358,2018-12-31,20841.35,374.12,2019-10-15
303,00de358,2018-11-30,22255.05,403.02,2019-10-15
302,00de358,2018-10-31,25744.23,457.18,2019-10-15
307,00de358,2019-03-31,24772.68,395.25,2019-10-15
320,00df326,2019-03-31,15999.13,239.62,2019-09-20
324,00df326,2019-07-31,15000.37,249.14,2019-09-20
323,00df326,2019-06-30,17070.18,259.81,2019-09-20
322,00df326,2019-05-31,20835.2,348.32,2019-09-20
321,00df326,2019-04-30,16381.49,242.48,2019-09-20
325,00df326,2019-08-31,15670.44,236.81,2019-09-20
319,00df326,2019-02-28,14177.87,217.74,2019-09-20
317,00df326,2018-12-31,20910.88,315.76,2019-09-20
316,00df326,2018-11-30,15097.72,243.09,2019-09-20
315,00df326,2018-10-31,7414.14,122.21,2019-09-20
314,00df326,2018-09-30,5692.24,83.91,2019-09-20
318,00df326,2019-01-31,25197.03,418.45,2019-09-20
337,00dfe09,2019-09-30,11518.8,91.61,2019-10-30
336,00dfe09,2019-08-31,11535.33,100.59,2019-10-30
335,00dfe09,2019-07-31,10786.26,87.78,2019-10-30
334,00dfe09,2019-06-30,19257.45,147.92,2019-10-30
333,00dfe09,2019-05-31,8250.21,71.53,2019-10-30
332,00dfe09,2019-04-30,13872.15,118.62,2019-10-30
330,00dfe09,2019-02-28,16551.75,151.64,2019-10-30
329,00dfe09,2019-01-31,21603.84,251.57,2019-10-30
328,00dfe09,2018-12-31,24280.83,311.76,2019-10-30
327,00dfe09,2018-11-30,15758.31,196.86,2019-10-30
326,00dfe09,2018-10-31,14690.82,178.19,2019-10-30
331,00dfe09,2019-03-31,18218.67,172.99,2019-10-30
346,00eeee3,2019-05-31,10915.02,212.83,2019-09-02
347,00eeee3,2019-06-30,7134.44,136.0,2019-09-02
345,00eeee3,2019-04-30,13752.09,254.77,2019-09-02
349,00eeee3,2019-08-31,7859.58,135.83,2019-09-02
348,00eeee3,2019-07-31,13516.76,260.12,2019-09-02
344,00eeee3,2019-03-31,26153.94,491.05,2019-09-02
341,00eeee3,2018-12-31,33200.5,643.02,2019-09-02
342,00eeee3,2019-01-31,59020.36,1160.06,2019-09-02
338,00eeee3,2018-09-30,18245.42,320.19,2019-09-02
339,00eeee3,2018-10-31,19046.04,376.25,2019-09-02
343,00eeee3,2019-02-28,15716.54,278.12,2019-09-02
340,00eeee3,2018-11-30,25334.84,516.66,2019-09-02
361,00f983e,2019-09-30,27184.25,365.85,2019-10-31
360,00f983e,2019-08-31,24210.01,319.78,2019-10-31
359,00f983e,2019-07-31,27232.6,422.57,2019-10-31
358,00f983e,2019-06-30,14109.42,219.07,2019-10-31
356,00f983e,2019-04-30,33714.03,482.18,2019-10-31
357,00f983e,2019-05-31,33380.68,505.91,2019-10-31
354,00f983e,2019-02-28,27483.2,403.33,2019-10-31
353,00f983e,2019-01-31,36531.38,545.47,2019-10-31
352,00f983e,2018-12-31,48887.26,764.59,2019-10-31
351,00f983e,2018-11-30,46756.34,742.84,2019-10-31
350,00f983e,2018-10-31,37730.96,599.37,2019-10-31
355,00f983e,2019-03-31,35937.46,541.65,2019-10-31
368,00fd63e,2019-05-31,6519.13,63.23,2019-10-02
372,00fd63e,2019-09-30,5354.42,66.63,2019-10-02
371,00fd63e,2019-08-31,7381.69,76.79,2019-10-02
370,00fd63e,2019-07-31,7318.41,70.23,2019-10-02
367,00fd63e,2019-04-30,7887.88,87.76,2019-10-02
369,00fd63e,2019-06-30,5223.81,40.07,2019-10-02
365,00fd63e,2019-02-28,5990.17,70.46,2019-10-02
364,00fd63e,2019-01-31,8503.73,97.46,2019-10-02
363,00fd63e,2018-12-31,10881.52,118.99,2019-10-02
362,00fd63e,2018-11-30,5036.57,71.74,2019-10-02
366,00fd63e,2019-03-31,9063.34,103.81,2019-10-02
384,01002b8,2019-09-30,38659.35,38.38,2019-10-07
383,01002b8,2019-08-31,55783.04,0.0,2019-10-07
382,01002b8,2019-07-31,43761.35,10.61,2019-10-07
381,01002b8,2019-06-30,11801.97,2.67,2019-10-07
380,01002b8,2019-05-31,29720.63,0.0,2019-10-07
379,01002b8,2019-04-30,37265.75,62.61,2019-10-07
377,01002b8,2019-02-28,10531.65,0.36,2019-10-07
376,01002b8,2019-01-31,22253.03,22.36,2019-10-07
375,01002b8,2018-12-31,16494.09,46.6,2019-10-07
374,01002b8,2018-11-30,21903.62,34.11,2019-10-07
373,01002b8,2018-10-31,17656.18,25.84,2019-10-07
378,01002b8,2019-03-31,21494.22,5.61,2019-10-07
392,0101f6b,2019-05-31,64853.03,445.78,2019-10-16
396,0101f6b,2019-09-30,47865.72,158.8,2019-10-16
395,0101f6b,2019-08-31,47675.21,181.24,2019-10-16
394,0101f6b,2019-07-31,55445.64,303.15,2019-10-16
393,0101f6b,2019-06-30,48660.23,340.47,2019-10-16
391,0101f6b,2019-04-30,53401.02,397.2,2019-10-16
386,0101f6b,2018-11-30,48605.98,308.5,2019-10-16
389,0101f6b,2019-02-28,35089.51,221.78,2019-10-16
388,0101f6b,2019-01-31,31293.95,210.01,2019-10-16
387,0101f6b,2018-12-31,104816.38,730.63,2019-10-16
385,0101f6b,2018-10-31,35183.24,240.46,2019-10-16
390,0101f6b,2019-03-31,49361.62,340.79,2019-10-16
408,0113f90,2019-09-30,8370.27,90.47,2019-10-07
406,0113f90,2019-07-31,5402.7,47.46,2019-10-07
405,0113f90,2019-06-30,3928.05,29.63,2019-10-07
404,0113f90,2019-05-31,5237.4,50.2,2019-10-07
403,0113f90,2019-04-30,3950.67,41.28,2019-10-07
407,0113f90,2019-08-31,5822.04,59.71,2019-10-07
401,0113f90,2019-02-28,2043.63,23.38,2019-10-07
400,0113f90,2019-01-31,7428.06,83.36,2019-10-07
399,0113f90,2018-12-31,2724.84,26.97,2019-10-07
398,0113f90,2018-11-30,6890.4,61.89,2019-10-07
397,0113f90,2018-10-31,6390.15,69.3,2019-10-07
402,0113f90,2019-03-31,2830.11,30.58,2019-10-07
420,012fb17,2019-09-30,76304.45,0.0,2019-10-09
419,012fb17,2019-08-31,100704.21,0.0,2019-10-09
418,012fb17,2019-07-31,89591.06,0.0,2019-10-09
417,012fb17,2019-06-30,92476.11,182.8,2019-10-09
416,012fb17,2019-05-31,87524.79,563.34,2019-10-09
415,012fb17,2019-04-30,79064.5,581.48,2019-10-09
413,012fb17,2019-02-28,71203.16,547.65,2019-10-09
412,012fb17,2019-01-31,53712.75,484.25,2019-10-09
411,012fb17,2018-12-31,80577.41,668.95,2019-10-09
410,012fb17,2018-11-30,66150.94,498.44,2019-10-09
409,012fb17,2018-10-31,91278.5,620.05,2019-10-09
414,012fb17,2019-03-31,82526.64,594.4,2019-10-09
426,013512d,2019-07-31,39916.66,139.85,2019-10-02
427,013512d,2019-08-31,40608.81,133.53,2019-10-02
425,013512d,2019-06-30,43956.02,151.13,2019-10-02
428,013512d,2019-09-30,51987.59,317.44,2019-10-02
423,013512d,2019-04-30,44314.36,115.78,2019-10-02
422,013512d,2019-03-31,57756.55,173.53,2019-10-02
421,013512d,2019-02-28,28260.5,75.1,2019-10-02
424,013512d,2019-05-31,40956.39,141.05,2019-10-02
440,01388b7,2019-08-31,9706.16,186.69,2019-09-25
439,01388b7,2019-07-31,14409.81,293.22,2019-09-25
436,01388b7,2019-04-30,16012.35,342.85,2019-09-25
438,01388b7,2019-06-30,10011.96,196.93,2019-09-25
437,01388b7,2019-05-31,9729.21,176.84,2019-09-25
435,01388b7,2019-03-31,12661.11,249.49,2019-09-25
430,01388b7,2018-10-31,14294.1,286.33,2019-09-25
433,01388b7,2019-01-31,17014.24,347.79,2019-09-25
432,01388b7,2018-12-31,12317.46,235.52,2019-09-25
431,01388b7,2018-11-30,15364.2,296.83,2019-09-25
429,01388b7,2018-09-30,10213.8,192.59,2019-09-25
434,01388b7,2019-02-28,14311.5,296.54,2019-09-25
451,0141fc9,2019-08-31,10948.95,241.79,2019-10-11
450,0141fc9,2019-07-31,9004.5,187.78,2019-10-11
449,0141fc9,2019-06-30,8230.2,132.97,2019-10-11
448,0141fc9,2019-05-31,5628.9,128.88,2019-10-11
447,0141fc9,2019-04-30,9291.6,196.71,2019-10-11
452,0141fc9,2019-09-30,6968.7,155.97,2019-10-11
445,0141fc9,2019-02-28,6385.8,113.3,2019-10-11
444,0141fc9,2019-01-31,6237.9,147.76,2019-10-11
443,0141fc9,2018-12-31,2470.8,58.89,2019-10-11
442,0141fc9,2018-11-30,3175.5,80.49,2019-10-11
441,0141fc9,2018-10-31,6116.1,160.16,2019-10-11
446,0141fc9,2019-03-31,4976.41,118.57,2019-10-11
464,0148d53,2019-09-30,4332.6,59.31,2019-10-31
463,0148d53,2019-08-31,13920.0,129.57,2019-10-31
462,0148d53,2019-07-31,16938.9,81.84,2019-10-31
461,0148d53,2019-06-30,2540.54,36.29,2019-10-31
460,0148d53,2019-05-31,6481.33,68.39,2019-10-31
459,0148d53,2019-04-30,6272.7,80.83,2019-10-31
