,client_id,data_de_desembolso,data_cadastro,tpv_prometido,mcc,segmento,cidade,bairro,canal_de_vendas,subcanal_de_vendas,uf,regiao,data_de_desembolso_y,limite,juros_am,retencao,default_60d,default_mar,subcanal_de_vendas_ord,segmento_ord,regiao_ord,mcc_ord,uf_ord,canal_de_vendas_ord,bairro_ord,cidade_ord
33,00fd63e,02/10/2019,07/11/2018,15000.0,2,2,139,0,1,1,3,2,2019-10-02,8300.0,4.99,27.4,0,1,2,13,1,98,8,1,1297,473
34,01002b8,07/10/2019,29/09/2017,30000.0,23,25,69,1192,1,1,1,1,2019-10-07,9700.0,3.59,13.3,0,0,2,26,3,119,15,1,571,445
35,0101f6b,16/10/2019,27/04/2017,50000.0,4,4,77,832,1,1,4,2,2019-10-16,64200.0,1.89,20.1,0,1,2,21,1,108,7,1,1426,362
36,0113f90,07/10/2019,24/09/2018,20000.0,69,6,199,1,1,1,2,1,2019-10-07,5100.0,6.39,23.8,0,0,2,18,3,93,14,1,1295,487
37,012fb17,09/10/2019,23/08/2018,90000.0,2,2,48,864,1,1,2,1,2019-10-09,20700.0,1.89,4.2,0,0,2,13,3,98,14,1,435,390
38,013512d,02/10/2019,01/02/2019,80000.0,3,1,7,622,1,1,9,3,2019-10-02,32900.0,3.59,13.4,0,0,2,14,5,87,24,1,1362,449
39,01388b7,25/09/2019,09/08/2018,20000.0,17,20,6,10,1,1,8,3,2019-09-25,13800.0,4.99,24.6,0,0,2,12,5,97,9,1,1296,387
40,0141fc9,11/10/2019,08/08/2018,20000.0,13,13,6,21,1,1,8,3,2019-10-11,6400.0,4.99,17.2,0,0,2,19,5,89,9,1,1347,387
41,0148d53,31/10/2019,26/10/2018,15000.0,122,19,129,2761,1,1,15,3,2019-10-31,6500.0,6.39,27.4,0,0,2,5,5,149,4,1,1021,13
42,0150aa5,23/09/2019,07/12/2018,16000.0,27,19,212,0,1,1,6,2,2019-09-23,9900.0,4.99,17.8,0,0,2,5,1,83,16,1,1297,517
43,015870b,23/10/2019,19/01/2018,40000.0,3,1,3,37,1,1,3,2,2019-10-23,6900.0,5.69,11.8,1,1,2,14,1,87,8,1,1399,366
44,0161d27,21/10/2019,01/02/2018,65000.0,6,1,1,1982,1,1,1,1,2019-10-21,41400.0,2.49,14.5,1,0,2,14,3,78,15,1,1247,405
45,01673d6,25/09/2019,29/11/2018,80000.0,22,15,1,219,1,1,1,1,2019-09-25,35500.0,2.89,25.1,1,1,2,23,3,110,15,1,1379,405
46,0173ccb,07/10/2019,04/12/2018,11000.0,24,16,241,0,1,1,1,1,2019-10-07,13800.0,4.99,24.0,0,0,2,11,3,125,15,1,1297,57
47,01aff61,07/10/2019,21/08/2018,20000.0,48,4,315,0,1,1,1,1,2019-10-07,20700.0,2.89,11.5,0,0,2,21,3,126,15,1,1297,483
48,01b20df,24/10/2019,03/05/2017,21000.0,4,4,55,369,1,1,1,1,2019-10-24,11800.0,5.69,34.9,0,0,2,21,3,108,15,1,168,1
49,01b6b3e,16/10/2019,14/05/2018,35000.0,13,13,124,1,1,1,9,3,2019-10-16,30400.0,2.89,21.9,0,0,2,19,5,89,24,1,1295,338
50,01b8101,07/10/2019,19/02/2019,70000.0,2,2,7,289,1,1,9,3,2019-10-07,44200.0,3.59,13.6,0,0,2,13,5,98,24,1,128,449
51,01b9e86,09/10/2019,11/08/2016,20000.0,1,3,70,1,1,1,1,1,2019-10-09,22600.0,2.89,19.4,1,1,2,10,3,92,15,1,1295,378
52,01bbfd5,23/09/2019,24/12/2016,30001.0,5,9,8,140,1,1,10,4,2019-09-23,30800.0,2.89,21.6,1,1,2,24,4,113,17,1,1372,428
53,01c3da5,19/09/2019,20/10/2018,20000.0,66,6,378,1,1,1,12,1,2019-09-19,4000.0,6.39,27.0,0,0,2,18,3,141,13,1,1295,122
54,01ce685,03/09/2019,23/03/2018,200000.0,18,21,4,2,1,1,7,4,2019-09-03,19300.0,3.59,27.2,1,1,2,22,4,109,10,1,1281,372
55,01e33de,16/10/2019,14/11/2018,15000.0,4,4,178,0,1,1,14,3,2019-10-16,6800.0,5.69,17.9,1,0,2,21,5,108,23,1,1297,348
56,01e4376,16/10/2019,11/12/2017,130000.0,5,9,3,416,1,1,3,2,2019-10-16,57300.0,1.89,20.0,0,0,2,24,1,113,8,1,196,366
57,01ef9c7,23/09/2019,02/10/2018,13000.0,17,20,794,0,1,3,9,3,2019-09-23,13500.0,4.99,25.7,1,1,1,12,5,97,24,1,1297,586
58,01f5448,01/10/2019,09/07/2018,20000.0,9,11,2,156,1,1,2,1,2019-10-01,19900.0,3.59,23.0,0,0,2,6,3,77,14,1,55,385
59,01f704f,26/09/2019,21/09/2017,15000.0,15,5,1,618,1,1,1,1,2019-09-26,6000.0,4.99,9.7,0,0,2,17,3,71,15,1,309,405
60,0201d39,25/10/2019,28/08/2018,20000.0,3,1,107,1676,1,1,6,2,2019-10-25,11000.0,4.99,22.4,0,0,2,14,1,87,16,1,753,379
61,020c8da,07/10/2019,25/02/2019,21000.0,17,20,39,1,1,1,4,2,2019-10-07,8800.0,6.39,12.9,1,0,2,12,1,97,7,1,1295,423
62,0211bd4,21/10/2019,01/02/2019,70000.0,4,4,253,1,1,1,19,4,2019-10-21,20700.0,3.59,11.3,0,0,2,21,4,108,11,1,1295,64
63,021842e,07/10/2019,14/12/2018,30000.0,2,2,2,8,1,1,2,1,2019-10-07,28700.0,3.59,13.5,1,1,2,13,3,98,14,1,1289,385
64,02255b7,07/10/2019,26/03/2018,20000.0,4,4,116,2644,1,2,5,1,2019-10-07,11000.0,4.99,26.1,0,0,4,21,3,108,19,1,993,408
65,023b059,06/09/2019,19/07/2017,20000.0,69,6,215,0,1,1,4,2,2019-09-06,40700.0,2.89,21.2,0,0,2,18,1,93,7,1,1297,41
66,023c3dc,10/10/2019,14/12/2017,15000.0,9,11,47,1,1,1,3,2,2019-10-10,13000.0,4.99,22.7,0,0,2,6,1,77,8,1,1295,330
67,023cdfc,25/09/2019,14/11/2018,48000.0,41,5,2,285,1,1,2,1,2019-09-25,32300.0,2.89,21.0,0,0,2,17,3,79,14,1,126,385
68,0248d04,07/10/2019,22/02/2019,11000.0,1,3,88,3046,1,1,1,1,2019-10-07,2800.0,6.39,8.9,0,0,2,10,3,92,15,1,1099,465
69,0249ce2,25/10/2019,24/10/2018,35000.0,8,10,271,0,1,4,5,1,2019-10-25,20700.0,1.89,6.9,1,0,3,3,3,76,19,1,1297,296
70,0254dee,28/10/2019,26/11/2018,8000.0,6,1,111,2288,1,1,12,1,2019-10-28,8800.0,6.39,27.5,0,0,2,14,3,78,13,1,909,335
71,0261c08,25/09/2019,12/07/2018,30000.0,23,25,2,5,1,1,2,1,2019-09-25,34500.0,2.89,19.3,0,0,2,26,3,119,14,1,1293,385
72,026577c,13/09/2019,22/11/2018,10000.0,37,6,9,184,1,1,6,2,2019-09-13,2300.0,4.99,8.0,0,0,2,18,1,81,16,1,69,355
73,026594c,04/09/2019,22/02/2017,20000.0,1,3,5,1307,1,2,5,1,2019-09-04,11000.0,3.59,17.4,0,0,4,10,3,92,19,1,619,420
74,026c1b3,25/10/2019,08/03/2019,20000.0,1,3,1,651,1,1,1,1,2019-10-25,2800.0,6.39,8.9,0,0,2,10,3,92,15,1,323,405
75,028563e,04/09/2019,26/12/2017,130000.0,3,1,2,5,1,1,2,1,2019-09-04,52400.0,1.89,23.3,0,0,2,14,3,87,14,1,1293,385
76,028c264,16/10/2019,24/05/2017,20000.0,54,14,1,103,1,1,1,1,2019-10-16,4400.0,6.39,27.5,0,0,2,15,3,123,15,1,27,405
77,0290f95,16/09/2019,12/11/2018,13000.0,6,1,41,106,1,1,17,5,2019-09-16,9800.0,4.99,26.3,0,0,2,14,2,78,18,1,28,393
78,02a47bb,23/09/2019,20/03/2018,49000.0,109,6,4,74,1,1,7,4,2019-09-23,27600.0,2.89,16.5,0,0,2,18,4,19,10,1,1341,372
79,02adb3f,07/10/2019,06/04/2017,500000.0,1,3,10,1,1,1,11,3,2019-10-07,69000.0,1.89,4.0,0,0,2,10,5,92,21,1,1295,395
80,02ae998,25/10/2019,04/10/2018,10000.0,5,9,98,1,1,1,9,3,2019-10-25,8300.0,6.39,21.5,0,0,2,24,5,113,24,1,1295,464
81,02b457c,30/10/2019,01/04/2019,20000.0,17,20,183,2933,1,1,10,4,2019-10-30,6900.0,6.39,22.4,0,0,2,12,4,97,17,1,1070,413
82,02b5885,21/10/2019,14/10/2015,20000.0,39,17,18,69,1,1,3,2,2019-10-21,1900.0,6.39,9.3,0,0,2,1,1,67,8,1,1302,389
83,02cad2e,08/10/2019,06/12/2017,18000.0,13,13,4,194,1,1,7,4,2019-10-08,2100.0,6.39,7.6,0,0,2,19,4,89,10,1,1163,372
84,02cfae0,04/09/2019,04/10/2018,300000.0,6,1,10,576,1,1,11,3,2019-09-04,69000.0,1.89,6.4,0,0,2,14,5,78,21,1,290,395
85,02e4e74,28/10/2019,28/02/2018,20000.0,30,8,74,103,1,1,2,1,2019-10-28,23200.0,3.59,21.7,0,0,2,4,3,86,14,1,27,346
86,02f3dbc,16/10/2019,05/07/2018,8000.0,15,5,56,2193,1,1,4,2,2019-10-16,5800.0,6.39,13.2,0,0,2,17,1,71,7,1,886,2
87,02f64b6,21/10/2019,05/01/2018,40000.0,13,13,23,59,1,1,13,3,2019-10-21,5700.0,6.39,11.7,0,0,2,19,5,89,3,1,1286,344
88,030048c,28/10/2019,26/04/2019,7000.0,27,19,5,1231,1,2,5,1,2019-10-28,800.0,6.39,16.2,0,0,4,5,3,83,19,1,583,420
89,030ee21,02/10/2019,13/02/2019,40000.0,7,7,24,2999,1,1,1,1,2019-10-02,3200.0,6.39,17.3,0,0,2,20,3,101,15,1,1089,327
90,0316d6a,10/09/2019,04/05/2017,20000.0,20,23,3,1,1,1,3,2,2019-09-10,10000.0,4.99,28.1,0,0,2,25,1,120,8,1,1295,366
91,031b5e4,25/09/2019,23/06/2017,20000.0,7,7,80,688,1,1,1,1,2019-09-25,40300.0,2.89,23.1,0,0,2,20,3,101,15,1,347,455
92,032269b,25/09/2019,20/03/2018,9000.0,2,2,36,518,1,1,3,2,2019-09-25,5300.0,6.39,20.4,0,0,2,13,1,98,8,1,260,358
93,03233ee,07/10/2019,20/02/2019,36000.0,4,4,17,359,1,1,2,1,2019-10-07,8300.0,6.39,17.2,0,1,2,21,3,108,14,1,1357,396
94,0332e9c,31/10/2019,16/04/2019,6000.0,16,14,60,868,1,3,5,1,2019-10-31,3500.0,6.39,23.8,1,1,1,15,3,88,19,1,1602,422
95,033a046,11/10/2019,03/04/2018,40000.0,3,1,1,2806,1,1,1,1,2019-10-11,33100.0,2.89,21.2,0,0,2,14,3,87,15,1,1038,405
96,033ac75,26/09/2019,29/11/2018,25000.0,4,4,1,1348,1,1,1,1,2019-09-26,7600.0,4.99,19.8,1,0,2,21,3,108,15,1,1231,405
97,033cd78,28/10/2019,09/01/2019,9000.0,9,11,1,17,1,1,1,1,2019-10-28,10700.0,6.39,33.8,0,0,2,6,3,77,15,1,1288,405
98,033d958,28/10/2019,26/04/2019,20000.0,3,1,1,258,1,1,1,1,2019-10-28,2400.0,6.39,8.3,0,0,2,14,3,87,15,1,109,405
99,034ddea,20/09/2019,09/04/2018,70000.0,23,25,4,4,1,1,7,4,2019-09-20,35800.0,2.89,21.5,0,0,2,26,4,119,10,1,1401,372
100,03504d7,28/10/2019,28/02/2019,15100.0,70,22,153,55,1,2,5,1,2019-10-28,1100.0,6.39,10.3,0,0,4,8,3,122,19,1,9,412
101,035c01c,07/10/2019,04/01/2019,75000.0,2,2,47,165,1,1,3,2,2019-10-07,34500.0,2.49,4.3,1,1,2,13,1,98,8,1,1374,330
102,035f9e6,20/09/2019,02/05/2018,5000.0,16,14,1,488,1,1,1,1,2019-09-20,2800.0,6.39,36.2,0,0,2,15,3,88,15,1,242,405
103,0360f00,16/10/2019,29/11/2018,45000.0,4,4,306,2475,1,4,5,1,2019-10-16,9700.0,4.99,11.1,0,0,3,21,3,108,19,1,950,86
104,036707b,28/10/2019,11/04/2019,40000.0,5,9,739,0,1,4,1,1,2019-10-28,9100.0,6.39,22.5,0,0,3,24,3,113,15,1,1297,246
105,036ee4a,21/10/2019,04/12/2018,25000.0,7,7,122,1276,1,1,2,1,2019-10-21,6200.0,5.69,16.5,0,0,2,20,3,101,14,1,603,496
106,03719a2,03/10/2019,01/09/2018,20000.0,4,4,26,1,1,1,5,1,2019-10-03,24100.0,2.89,19.2,0,0,2,21,3,108,19,1,1295,429
107,0372dbb,08/10/2019,28/03/2017,20000.0,4,4,16,110,1,1,4,2,2019-10-08,8300.0,4.99,7.1,0,0,2,21,1,108,7,1,31,450
108,037c86b,07/10/2019,30/08/2018,35000.0,11,8,201,91,1,4,2,1,2019-10-07,9200.0,6.39,14.6,0,0,3,4,3,72,14,1,21,384
109,0380a30,19/09/2019,28/11/2017,30000.0,2,2,56,455,1,1,4,2,2019-09-19,17700.0,3.59,16.4,0,0,2,13,1,98,7,1,220,2
110,0386e9d,18/09/2019,26/05/2018,120000.0,2,2,29,39,1,1,5,1,2019-09-18,27300.0,2.89,29.7,1,1,2,13,3,98,19,1,1365,342
111,03b0aba,17/10/2019,17/12/2018,15000.0,2,2,335,0,1,4,6,2,2019-10-17,7600.0,5.69,18.0,0,0,3,13,1,98,16,1,1297,101
112,03b0bb3,26/09/2019,17/10/2018,12000.0,2,2,8,1891,1,1,10,4,2019-09-26,5200.0,6.39,20.7,0,0,2,13,4,98,17,1,807,428
113,03b4cec,01/10/2019,27/11/2018,50000.0,34,15,1,3154,1,1,1,1,2019-10-01,46900.0,2.89,19.5,0,0,2,23,3,65,15,1,1127,405
114,03b8634,25/09/2019,05/10/2018,6000.0,8,10,27,1392,1,2,1,1,2019-09-25,7900.0,4.99,20.4,0,0,4,3,3,76,15,1,647,354
115,03b8e2c,04/10/2019,21/01/2019,30000.0,7,7,44,311,1,1,18,3,2019-10-04,13300.0,6.39,17.9,0,0,2,20,5,101,5,1,137,322
116,03c4c49,16/10/2019,08/02/2019,20000.0,34,15,4,240,1,1,7,4,2019-10-16,6800.0,6.39,18.6,0,0,2,23,4,65,10,1,1294,372
117,03cd0c9,05/09/2019,16/01/2018,14000.0,34,15,154,0,1,1,4,2,2019-09-05,24800.0,2.89,19.5,0,0,2,23,1,65,7,1,1297,287
118,03d79f0,25/09/2019,02/06/2017,40000.0,4,4,17,1,1,1,2,1,2019-09-25,6900.0,2.89,3.0,0,0,2,21,3,108,14,1,1295,396
119,03d8011,08/10/2019,18/11/2016,20000.0,9,11,181,1837,1,1,21,5,2019-10-08,4000.0,6.39,21.1,0,0,2,6,2,77,12,1,792,27
120,03dd486,20/09/2019,08/07/2018,32000.0,70,22,81,355,1,1,12,1,2019-09-20,5700.0,4.99,18.8,0,0,2,8,3,122,13,1,1443,381
121,03df854,31/10/2019,27/04/2019,20000.0,5,9,9,641,1,1,6,2,2019-10-31,4100.0,6.39,18.6,0,0,2,24,1,113,16,1,1395,355
122,03e1eaf,16/10/2019,21/03/2018,14000.0,18,21,2,22,1,1,2,1,2019-10-16,2800.0,6.39,28.0,0,0,2,22,3,109,14,1,1344,385
123,03e2afe,07/10/2019,26/06/2019,20000.0,15,5,29,819,1,1,5,1,2019-10-07,2900.0,6.39,10.5,0,0,2,17,3,71,19,1,411,342
124,03ec02e,30/10/2019,21/11/2018,70000.0,7,7,42,127,1,1,15,3,2019-10-30,89700.0,1.89,35.5,0,1,2,20,5,101,4,1,1410,367
125,03fccec,16/10/2019,23/02/2018,15000.0,38,26,4,104,1,1,7,4,2019-10-16,6300.0,4.99,23.6,0,0,2,7,4,84,10,1,1327,372
126,040a6e4,08/10/2019,21/02/2019,10000.0,49,8,109,1467,1,1,6,2,2019-10-08,4400.0,6.39,28.7,0,0,2,4,1,128,16,1,683,397
127,041199a,28/10/2019,11/05/2018,20000.0,3,1,117,2281,1,1,1,1,2019-10-28,5400.0,6.39,25.0,0,0,2,14,3,87,15,1,907,8
128,04271f1,24/10/2019,29/06/2018,30000.0,51,17,161,254,1,1,5,1,2019-10-24,9700.0,5.69,15.6,0,0,2,1,3,48,19,1,108,438
129,043170e,28/10/2019,31/07/2018,40000.0,13,13,18,69,1,1,3,2,2019-10-28,26900.0,3.59,22.2,0,0,2,19,1,89,8,1,1302,389
130,04348ad,16/10/2019,18/03/2019,8000.0,57,12,3,296,1,1,3,2,2019-10-16,2900.0,6.39,20.0,1,1,2,2,1,104,8,1,1441,366
131,043a51c,26/09/2019,01/03/2018,5000.0,52,1,26,2187,1,1,5,1,2019-09-26,4600.0,6.39,24.4,1,1,2,14,3,142,19,1,1659,429
132,043d7e3,31/10/2019,09/06/2017,62805.0,3,1,3,7,1,1,3,2,2019-10-31,50600.0,2.89,20.4,0,0,2,14,1,87,8,1,1280,366
133,04402a2,28/10/2019,29/01/2019,20000.0,21,24,48,1,1,1,2,1,2019-10-28,10900.0,6.39,31.9,0,0,2,9,3,90,14,1,1295,390
134,04441ea,28/10/2019,14/12/2018,10000.0,3,1,1,63,1,1,1,1,2019-10-28,4200.0,6.39,35.0,0,0,2,14,3,87,15,1,1409,405
135,04498f0,01/10/2019,12/11/2018,20000.0,18,21,64,1,1,1,4,2,2019-10-01,20700.0,2.89,14.2,0,0,2,22,1,109,7,1,1295,283
136,045df61,02/10/2019,08/02/2019,40000.0,7,7,9,918,1,1,6,2,2019-10-02,19700.0,4.29,11.2,1,1,2,20,1,101,16,1,1467,355
137,045f1e6,21/10/2019,10/10/2017,25000.0,4,4,48,1,1,1,2,1,2019-10-21,15500.0,4.99,18.2,0,0,2,21,3,108,14,1,1295,390
138,0461e1d,13/09/2019,08/08/2017,20000.0,3,1,273,1075,1,1,11,3,2019-09-13,31800.0,2.89,21.5,1,1,2,14,5,87,21,1,1615,525
139,04660d5,17/10/2019,27/03/2019,9000.0,2,2,11,99,1,1,4,2,2019-10-17,2800.0,6.39,19.7,0,1,2,13,1,98,7,1,1486,462
140,0467cab,21/10/2019,26/09/2018,10000.0,4,4,42,244,1,1,15,3,2019-10-21,3900.0,5.69,25.1,0,0,2,21,5,108,4,1,1334,367
141,046d585,28/10/2019,26/12/2018,15000.0,4,4,3,38,1,1,3,2,2019-10-28,1800.0,6.39,9.3,1,1,2,21,1,108,8,1,1321,366
142,046d95f,07/10/2019,03/01/2019,14000.0,1,3,44,173,1,1,18,3,2019-10-07,10100.0,6.39,15.8,0,0,2,10,5,92,5,1,65,322
143,047b1cf,16/10/2019,16/03/2019,4000.0,20,23,172,2865,1,1,6,2,2019-10-16,900.0,6.39,15.5,1,1,2,25,1,120,16,1,1684,460
144,047bb54,06/09/2019,06/11/2018,12000.0,1,3,72,314,1,1,6,2,2019-09-06,5200.0,6.39,30.6,0,0,2,10,1,92,16,1,1385,328
145,04830df,09/09/2019,02/10/2018,4500.0,15,5,1,1298,1,1,1,1,2019-09-09,1400.0,4.99,6.3,1,0,2,17,3,71,15,1,1230,405
146,048491a,28/10/2019,28/03/2019,3200.0,3,1,1,1524,1,1,1,1,2019-10-28,1500.0,6.39,22.8,0,0,2,14,3,87,15,1,704,405
147,049ea2f,30/10/2019,23/10/2018,7000.0,9,11,229,1,1,1,10,4,2019-10-30,6300.0,6.39,24.6,0,0,2,6,4,77,17,1,1295,51
148,049f843,20/09/2019,04/07/2018,20000.0,1,3,125,212,1,1,12,1,2019-09-20,33100.0,2.89,28.0,0,0,2,10,3,92,13,1,1437,427
149,04a11de,16/10/2019,10/07/2018,10000.0,2,2,211,1077,1,1,1,1,2019-10-16,20700.0,2.89,17.4,0,0,2,13,3,98,15,1,522,292
150,04a1a19,28/10/2019,15/05/2017,150000.0,17,20,3,1,1,1,3,2,2019-10-28,69000.0,1.89,12.4,0,0,2,12,1,97,8,1,1295,366
151,04a72a5,18/09/2019,26/03/2018,30001.0,2,2,127,1448,1,1,4,2,2019-09-18,65800.0,1.89,18.3,0,0,2,13,1,98,7,1,675,12
152,04ac313,07/10/2019,10/02/2018,6000.0,4,4,587,0,1,3,5,1,2019-10-07,2800.0,4.99,9.6,0,0,1,21,3,108,19,1,1297,208
153,04c18c8,15/10/2019,30/11/2018,55000.0,41,5,38,1292,1,1,1,1,2019-10-15,5900.0,4.99,8.7,0,0,2,17,3,79,15,1,611,404
154,04d4800,16/09/2019,22/11/2018,10000.0,2,2,4,4,1,1,7,4,2019-09-16,5800.0,4.99,28.0,0,0,2,13,4,98,10,1,1401,372
155,04daf35,02/09/2019,19/04/2018,20000.0,6,1,44,1680,1,1,18,3,2019-09-02,18200.0,3.59,23.2,0,0,2,14,5,78,5,1,756,322
156,04ef972,28/10/2019,04/12/2018,15000.0,29,6,1,36,1,1,1,1,2019-10-28,15700.0,4.99,26.1,0,0,2,18,3,117,15,1,1285,405
157,04f6840,20/09/2019,22/12/2018,40000.0,4,4,449,1,1,1,8,3,2019-09-20,45300.0,2.89,20.9,1,1,2,21,5,108,9,1,1295,573
158,0515f27,11/09/2019,09/08/2017,20000.0,15,5,439,0,1,1,1,1,2019-09-11,4100.0,6.39,27.4,1,0,2,17,3,71,15,1,1297,313
159,0523f97,28/10/2019,27/02/2019,10100.0,1,3,59,400,1,1,1,1,2019-10-28,3500.0,6.39,18.8,1,1,2,10,3,92,15,1,1584,421
160,052f537,02/09/2019,28/11/2018,5000.0,12,1,168,1371,1,1,2,1,2019-09-02,7800.0,4.99,30.7,0,0,2,14,3,139,14,1,640,294
161,0536c13,26/09/2019,03/12/2018,15000.0,106,26,284,0,1,1,1,1,2019-09-26,20800.0,3.59,18.4,0,0,2,7,3,18,15,1,1297,526
162,053a6e7,16/10/2019,20/02/2019,20000.0,6,1,59,1,1,1,1,1,2019-10-16,9700.0,6.39,14.6,0,0,2,14,3,78,15,1,1295,421
163,0558b84,24/10/2019,26/01/2018,10000.0,32,5,2,1,1,1,2,1,2019-10-24,6600.0,4.99,15.7,0,0,2,17,3,74,14,1,1295,385
