,client_id,data_de_desembolso_,limite_,juros_am_,retencao_,default_60d,default_mar
59,012fb17,2019-10-09,20700.0,1.89,4.2,0,0
60,013512d,2019-10-02,32900.0,3.59,13.4,0,0
61,01388b7,2019-09-25,13800.0,4.99,24.6,0,0
63,0141fc9,2019-10-11,6400.0,4.99,17.2,0,0
66,0148d53,2019-10-31,6500.0,6.39,27.4,0,0
68,0150aa5,2019-09-23,9900.0,4.99,17.8,0,0
69,015870b,2019-10-23,6900.0,5.69,11.8,1,1
72,0161d27,2019-10-21,41400.0,2.49,14.5,1,0
74,01673d6,2019-09-25,35500.0,2.89,25.1,1,1
76,0173ccb,2019-10-07,13800.0,4.99,24.0,0,0
80,01aff61,2019-10-07,20700.0,2.89,11.5,0,0
82,01b20df,2019-10-24,11800.0,5.69,34.9,0,0
85,01b6b3e,2019-10-16,30400.0,2.89,21.9,0,0
86,01b8101,2019-10-07,44200.0,3.59,13.6,0,0
87,01b9e86,2019-10-09,22600.0,2.89,19.4,1,1
89,01bbfd5,2019-09-23,30800.0,2.89,21.6,1,1
90,01c3da5,2019-09-19,4000.0,6.39,27.0,0,0
91,01ce685,2019-09-03,19300.0,3.59,27.2,1,1
94,01e33de,2019-10-16,6800.0,5.69,17.9,1,0
95,01e4376,2019-10-16,57300.0,1.89,20.0,0,0
98,01ef9c7,2019-09-23,13500.0,4.99,25.7,1,1
99,01f5448,2019-10-01,19900.0,3.59,23.0,0,0
100,01f704f,2019-09-26,6000.0,4.99,9.7,0,0
102,0201d39,2019-10-25,11000.0,4.99,22.4,0,0
103,020c8da,2019-10-07,8800.0,6.39,12.9,1,0
105,0211bd4,2019-10-21,20700.0,3.59,11.3,0,0
106,021842e,2019-10-07,28700.0,3.59,13.5,1,1
109,02255b7,2019-10-07,11000.0,4.99,26.1,0,0
110,023b059,2019-09-06,40700.0,2.89,21.2,0,0
111,023c3dc,2019-10-10,13000.0,4.99,22.7,0,0
114,023cdfc,2019-09-25,32300.0,2.89,21.0,0,0
117,0248d04,2019-10-07,2800.0,6.39,8.9,0,0
118,0249ce2,2019-10-25,20700.0,1.89,6.9,1,0
120,0254dee,2019-10-28,8800.0,6.39,27.5,0,0
123,0261c08,2019-09-25,34500.0,2.89,19.3,0,0
125,026577c,2019-09-13,2300.0,4.99,8.0,0,0
126,026594c,2019-09-04,11000.0,3.59,17.4,0,0
127,026c1b3,2019-10-25,2800.0,6.39,8.9,0,0
130,028563e,2019-09-04,52400.0,1.89,23.3,0,0
131,028c264,2019-10-16,4400.0,6.39,27.5,0,0
133,0290f95,2019-09-16,9800.0,4.99,26.3,0,0
136,02a47bb,2019-09-23,27600.0,2.89,16.5,0,0
137,02adb3f,2019-10-07,69000.0,1.89,4.0,0,0
138,02ae998,2019-10-25,8300.0,6.39,21.5,0,0
140,02b457c,2019-10-30,6900.0,6.39,22.4,0,0
141,02b5885,2019-10-21,1900.0,6.39,9.3,0,0
142,02cad2e,2019-10-08,2100.0,6.39,7.6,0,0
143,02cfae0,2019-09-04,69000.0,1.89,6.4,0,0
145,02e4e74,2019-10-28,23200.0,3.59,21.7,0,0
148,02f3dbc,2019-10-16,5800.0,6.39,13.2,0,0
149,02f64b6,2019-10-21,5700.0,6.39,11.7,0,0
150,030048c,2019-10-28,800.0,6.39,16.2,0,0
152,030ee21,2019-10-02,3200.0,6.39,17.3,0,0
154,0316d6a,2019-09-10,10000.0,4.99,28.1,0,0
155,031b5e4,2019-09-25,40300.0,2.89,23.1,0,0
156,032269b,2019-09-25,5300.0,6.39,20.4,0,0
157,03233ee,2019-10-07,8300.0,6.39,17.2,0,1
161,0332e9c,2019-10-31,3500.0,6.39,23.8,1,1
163,033a046,2019-10-11,33100.0,2.89,21.2,0,0
164,033ac75,2019-09-26,7600.0,4.99,19.8,1,0
165,033cd78,2019-10-28,10700.0,6.39,33.8,0,0
166,033d958,2019-10-28,2400.0,6.39,8.3,0,0
167,034ddea,2019-09-20,35800.0,2.89,21.5,0,0
168,03504d7,2019-10-28,1100.0,6.39,10.3,0,0
169,035c01c,2019-10-07,34500.0,2.49,4.3,1,1
170,035f9e6,2019-09-20,2800.0,6.39,36.2,0,0
171,0360f00,2019-10-16,9700.0,4.99,11.1,0,0
175,036707b,2019-10-28,9100.0,6.39,22.5,0,0
176,036ee4a,2019-10-21,6200.0,5.69,16.5,0,0
177,03719a2,2019-10-03,24100.0,2.89,19.2,0,0
179,0372dbb,2019-10-08,8300.0,4.99,7.1,0,0
180,037c86b,2019-10-07,9200.0,6.39,14.6,0,0
181,0380a30,2019-09-19,17700.0,3.59,16.4,0,0
182,0386e9d,2019-09-18,27300.0,2.89,29.7,1,1
189,03b0aba,2019-10-17,7600.0,5.69,18.0,0,0
190,03b0bb3,2019-09-26,5200.0,6.39,20.7,0,0
191,03b4cec,2019-10-01,46900.0,2.89,19.5,0,0
192,03b8634,2019-09-25,7900.0,4.99,20.4,0,0
193,03b8e2c,2019-10-04,13300.0,6.39,17.9,0,0
196,03c4c49,2019-10-16,6800.0,6.39,18.6,0,0
197,03cd0c9,2019-09-05,24800.0,2.89,19.5,0,0
198,03d79f0,2019-09-25,6900.0,2.89,3.0,0,0
199,03d8011,2019-10-08,4000.0,6.39,21.1,0,0
200,03dd486,2019-09-20,5700.0,4.99,18.8,0,0
201,03df854,2019-10-31,4100.0,6.39,18.6,0,0
203,03e1eaf,2019-10-16,2800.0,6.39,28.0,0,0
204,03e2afe,2019-10-07,2900.0,6.39,10.5,0,0
207,03ec02e,2019-10-30,89700.0,1.89,35.5,0,1
208,03fccec,2019-10-16,6300.0,4.99,23.6,0,0
210,040a6e4,2019-10-08,4400.0,6.39,28.7,0,0
212,041199a,2019-10-28,5400.0,6.39,25.0,0,0
217,04271f1,2019-10-24,9700.0,5.69,15.6,0,0
219,043170e,2019-10-28,26900.0,3.59,22.2,0,0
220,04348ad,2019-10-16,2900.0,6.39,20.0,1,1
221,043a51c,2019-09-26,4600.0,6.39,24.4,1,1
222,043d7e3,2019-10-31,50600.0,2.89,20.4,0,0
223,04402a2,2019-10-28,10900.0,6.39,31.9,0,0
225,04441ea,2019-10-28,4200.0,6.39,35.0,0,0
226,04498f0,2019-10-01,20700.0,2.89,14.2,0,0
229,045df61,2019-10-02,19700.0,4.29,11.2,1,1
230,045f1e6,2019-10-21,15500.0,4.99,18.2,0,0
231,0461e1d,2019-09-13,31800.0,2.89,21.5,1,1
232,04660d5,2019-10-17,2800.0,6.39,19.7,0,1
233,0467cab,2019-10-21,3900.0,5.69,25.1,0,0
235,046d585,2019-10-28,1800.0,6.39,9.3,1,1
236,046d95f,2019-10-07,10100.0,6.39,15.8,0,0
238,047b1cf,2019-10-16,900.0,6.39,15.5,1,1
239,047bb54,2019-09-06,5200.0,6.39,30.6,0,0
241,04830df,2019-09-09,1400.0,4.99,6.3,1,0
243,048491a,2019-10-28,1500.0,6.39,22.8,0,0
247,049ea2f,2019-10-30,6300.0,6.39,24.6,0,0
248,049f843,2019-09-20,33100.0,2.89,28.0,0,0
249,04a11de,2019-10-16,20700.0,2.89,17.4,0,0
250,04a1a19,2019-10-28,69000.0,1.89,12.4,0,0
251,04a72a5,2019-09-18,65800.0,1.89,18.3,0,0
253,04ac313,2019-10-07,2800.0,4.99,9.6,0,0
257,04c18c8,2019-10-15,5900.0,4.99,8.7,0,0
260,04d4800,2019-09-16,5800.0,4.99,28.0,0,0
263,04daf35,2019-09-02,18200.0,3.59,23.2,0,0
265,04ef972,2019-10-28,15700.0,4.99,26.1,0,0
267,04f6840,2019-09-20,45300.0,2.89,20.9,1,1
274,0515f27,2019-09-11,4100.0,6.39,27.4,1,0
275,0523f97,2019-10-28,3500.0,6.39,18.8,1,1
276,052f537,2019-09-02,7800.0,4.99,30.7,0,0
277,0536c13,2019-09-26,20800.0,3.59,18.4,0,0
279,053a6e7,2019-10-16,9700.0,6.39,14.6,0,0
287,0558b84,2019-10-24,6600.0,4.99,15.7,0,0
292,056cd9a,2019-10-25,8600.0,4.99,21.8,1,1
293,0579d2c,2019-10-28,8300.0,6.39,20.1,0,1
294,057beb9,2019-10-09,26100.0,2.89,28.5,1,1
295,057c33c,2019-10-07,54700.0,1.89,20.3,0,0
296,057c48f,2019-09-16,26900.0,2.89,15.9,0,0
297,057d8cb,2019-10-31,8900.0,6.39,17.7,0,0
298,05834f1,2019-10-31,2800.0,6.39,12.3,0,0
299,05915f2,2019-10-28,6500.0,6.39,33.1,1,1
301,059ba15,2019-10-28,9700.0,6.39,17.9,0,0
305,05abbb3,2019-10-16,14900.0,4.29,13.9,0,0
309,05bb2e6,2019-10-16,11700.0,4.99,22.5,0,0
310,05bb51d,2019-09-25,69000.0,1.89,10.5,0,0
311,05c4337,2019-09-11,63200.0,1.89,15.8,0,0
312,05c4fa6,2019-10-01,3700.0,6.39,8.8,0,0
313,05ce37d,2019-09-02,48300.0,2.19,28.7,1,0
314,05dbc1a,2019-09-23,12400.0,4.99,18.7,0,0
315,05dedbc,2019-10-07,9500.0,6.39,24.3,0,0
319,05fe103,2019-09-06,5200.0,6.39,37.4,0,0
320,0620f2c,2019-09-25,34500.0,2.89,22.1,0,0
321,062e815,2019-09-12,11700.0,4.99,28.8,1,0
322,063f035,2019-10-07,8800.0,6.39,16.4,0,0
323,063f899,2019-10-25,5600.0,6.39,21.9,0,1
324,064772e,2019-10-11,13800.0,4.99,15.3,0,0
325,064bc78,2019-10-07,55200.0,2.49,5.6,1,0
330,067fb9e,2019-10-02,14700.0,6.39,21.7,0,0
331,068004b,2019-10-07,27600.0,2.89,18.5,0,0
332,0687e2c,2019-09-20,69000.0,1.89,14.8,0,0
334,068ccb4,2019-10-28,36500.0,3.59,14.0,0,0
335,068df27,2019-10-07,69000.0,1.89,15.2,0,0
337,069bdda,2019-10-16,4400.0,6.39,18.9,0,0
339,06ac288,2019-10-31,59300.0,1.89,17.4,0,0
340,06b7f6c,2019-09-25,22100.0,2.89,18.3,0,0
344,06ce9da,2019-10-02,44200.0,2.89,21.2,0,0
345,06d170a,2019-10-28,2800.0,4.99,3.9,1,1
346,06daee2,2019-10-15,17800.0,3.59,14.1,1,0
347,06dbd45,2019-10-02,3800.0,6.39,17.7,1,1
348,06e271e,2019-10-11,8500.0,4.99,21.1,0,0
349,06ebbd1,2019-10-31,19600.0,4.99,23.8,1,1
350,06f35bc,2019-10-31,1200.0,6.39,8.4,1,0
351,06f6ff1,2019-09-30,13800.0,4.99,12.3,0,1
352,06fff4d,2019-10-04,6900.0,2.89,3.9,0,0
354,070ee42,2019-09-04,15200.0,4.29,23.5,0,0
355,07147a6,2019-10-24,3400.0,5.69,21.0,0,0
356,071aa50,2019-10-28,20700.0,3.59,17.8,0,0
358,071f30e,2019-10-31,5200.0,6.39,15.3,0,0
359,07280ca,2019-10-15,10200.0,4.99,24.8,0,0
361,072cc1a,2019-10-07,61200.0,1.89,19.7,0,0
362,0731ab3,2019-10-17,27600.0,3.59,13.5,0,0
363,0731f20,2019-09-12,69000.0,1.89,15.5,0,0
364,0742cc5,2019-10-07,24800.0,3.59,19.3,0,1
368,0751a70,2019-09-23,14700.0,4.99,22.0,0,0
374,07706fc,2019-09-02,7000.0,4.99,25.3,0,0
375,0770ee1,2019-10-31,4900.0,6.39,15.1,0,0
377,078688c,2019-10-15,6900.0,5.69,18.9,0,0
379,07895b7,2019-10-04,13500.0,6.39,16.8,0,0
380,078bae6,2019-09-03,44900.0,2.89,35.4,0,0
381,078e7f6,2019-10-31,800.0,6.39,13.9,0,0
385,07b012c,2019-09-25,20700.0,2.89,15.1,0,0
386,07b6ca3,2019-10-07,2800.0,6.39,18.3,0,0
387,07b77ca,2019-10-28,8900.0,4.99,25.3,0,0
388,07b9358,2019-10-08,27600.0,2.89,14.7,0,0
391,07c5653,2019-09-05,700.0,7.09,8.8,0,0
394,07cbf31,2019-10-08,45200.0,3.59,15.1,0,0
395,07cf4fe,2019-10-29,9700.0,6.39,33.6,0,0
396,07d1d63,2019-10-21,8300.0,5.69,18.5,0,0
397,07d4896,2019-09-13,9700.0,4.99,32.3,0,0
398,07d632e,2019-10-25,5600.0,6.39,21.1,0,0
399,07dd361,2019-10-28,3400.0,6.39,19.2,0,0
400,07e704d,2019-09-03,10400.0,4.99,25.8,1,1
403,07f539a,2019-09-25,10800.0,4.99,26.5,0,0
408,080b6b8,2019-10-07,13800.0,6.39,17.6,0,0
409,080de1c,2019-10-16,700.0,6.39,15.4,1,1
413,08213a0,2019-09-25,11600.0,4.99,21.6,1,1
415,083ab5c,2019-10-31,10400.0,6.39,17.7,0,0
416,083c795,2019-09-23,8900.0,4.99,19.8,0,0
418,08416a6,2019-10-28,2500.0,6.39,21.8,0,0
422,085d806,2019-10-22,4100.0,4.99,17.3,0,0
424,0868f00,2019-10-16,4100.0,6.39,8.6,0,0
425,086b6d7,2019-10-28,2500.0,4.99,12.0,0,0
426,087f870,2019-10-16,5500.0,6.39,15.1,0,0
428,0882bcf,2019-09-20,9200.0,4.99,16.6,0,1
431,08a0b4f,2019-10-28,5900.0,6.39,26.5,0,0
432,08a4051,2019-09-25,11800.0,4.29,22.4,1,1
433,08a9ed9,2019-10-30,16600.0,4.29,20.4,0,0
436,08b1aa3,2019-09-12,69000.0,1.89,13.9,0,0
437,08b28e9,2019-10-10,69000.0,1.89,14.2,0,0
438,08b79fa,2019-10-16,2500.0,5.69,11.0,0,0
439,08b97b3,2019-10-23,47500.0,3.59,14.4,0,0
442,08d12c5,2019-10-07,7900.0,4.99,19.9,0,0
443,08d663b,2019-10-16,33900.0,2.89,17.0,0,0
444,08d9275,2019-10-07,20700.0,3.59,5.0,1,1
445,08da36b,2019-09-26,13100.0,4.99,17.9,0,0
447,08dffc3,2019-10-16,5200.0,5.69,13.2,0,0
450,08ec5ea,2019-10-01,40000.0,2.89,26.2,0,0
451,08edf91,2019-10-18,4500.0,5.69,20.7,0,0
454,08f5826,2019-10-07,69000.0,1.89,10.9,1,1
455,08f5a43,2019-10-29,300.0,5.69,19.6,0,0
456,08f6844,2019-10-03,13400.0,4.99,21.8,0,1
457,08f7ff4,2019-10-25,9000.0,3.59,9.8,0,0
458,08fe218,2019-09-26,34500.0,2.89,13.6,0,0
459,090414a,2019-09-30,42200.0,2.89,18.7,0,0
464,0916b93,2019-10-17,6900.0,4.99,23.1,1,0
465,091f5af,2019-10-31,4200.0,6.39,22.1,0,0
466,092ac7c,2019-10-28,1400.0,6.39,23.2,0,0
468,093656c,2019-09-30,5500.0,4.99,11.9,0,0
470,0938b9e,2019-10-23,11900.0,4.29,25.8,1,0
471,093da73,2019-10-15,11000.0,4.29,23.1,0,0
475,094f54a,2019-09-23,38600.0,2.89,15.4,0,0
477,09565ca,2019-10-16,19100.0,3.59,18.3,1,1
478,09568f6,2019-09-02,11000.0,4.29,23.7,0,0
479,0959b98,2019-09-30,55200.0,1.89,25.2,1,1
480,095a07e,2019-10-28,4200.0,6.39,22.2,0,1
483,09664d0,2019-10-31,4400.0,6.39,16.6,0,0
484,0976a96,2019-10-25,4700.0,6.39,29.2,0,0
485,0976d04,2019-10-15,20000.0,3.59,20.1,0,0
486,0979a54,2019-10-11,46700.0,2.89,18.0,0,0
488,097bca7,2019-10-23,3900.0,6.39,16.1,1,1
489,097d542,2019-10-28,4100.0,5.69,17.4,0,0
491,0988bd2,2019-10-11,11700.0,4.99,19.4,1,1
492,09924ae,2019-10-28,3900.0,6.39,15.1,0,0
493,0992c1a,2019-09-10,10600.0,4.99,15.9,0,0
495,099e43f,2019-10-31,3800.0,6.39,18.3,1,1
496,099ea73,2019-10-21,4100.0,4.99,4.5,0,0
501,09abe4b,2019-09-12,15800.0,4.29,23.7,1,0
503,09b995d,2019-10-16,20700.0,4.29,13.1,0,0
504,09bdfd4,2019-10-30,10700.0,4.99,11.5,0,1
505,09cad3c,2019-10-30,7500.0,4.99,11.0,0,0
506,09d6528,2019-10-30,31000.0,3.59,21.5,0,0
508,09e68eb,2019-10-09,41400.0,1.89,13.6,0,0
509,09e7c0a,2019-09-23,11100.0,4.99,32.2,0,0
510,09ecac6,2019-10-15,6700.0,4.99,18.5,0,0
512,09f5011,2019-09-19,11600.0,4.29,23.7,1,0
518,0a1d955,2019-10-28,10800.0,6.39,27.1,0,0
528,0a3bf8a,2019-10-28,3400.0,6.39,14.9,0,0
529,0a4a02c,2019-09-05,39500.0,2.89,26.6,0,0
530,0a4a477,2019-09-20,24100.0,2.89,19.7,0,1
531,0a4e63c,2019-10-16,7600.0,6.39,15.4,0,0
532,0a51208,2019-09-25,12300.0,4.99,24.5,0,1
533,0a52e1e,2019-10-02,4100.0,6.39,8.0,1,1
534,0a5a20b,2019-09-12,69000.0,1.89,15.4,0,0
536,0a5d6c7,2019-10-21,2600.0,6.39,25.1,0,0
537,0a60ed8,2019-10-07,12100.0,4.99,22.4,0,0
539,0a6321c,2019-09-06,45300.0,2.89,22.4,0,0
541,0a69d48,2019-10-31,1400.0,6.39,15.6,0,0
542,0a728d0,2019-10-23,16000.0,4.29,17.4,0,0
544,0a86317,2019-09-20,38600.0,2.89,10.7,0,0
545,0a8b965,2019-10-21,23400.0,3.59,14.1,0,0
546,0a8d661,2019-10-16,33100.0,3.59,17.8,0,0
547,0a9451e,2019-10-02,4000.0,6.39,20.9,0,0
551,0aaf9b7,2019-10-30,2900.0,6.39,31.9,0,0
552,0ab496b,2019-10-08,4700.0,6.39,14.6,0,0
553,0ab532a,2019-10-28,3200.0,6.39,16.6,0,0
554,0abac1e,2019-10-21,1700.0,6.39,23.1,0,1
555,0abba77,2019-10-28,5800.0,6.39,27.4,0,0
556,0abe529,2019-10-02,69000.0,1.89,9.1,0,0
557,0ac7424,2019-10-23,24800.0,4.99,17.8,0,0
559,0acd4d7,2019-10-02,43400.0,2.89,18.0,0,0
560,0ad77fa,2019-09-11,12300.0,4.29,26.7,0,0
561,0ae4018,2019-09-20,26100.0,2.89,17.7,0,0
562,0ae6456,2019-10-16,19200.0,4.29,18.5,0,0
566,0af3661,2019-10-31,9000.0,6.39,20.0,0,0
567,0afa0cc,2019-09-02,30100.0,2.89,27.3,0,0
570,0b0d2f9,2019-10-30,41400.0,2.89,14.9,0,0
572,0b11e69,2019-10-25,17300.0,3.59,23.7,0,0
576,0b17d37,2019-10-09,16300.0,4.99,24.1,0,0
577,0b20722,2019-09-25,23500.0,2.89,18.2,0,0
581,0b2ea6b,2019-09-10,23400.0,2.89,27.5,0,0
582,0b2ed41,2019-10-03,15200.0,6.39,16.4,0,0
583,0b2fe1c,2019-10-28,5500.0,6.39,22.0,0,0
585,0b37a77,2019-10-31,800.0,6.39,23.1,0,0
587,0b3fe5c,2019-09-18,3600.0,6.39,35.4,1,0
588,0b450d3,2019-10-30,4600.0,6.39,23.1,0,0
589,0b457fd,2019-09-10,6600.0,4.99,28.7,0,0
590,0b49175,2019-10-16,4300.0,6.39,22.8,0,0
591,0b53735,2019-10-25,6900.0,6.39,23.8,0,0
593,0b5efb7,2019-10-07,44000.0,2.89,27.7,0,0
597,0b76997,2019-10-07,12500.0,4.99,21.8,0,0
599,0b8d9b9,2019-10-28,2300.0,6.39,15.5,0,0
600,0b8dda5,2019-10-28,7500.0,6.39,31.6,0,0
603,0b97bdd,2019-10-02,35300.0,3.59,13.6,0,0
604,0ba46bf,2019-10-16,4100.0,6.39,19.6,0,0
606,0babda4,2019-09-26,9700.0,4.99,13.5,0,0
608,0bac458,2019-10-31,4100.0,6.39,18.6,0,0
610,0bb7139,2019-10-11,4400.0,6.39,22.4,0,0
611,0bbfe7a,2019-09-25,12100.0,4.99,16.7,0,0
612,0bcb2b6,2019-10-31,47500.0,2.89,19.0,1,0
613,0bcddca,2019-09-10,13800.0,2.89,10.0,0,0
614,0bd09f0,2019-10-11,9400.0,4.99,21.3,1,0
615,0bd2c2a,2019-09-23,8100.0,4.99,13.7,0,0
616,0bdc52d,2019-09-23,55100.0,1.89,16.0,0,0
617,0bdf496,2019-10-07,9700.0,2.89,8.2,0,0
618,0be1344,2019-10-21,15600.0,4.99,20.9,0,0
620,0bea4ff,2019-10-23,3100.0,6.39,19.5,0,0
621,0beb302,2019-10-16,69000.0,1.89,15.3,0,0
622,0bf0605,2019-10-11,69000.0,1.89,10.2,0,0
623,0bf23e9,2019-10-24,13800.0,3.59,14.3,0,0
624,0bfb0cc,2019-10-07,8300.0,4.99,10.8,0,0
625,0c050cb,2019-09-26,19200.0,3.59,23.6,0,0
628,0c0f91d,2019-10-31,7100.0,4.99,17.5,0,0
629,0c100b7,2019-10-16,3300.0,5.69,27.3,0,0
630,0c1079b,2019-09-20,36700.0,2.89,17.0,0,0
632,0c1d7cb,2019-10-07,8300.0,4.99,26.6,1,0
633,0c20598,2019-10-07,2100.0,6.39,5.7,0,0
635,0c2bfcc,2019-10-02,2200.0,6.39,16.1,0,0
636,0c37163,2019-09-03,19500.0,3.59,23.6,0,0
637,0c5774a,2019-09-30,20700.0,2.89,8.1,0,0
638,0c63949,2019-10-16,14500.0,4.29,27.4,0,0
639,0c65126,2019-09-25,20700.0,2.89,15.0,0,0
642,0c6c709,2019-10-31,21900.0,4.99,30.8,0,0
643,0c7403d,2019-09-02,69000.0,1.89,30.6,0,0
645,0c88961,2019-10-07,3400.0,6.39,17.3,0,0
646,0c8985d,2019-10-16,11700.0,6.39,18.9,0,0
647,0c8de50,2019-10-16,48200.0,2.89,21.1,0,0
648,0c93582,2019-10-28,13100.0,6.39,18.3,0,0
649,0c93f95,2019-10-01,20200.0,3.59,24.4,0,1
653,0ca0112,2019-10-08,9700.0,6.39,14.8,0,1
655,0ca80d4,2019-10-31,8000.0,6.39,30.0,0,0
656,0ca8969,2019-10-07,28700.0,3.59,12.1,0,0
658,0caa448,2019-09-25,11100.0,4.99,21.0,0,0
660,0cb5fa4,2019-10-07,4100.0,6.39,13.1,0,0
661,0cb7985,2019-09-03,34500.0,2.89,19.7,1,1
662,0cbba90,2019-09-25,42200.0,2.89,24.1,0,0
663,0cc0237,2019-09-25,26200.0,2.89,18.3,0,0
666,0cc3e49,2019-10-07,4100.0,4.99,15.9,0,0
667,0cc3ffb,2019-10-28,7600.0,6.39,26.3,0,0
668,0cc500a,2019-10-21,20700.0,4.29,14.8,1,1
669,0cc6e9e,2019-10-17,3700.0,5.69,19.8,1,1
670,0ccd4c3,2019-10-31,2100.0,6.39,7.3,0,0
675,0ce5af9,2019-10-25,13800.0,6.39,13.5,0,0
676,0cea5e7,2019-10-02,6000.0,6.39,34.4,1,1
678,0cf753f,2019-10-07,5500.0,4.99,12.2,0,0
681,0d035d5,2019-10-28,3600.0,6.39,28.7,0,0
682,0d04ec2,2019-10-25,24800.0,2.89,17.1,0,0
683,0d04fd8,2019-10-21,13800.0,1.89,5.8,0,0
684,0d0b463,2019-10-16,11000.0,6.39,16.2,0,0
686,0d15027,2019-09-02,7300.0,4.99,25.0,0,0
688,0d193ab,2019-10-21,6900.0,4.99,15.5,0,0
693,0d395b8,2019-09-10,17400.0,3.59,28.7,1,0
694,0d3dac1,2019-09-30,20700.0,1.89,3.1,0,0
695,0d42486,2019-10-01,15500.0,6.39,15.9,0,0
696,0d43ac2,2019-09-03,41400.0,2.19,17.2,0,0
697,0d51338,2019-09-10,69000.0,1.89,23.0,0,0
701,0d69923,2019-09-18,4200.0,6.39,28.0,0,0
702,0d7552b,2019-10-16,4500.0,5.69,18.7,0,0
703,0d7a4b6,2019-10-28,12800.0,4.99,13.7,0,0
705,0d801fb,2019-10-31,6500.0,6.39,27.8,0,0
709,0d91ca6,2019-10-09,19800.0,3.59,24.8,0,0
712,0d9c13e,2019-10-31,21000.0,3.59,24.8,1,1
714,0d9d327,2019-10-23,34900.0,2.89,18.7,1,1
717,0db3ee6,2019-10-24,14900.0,6.39,20.7,0,0
721,0dc0406,2019-10-24,6900.0,3.59,10.8,1,1
723,0dc8a7f,2019-10-30,3100.0,6.39,21.7,0,1
724,0dd23e1,2019-09-06,9700.0,2.89,14.1,0,0
726,0dd8a50,2019-10-16,6900.0,4.99,15.0,0,0
728,0ddd1a6,2019-09-04,11600.0,4.29,27.7,0,0
729,0de7e2b,2019-10-16,2900.0,6.39,20.6,0,1
730,0df0ddb,2019-10-17,6500.0,6.39,20.3,0,0
731,0df6b6b,2019-09-20,10100.0,4.99,15.4,0,0
732,0dfd1de,2019-09-25,8300.0,4.99,20.7,1,1
733,0dfecbf,2019-10-01,16600.0,2.89,12.0,0,0
734,0e067f7,2019-10-30,15900.0,4.99,27.3,0,0
737,0e19e8a,2019-10-15,50600.0,2.89,20.6,0,0
742,0e21235,2019-10-01,12200.0,6.39,8.1,1,1
744,0e23cea,2019-10-17,10400.0,5.69,9.9,0,0
745,0e2633f,2019-10-28,4900.0,6.39,32.9,0,0
746,0e2e907,2019-10-08,14300.0,6.39,13.2,0,0
747,0e309f2,2019-10-30,38100.0,2.89,24.1,0,0
750,0e38040,2019-09-20,34600.0,2.89,26.3,0,0
753,0e51d5a,2019-10-09,6600.0,6.39,22.5,0,0
759,0e7d07b,2019-10-30,1700.0,6.39,30.4,0,1
760,0e844fa,2019-10-28,9700.0,6.39,30.0,0,0
762,0e90f14,2019-09-25,8200.0,4.99,12.8,0,0
763,0e94f3f,2019-10-07,55200.0,2.49,13.2,0,0
764,0e9c27b,2019-09-20,12200.0,4.99,15.9,0,1
765,0ea5bf0,2019-10-31,10000.0,6.39,10.6,0,0
