,client_id,mes,total_rav,margem_rav,duration_rav,tipo_rav,data_de_desembolso
65,002b01a,2019-02-28,1426.99,68.0,34.69,1,2019-10-11
64,002b01a,2019-01-31,888.62,55.05,42.96,1,2019-10-11
63,002b01a,2018-12-31,954.93,41.56,30.18,1,2019-10-11
62,002b01a,2018-11-30,1187.82,45.07,26.31,1,2019-10-11
61,002b01a,2018-10-31,2330.8,131.9,39.03,1,2019-10-11
66,002b01a,2019-03-31,1357.01,68.09,41.22,1,2019-10-11
78,0031d29,2019-09-30,4229.31,317.63,59.32,1,2019-10-31
77,0031d29,2019-08-31,7147.31,798.92,88.29,1,2019-10-31
76,0031d29,2019-07-31,7557.82,563.02,58.84,1,2019-10-31
75,0031d29,2019-06-30,1255.46,40.28,25.34,1,2019-10-31
73,0031d29,2019-04-30,5656.1,250.04,34.92,1,2019-10-31
74,0031d29,2019-05-31,4467.3,298.85,52.84,1,2019-10-31
85,004767f,2019-04-30,6226.49,479.9,47.92,2,2019-10-10
88,004767f,2019-09-30,1307.43,8.39,3.99,2,2019-10-10
87,004767f,2019-07-31,2449.96,24.67,6.26,2,2019-10-10
86,004767f,2019-05-31,4268.75,304.49,44.35,2,2019-10-10
84,004767f,2019-03-31,5196.23,298.89,35.77,2,2019-10-10
79,004767f,2018-10-31,4396.09,51.9,7.34,2,2019-10-10
82,004767f,2019-01-31,12709.05,593.42,29.03,2,2019-10-10
81,004767f,2018-12-31,4308.41,56.75,8.19,2,2019-10-10
80,004767f,2018-11-30,1752.9,8.08,2.87,2,2019-10-10
83,004767f,2019-02-28,7757.71,439.01,35.19,2,2019-10-10
100,0053e7f,2019-09-30,2286.25,114.09,35.2,1,2019-10-17
99,0053e7f,2019-08-31,3860.87,245.17,44.79,1,2019-10-17
98,0053e7f,2019-07-31,4216.4,278.48,46.59,1,2019-10-17
97,0053e7f,2019-06-30,2562.09,185.47,51.06,1,2019-10-17
96,0053e7f,2019-05-31,3863.19,296.49,54.14,1,2019-10-17
95,0053e7f,2019-04-30,5951.06,436.92,51.79,1,2019-10-17
93,0053e7f,2019-02-28,2732.0,200.87,51.87,1,2019-10-17
92,0053e7f,2019-01-31,9671.38,729.6,53.22,1,2019-10-17
91,0053e7f,2018-12-31,2406.19,166.68,48.86,1,2019-10-17
90,0053e7f,2018-11-30,4264.52,345.92,57.22,1,2019-10-17
89,0053e7f,2018-10-31,6410.52,421.34,46.36,1,2019-10-17
94,0053e7f,2019-03-31,5454.02,373.82,48.35,1,2019-10-17
108,0063da1,2019-05-31,9045.03,483.43,37.7,1,2019-10-02
112,0063da1,2019-09-30,12870.63,714.11,39.14,1,2019-10-02
111,0063da1,2019-08-31,14618.62,776.59,37.47,1,2019-10-02
110,0063da1,2019-07-31,9684.2,476.57,34.71,1,2019-10-02
109,0063da1,2019-06-30,9122.1,417.72,32.3,1,2019-10-02
107,0063da1,2019-04-30,8756.08,406.5,32.75,1,2019-10-02
104,0063da1,2019-01-31,10639.82,546.42,36.23,1,2019-10-02
105,0063da1,2019-02-28,8228.81,417.05,35.75,1,2019-10-02
103,0063da1,2018-12-31,5970.91,242.85,28.69,1,2019-10-02
102,0063da1,2018-11-30,10942.29,535.84,34.54,1,2019-10-02
101,0063da1,2018-10-31,5123.77,248.73,34.24,1,2019-10-02
106,0063da1,2019-03-31,6186.18,336.92,38.42,1,2019-10-02
120,007ae20,2019-09-30,1493.6,78.54,59.76,1,2019-10-30
119,007ae20,2019-08-31,801.16,39.92,45.28,1,2019-10-30
118,007ae20,2019-07-31,549.35,20.09,25.02,1,2019-10-30
117,007ae20,2019-06-30,324.73,10.46,18.88,2,2019-10-30
116,007ae20,2019-05-31,370.53,12.19,16.87,2,2019-10-30
114,007ae20,2019-02-28,1615.71,79.9,25.35,2,2019-10-30
113,007ae20,2018-12-31,1640.19,42.08,13.15,2,2019-10-30
115,007ae20,2019-04-30,967.82,46.84,24.81,2,2019-10-30
127,007bb49,2019-07-31,4399.23,196.31,39.86,1,2019-10-08
129,007bb49,2019-09-30,4968.38,235.54,42.35,1,2019-10-08
128,007bb49,2019-08-31,4252.58,219.59,46.13,1,2019-10-08
126,007bb49,2019-06-30,3634.88,141.25,34.71,1,2019-10-08
121,007bb49,2019-01-31,5667.16,259.56,24.15,2,2019-10-08
124,007bb49,2019-04-30,4513.67,210.02,41.57,1,2019-10-08
123,007bb49,2019-03-31,549.56,27.47,44.66,1,2019-10-08
122,007bb49,2019-02-28,809.78,40.86,45.07,1,2019-10-08
125,007bb49,2019-05-31,7397.16,454.0,54.83,1,2019-10-08
141,008b0a8,2019-09-30,27168.98,1320.72,52.34,1,2019-10-11
140,008b0a8,2019-08-31,30236.43,1547.67,55.11,1,2019-10-11
139,008b0a8,2019-07-31,15864.73,776.1,52.67,1,2019-10-11
138,008b0a8,2019-06-30,21979.26,1293.12,63.35,1,2019-10-11
137,008b0a8,2019-05-31,16067.82,683.38,45.79,1,2019-10-11
136,008b0a8,2019-04-30,7286.46,678.82,100.3,1,2019-10-11
134,008b0a8,2019-02-28,2202.21,95.27,46.58,1,2019-10-11
133,008b0a8,2019-01-31,1541.11,45.86,32.04,1,2019-10-11
132,008b0a8,2018-12-31,16609.57,456.7,29.6,1,2019-10-11
131,008b0a8,2018-11-30,3229.04,99.65,33.23,1,2019-10-11
130,008b0a8,2018-10-31,8907.56,672.4,51.72,1,2019-10-11
135,008b0a8,2019-03-31,2907.77,105.48,39.06,1,2019-10-11
149,008e4f2,2019-05-31,29878.66,958.01,29.55,1,2019-10-23
153,008e4f2,2019-09-30,27751.35,862.55,28.64,1,2019-10-23
152,008e4f2,2019-08-31,24681.27,772.79,28.85,1,2019-10-23
151,008e4f2,2019-07-31,32438.49,1018.92,28.94,1,2019-10-23
150,008e4f2,2019-06-30,22936.63,688.7,27.67,1,2019-10-23
148,008e4f2,2019-04-30,36940.25,1164.75,29.05,1,2019-10-23
142,008e4f2,2018-10-31,848.25,22.7,24.66,1,2019-10-23
146,008e4f2,2019-02-28,28876.13,926.12,29.55,1,2019-10-23
145,008e4f2,2019-01-31,21852.42,687.74,29.0,1,2019-10-23
144,008e4f2,2018-12-31,35636.45,1163.0,30.07,1,2019-10-23
143,008e4f2,2018-11-30,5047.6,153.07,27.94,1,2019-10-23
147,008e4f2,2019-03-31,32589.34,1032.87,29.2,1,2019-10-23
162,0094f89,2019-05-31,11342.51,307.85,25.24,1,2019-09-12
165,0094f89,2019-08-31,10539.06,286.09,25.24,1,2019-09-12
164,0094f89,2019-07-31,12805.01,344.85,25.04,1,2019-09-12
163,0094f89,2019-06-30,10741.9,290.06,25.11,1,2019-09-12
160,0094f89,2019-03-31,16728.94,448.98,24.96,1,2019-09-12
161,0094f89,2019-04-30,11885.92,320.09,25.04,1,2019-09-12
158,0094f89,2019-01-31,15193.2,410.62,25.13,1,2019-09-12
159,0094f89,2019-02-28,10251.54,280.38,25.43,1,2019-09-12
157,0094f89,2018-12-31,13620.27,368.41,25.15,1,2019-09-12
156,0094f89,2018-11-30,12183.89,330.0,25.18,1,2019-09-12
155,0094f89,2018-10-31,13470.72,364.18,25.14,1,2019-09-12
154,0094f89,2018-09-30,11894.13,321.84,25.16,1,2019-09-12
175,0099a43,2019-09-30,2007.88,76.37,30.4,1,2019-10-07
174,0099a43,2019-08-31,3499.66,127.66,29.06,1,2019-10-07
173,0099a43,2019-07-31,12145.41,488.84,31.75,1,2019-10-07
172,0099a43,2019-06-30,7961.55,287.98,28.79,1,2019-10-07
171,0099a43,2019-05-31,10729.65,404.92,29.81,1,2019-10-07
169,0099a43,2019-03-31,8859.35,484.1,42.08,1,2019-10-07
168,0099a43,2019-02-28,5086.25,258.94,39.44,1,2019-10-07
167,0099a43,2019-01-31,7318.46,322.02,33.34,2,2019-10-07
166,0099a43,2018-12-31,3192.44,137.59,32.65,2,2019-10-07
170,0099a43,2019-04-30,10708.5,525.86,38.89,1,2019-10-07
180,00a12b3,2019-08-31,5912.09,428.57,59.55,1,2019-10-31
181,00a12b3,2019-09-30,9582.69,732.16,62.77,1,2019-10-31
179,00a12b3,2019-07-31,7967.06,739.15,76.22,1,2019-10-31
178,00a12b3,2019-06-30,4598.9,408.35,72.95,1,2019-10-31
177,00a12b3,2019-05-31,11296.7,890.25,64.74,1,2019-10-31
176,00a12b3,2019-04-30,4912.77,550.03,91.98,1,2019-10-31
191,00a14c1,2019-09-30,34068.45,1969.47,98.55,1,2019-10-30
190,00a14c1,2019-08-31,41666.19,2323.0,95.04,1,2019-10-30
189,00a14c1,2019-07-31,47196.57,2541.69,91.81,1,2019-10-30
187,00a14c1,2019-05-31,25844.76,1420.27,93.68,1,2019-10-30
188,00a14c1,2019-06-30,15806.4,508.07,54.8,1,2019-10-30
185,00a14c1,2019-03-31,6776.61,172.3,43.34,1,2019-10-30
184,00a14c1,2019-02-28,10491.11,326.74,53.09,1,2019-10-30
183,00a14c1,2019-01-31,10253.43,431.0,47.36,1,2019-10-30
182,00a14c1,2018-12-31,2729.66,70.66,44.13,1,2019-10-30
186,00a14c1,2019-04-30,8910.86,220.5,42.18,1,2019-10-30
199,00afc8b,2019-04-30,6792.14,209.73,25.08,1,2019-09-20
203,00afc8b,2019-08-31,7583.37,204.91,25.13,1,2019-09-20
202,00afc8b,2019-07-31,6276.22,169.54,25.12,1,2019-09-20
201,00afc8b,2019-06-30,6669.87,180.24,25.13,1,2019-09-20
200,00afc8b,2019-05-31,6651.64,180.19,25.19,1,2019-09-20
198,00afc8b,2019-03-31,6627.05,210.48,24.99,1,2019-09-20
197,00afc8b,2019-02-28,5577.5,179.89,25.38,1,2019-09-20
196,00afc8b,2019-01-31,8087.08,259.67,25.26,1,2019-09-20
195,00afc8b,2018-12-31,4939.15,157.65,25.11,1,2019-09-20
194,00afc8b,2018-11-30,4553.65,145.37,25.12,1,2019-09-20
193,00afc8b,2018-10-31,3961.49,126.2,25.06,1,2019-09-20
192,00afc8b,2018-09-30,3808.03,122.52,25.32,1,2019-09-20
215,00b7378,2019-09-30,11789.28,506.21,25.17,1,2019-10-16
214,00b7378,2019-08-31,8747.51,538.45,36.08,1,2019-10-16
213,00b7378,2019-07-31,17896.43,796.33,26.08,1,2019-10-16
212,00b7378,2019-06-30,7213.08,369.46,30.02,1,2019-10-16
211,00b7378,2019-05-31,1813.34,78.15,25.26,1,2019-10-16
210,00b7378,2019-04-30,4444.98,200.05,26.38,1,2019-10-16
209,00b7378,2019-03-31,2019.87,102.33,29.7,1,2019-10-16
208,00b7378,2019-02-28,6844.37,296.89,25.43,1,2019-10-16
207,00b7378,2019-01-31,15910.74,698.1,25.72,1,2019-10-16
206,00b7378,2018-12-31,16892.52,1009.4,35.03,1,2019-10-16
205,00b7378,2018-11-30,12309.93,638.23,30.39,1,2019-10-16
204,00b7378,2018-10-31,9645.61,493.05,29.96,1,2019-10-16
223,00b9ab4,2019-09-30,4559.67,190.94,22.08,2,2019-10-07
222,00b9ab4,2019-08-31,3970.32,147.05,19.53,2,2019-10-07
221,00b9ab4,2019-07-31,6453.6,189.75,15.5,2,2019-10-07
220,00b9ab4,2019-06-30,600.86,26.37,23.14,2,2019-10-07
217,00b9ab4,2019-03-31,2800.61,76.27,14.36,2,2019-10-07
218,00b9ab4,2019-04-30,3323.93,114.46,18.16,2,2019-10-07
216,00b9ab4,2019-02-28,4267.32,128.12,15.83,2,2019-10-07
219,00b9ab4,2019-05-31,3736.56,126.71,17.88,2,2019-10-07
224,00bafb2,2019-03-31,947.31,28.96,25.02,1,2019-10-28
225,00bafb2,2019-04-30,3179.88,97.15,25.0,1,2019-10-28
226,00bafb2,2019-05-31,3020.31,93.0,25.2,1,2019-10-28
227,00bafb2,2019-06-30,3444.6,105.95,25.17,1,2019-10-28
228,00bafb2,2019-07-31,3434.96,105.24,25.07,1,2019-10-28
229,00bafb2,2019-08-31,2862.13,87.88,25.13,1,2019-10-28
230,00bafb2,2019-09-30,4518.0,138.34,25.06,1,2019-10-28
238,00bcd0d,2019-05-31,2181.29,69.65,23.41,1,2019-10-15
242,00bcd0d,2019-09-30,3843.53,127.55,24.03,1,2019-10-15
240,00bcd0d,2019-07-31,3358.86,113.13,23.96,1,2019-10-15
239,00bcd0d,2019-06-30,983.95,31.18,23.24,1,2019-10-15
237,00bcd0d,2019-04-30,2757.55,87.92,23.38,1,2019-10-15
241,00bcd0d,2019-08-31,3491.92,111.39,23.39,1,2019-10-15
235,00bcd0d,2019-02-28,736.33,23.93,23.83,1,2019-10-15
231,00bcd0d,2018-10-31,3446.35,109.86,23.37,1,2019-10-15
232,00bcd0d,2018-11-30,2600.79,84.07,23.7,1,2019-10-15
236,00bcd0d,2019-03-31,1884.62,60.7,23.41,1,2019-10-15
234,00bcd0d,2019-01-31,852.72,27.0,23.22,1,2019-10-15
233,00bcd0d,2018-12-31,3838.81,357.48,60.86,1,2019-10-15
243,00cd72a,2018-09-30,7200.93,338.7,25.66,1,2019-09-20
254,00cd72a,2019-08-31,11518.57,539.83,25.57,1,2019-09-20
253,00cd72a,2019-07-31,4991.12,232.35,25.4,1,2019-09-20
252,00cd72a,2019-06-30,10270.39,476.55,25.31,1,2019-09-20
249,00cd72a,2019-03-31,5413.16,250.98,25.29,1,2019-09-20
251,00cd72a,2019-05-31,10816.22,505.89,25.51,1,2019-09-20
247,00cd72a,2019-01-31,3120.1,145.62,25.46,1,2019-09-20
246,00cd72a,2018-12-31,4184.1,194.51,25.36,1,2019-09-20
245,00cd72a,2018-11-30,9347.86,732.74,42.76,1,2019-09-20
244,00cd72a,2018-10-31,8859.61,437.45,26.93,1,2019-09-20
248,00cd72a,2019-02-28,8735.65,413.15,25.8,1,2019-09-20
250,00cd72a,2019-04-30,7505.49,394.6,28.68,1,2019-09-20
261,00d7990,2019-03-31,18225.97,1670.4,61.27,1,2019-09-23
266,00d7990,2019-08-31,11231.73,557.44,52.23,1,2019-09-23
265,00d7990,2019-07-31,19694.48,1950.71,66.22,1,2019-09-23
264,00d7990,2019-06-30,13062.21,1131.56,57.91,1,2019-09-23
263,00d7990,2019-05-31,9505.93,748.74,52.66,1,2019-09-23
262,00d7990,2019-04-30,19213.8,1515.01,52.71,1,2019-09-23
260,00d7990,2019-02-28,7976.59,560.93,47.01,1,2019-09-23
258,00d7990,2018-12-31,11738.8,810.0,46.13,1,2019-09-23
257,00d7990,2018-11-30,20296.95,1850.31,60.94,1,2019-09-23
256,00d7990,2018-10-31,13629.18,999.88,49.04,1,2019-09-23
255,00d7990,2018-09-30,12252.13,1030.36,56.22,1,2019-09-23
259,00d7990,2019-01-31,13073.34,1142.23,58.41,1,2019-09-23
276,00d7b02,2019-08-31,6071.97,516.27,62.12,1,2019-09-26
275,00d7b02,2019-07-31,4733.35,366.33,56.54,1,2019-09-26
274,00d7b02,2019-06-30,703.88,32.9,34.15,1,2019-09-26
273,00d7b02,2019-05-31,591.1,20.65,25.53,1,2019-09-26
272,00d7b02,2019-04-30,2610.62,108.82,30.45,1,2019-09-26
270,00d7b02,2019-02-28,1919.6,66.29,25.23,1,2019-09-26
269,00d7b02,2019-01-31,3125.76,281.07,65.7,1,2019-09-26
268,00d7b02,2018-12-31,3682.04,194.23,38.54,1,2019-09-26
267,00d7b02,2018-11-30,1197.1,82.63,50.43,1,2019-09-26
271,00d7b02,2019-03-31,118.39,4.37,26.97,1,2019-09-26
283,00dcaaf,2019-09-30,8325.39,963.4,118.36,1,2019-10-28
282,00dcaaf,2019-08-31,913.26,22.25,24.92,1,2019-10-28
281,00dcaaf,2019-07-31,792.81,19.4,25.03,1,2019-10-28
280,00dcaaf,2019-06-30,455.03,11.26,25.3,1,2019-10-28
278,00dcaaf,2019-04-30,932.23,22.68,24.89,1,2019-10-28
279,00dcaaf,2019-05-31,744.87,18.54,25.45,1,2019-10-28
277,00dcaaf,2019-03-31,20.27,0.53,26.97,1,2019-10-28
291,00de358,2019-05-31,10866.57,264.69,25.04,1,2019-10-15
295,00de358,2019-09-30,7241.33,176.35,25.03,1,2019-10-15
294,00de358,2019-08-31,7322.51,178.09,25.0,1,2019-10-15
293,00de358,2019-07-31,6545.67,158.48,24.89,1,2019-10-15
292,00de358,2019-06-30,11279.8,275.38,25.1,1,2019-10-15
290,00de358,2019-04-30,11944.53,290.71,25.02,1,2019-10-15
288,00de358,2019-02-28,12073.74,387.89,25.37,1,2019-10-15
287,00de358,2019-01-31,10098.55,321.1,25.11,1,2019-10-15
286,00de358,2018-12-31,12094.25,383.47,25.04,1,2019-10-15
285,00de358,2018-11-30,12563.16,400.08,25.15,1,2019-10-15
284,00de358,2018-10-31,17234.8,546.66,25.05,1,2019-10-15
289,00de358,2019-03-31,13157.85,411.07,24.94,1,2019-10-15
303,00df326,2019-04-30,8583.38,796.13,67.92,1,2019-09-20
306,00df326,2019-07-31,11089.27,1161.64,76.53,1,2019-09-20
305,00df326,2019-06-30,12473.38,1124.27,66.28,1,2019-09-20
304,00df326,2019-05-31,13018.47,1404.29,78.76,1,2019-09-20
307,00df326,2019-08-31,10707.56,1113.14,76.13,1,2019-09-20
302,00df326,2019-03-31,12047.38,1278.95,77.81,1,2019-09-20
300,00df326,2019-01-31,19164.98,1814.18,70.01,1,2019-09-20
299,00df326,2018-12-31,10966.47,1056.53,70.91,1,2019-09-20
298,00df326,2018-11-30,14799.02,1587.55,79.8,1,2019-09-20
297,00df326,2018-10-31,1308.91,103.42,58.77,1,2019-09-20
296,00df326,2018-09-30,2797.27,254.22,67.6,1,2019-09-20
301,00df326,2019-02-28,8161.85,752.71,67.29,1,2019-09-20
319,00dfe09,2019-09-30,7272.52,378.83,53.55,1,2019-10-30
318,00dfe09,2019-08-31,7284.5,369.71,52.17,1,2019-10-30
317,00dfe09,2019-07-31,7500.88,300.39,41.17,1,2019-10-30
316,00dfe09,2019-06-30,14255.85,828.7,59.76,1,2019-10-30
315,00dfe09,2019-05-31,5871.78,329.05,57.61,1,2019-10-30
314,00dfe09,2019-04-30,10492.3,645.65,63.26,1,2019-10-30
312,00dfe09,2019-02-28,13279.46,889.06,62.09,1,2019-10-30
311,00dfe09,2019-01-31,15283.14,1462.09,65.45,1,2019-10-30
310,00dfe09,2018-12-31,17384.83,1284.96,50.57,1,2019-10-30
309,00dfe09,2018-11-30,11817.93,925.19,53.56,1,2019-10-30
308,00dfe09,2018-10-31,11892.6,1175.01,67.6,1,2019-10-30
313,00dfe09,2019-03-31,13380.48,726.0,55.78,1,2019-10-30
325,00eeee3,2019-06-30,6786.97,288.87,18.85,2,2019-09-02
327,00eeee3,2019-08-31,5317.73,326.77,27.21,2,2019-09-02
326,00eeee3,2019-07-31,6555.81,387.51,26.17,2,2019-09-02
324,00eeee3,2019-02-28,22038.9,876.22,17.6,2,2019-09-02
321,00eeee3,2018-10-31,13515.91,822.81,26.96,2,2019-09-02
322,00eeee3,2018-11-30,10873.78,702.07,28.59,2,2019-09-02
323,00eeee3,2018-12-31,8942.54,560.78,27.77,2,2019-09-02
320,00eeee3,2018-09-30,7921.32,495.79,27.71,2,2019-09-02
339,00f983e,2019-09-30,8295.92,303.22,24.92,1,2019-10-31
338,00f983e,2019-08-31,7260.37,268.43,25.21,1,2019-10-31
337,00f983e,2019-07-31,10397.08,383.15,25.13,1,2019-10-31
336,00f983e,2019-06-30,3521.09,130.77,25.32,1,2019-10-31
335,00f983e,2019-05-31,12058.01,441.87,24.99,1,2019-10-31
334,00f983e,2019-04-30,12669.44,465.58,25.06,1,2019-10-31
332,00f983e,2019-02-28,8875.18,330.04,25.36,1,2019-10-31
331,00f983e,2019-01-31,11622.65,427.26,25.07,1,2019-10-31
330,00f983e,2018-12-31,11128.99,409.9,25.11,1,2019-10-31
329,00f983e,2018-11-30,14797.17,544.97,25.11,1,2019-10-31
328,00f983e,2018-10-31,11570.1,422.98,24.93,1,2019-10-31
333,00f983e,2019-03-31,9515.45,345.09,24.73,1,2019-10-31
347,00fd63e,2019-06-30,32.07,1.14,24.36,1,2019-10-02
350,00fd63e,2019-09-30,1067.76,38.97,24.97,1,2019-10-02
349,00fd63e,2019-08-31,1556.85,56.93,25.02,1,2019-10-02
348,00fd63e,2019-07-31,1305.0,47.84,25.08,1,2019-10-02
345,00fd63e,2019-04-30,4980.22,180.49,24.79,1,2019-10-02
346,00fd63e,2019-05-31,2122.05,77.38,24.95,1,2019-10-02
343,00fd63e,2019-02-28,2503.89,92.51,25.28,1,2019-10-02
342,00fd63e,2019-01-31,3830.95,139.87,24.98,1,2019-10-02
341,00fd63e,2018-12-31,3941.36,144.71,25.12,1,2019-10-02
340,00fd63e,2018-11-30,2429.53,89.71,25.26,1,2019-10-02
344,00fd63e,2019-03-31,2863.21,104.35,24.93,1,2019-10-02
357,01002b8,2019-04-30,32812.54,1782.34,85.48,1,2019-10-07
362,01002b8,2019-09-30,38140.02,1953.85,80.61,1,2019-10-07
361,01002b8,2019-08-31,42495.9,2190.23,81.1,1,2019-10-07
360,01002b8,2019-07-31,29718.44,1951.38,103.33,1,2019-10-07
359,01002b8,2019-06-30,18434.71,1217.56,102.18,1,2019-10-07
358,01002b8,2019-05-31,25971.13,1517.11,90.46,1,2019-10-07
355,01002b8,2019-02-28,8742.18,431.28,77.63,1,2019-10-07
354,01002b8,2019-01-31,14143.96,675.44,75.15,1,2019-10-07
353,01002b8,2018-12-31,16692.6,950.94,87.22,1,2019-10-07
352,01002b8,2018-11-30,16320.59,919.12,88.62,1,2019-10-07
351,01002b8,2018-10-31,12326.56,730.72,85.93,1,2019-10-07
356,01002b8,2019-03-31,14953.42,800.74,84.27,1,2019-10-07
371,0101f6b,2019-06-30,33317.83,1213.24,53.59,1,2019-10-16
372,0101f6b,2019-07-31,38504.6,1304.3,49.85,1,2019-10-16
370,0101f6b,2019-05-31,45961.51,1734.16,55.53,1,2019-10-16
374,0101f6b,2019-09-30,35075.46,1237.96,50.88,1,2019-10-16
373,0101f6b,2019-08-31,28608.66,944.29,48.58,1,2019-10-16
369,0101f6b,2019-04-30,34148.05,1350.01,58.18,1,2019-10-16
363,0101f6b,2018-10-31,26680.21,853.7,47.09,1,2019-10-16
367,0101f6b,2019-02-28,19984.13,602.88,44.4,1,2019-10-16
366,0101f6b,2019-01-31,19973.3,629.97,46.42,1,2019-10-16
365,0101f6b,2018-12-31,70255.9,2481.94,51.99,1,2019-10-16
364,0101f6b,2018-11-30,31666.32,1113.53,51.75,1,2019-10-16
368,0101f6b,2019-03-31,28047.72,966.5,50.71,1,2019-10-16
386,0113f90,2019-09-30,4533.41,213.8,38.9,1,2019-10-07
384,0113f90,2019-07-31,4498.88,203.44,37.3,1,2019-10-07
383,0113f90,2019-06-30,3978.88,150.32,31.16,1,2019-10-07
382,0113f90,2019-05-31,4275.13,131.77,25.42,1,2019-10-07
381,0113f90,2019-04-30,3274.42,114.67,28.89,1,2019-10-07
385,0113f90,2019-08-31,3833.0,164.93,35.49,1,2019-10-07
