,client_id,mes,tpv_,margem_tpv_,data_de_desembolso_
101,002b01a,2018-11-30,8188.58,107.78,2019-10-11
102,002b01a,2018-12-31,7686.08,95.42,2019-10-11
103,002b01a,2019-01-31,3047.59,36.8,2019-10-11
104,002b01a,2019-02-28,8663.68,91.64,2019-10-11
105,002b01a,2019-03-31,6193.06,53.74,2019-10-11
106,002b01a,2019-04-30,5871.46,42.37,2019-10-11
107,002b01a,2019-05-31,8044.8,70.9,2019-10-11
108,002b01a,2019-06-30,10331.98,86.36,2019-10-11
109,002b01a,2019-07-31,8833.0,74.09,2019-10-11
110,002b01a,2019-08-31,7289.39,66.06,2019-10-11
111,002b01a,2019-09-30,8215.45,66.25,2019-10-11
121,0031d29,2019-03-31,1479.0,19.42,2019-10-31
122,0031d29,2019-04-30,4350.0,39.65,2019-10-31
123,0031d29,2019-05-31,4611.0,57.12,2019-10-31
124,0031d29,2019-06-30,2750.07,44.91,2019-10-31
125,0031d29,2019-07-31,11795.02,241.53,2019-10-31
126,0031d29,2019-08-31,9008.85,114.07,2019-10-31
127,0031d29,2019-09-30,5641.95,47.42,2019-10-31
152,004767f,2018-10-31,19433.19,270.88,2019-10-10
153,004767f,2018-11-30,13696.84,181.05,2019-10-10
154,004767f,2018-12-31,10544.84,145.81,2019-10-10
155,004767f,2019-01-31,12594.56,166.8,2019-10-10
156,004767f,2019-02-28,12791.0,171.58,2019-10-10
157,004767f,2019-03-31,7059.53,84.06,2019-10-10
158,004767f,2019-04-30,8766.99,113.98,2019-10-10
159,004767f,2019-05-31,10596.43,132.5,2019-10-10
160,004767f,2019-06-30,17764.53,209.39,2019-10-10
161,004767f,2019-07-31,16607.43,216.27,2019-10-10
162,004767f,2019-08-31,11034.21,134.24,2019-10-10
163,004767f,2019-09-30,14628.79,183.44,2019-10-10
188,0053e7f,2018-10-31,7973.55,134.52,2019-10-17
189,0053e7f,2018-11-30,5896.86,88.58,2019-10-17
190,0053e7f,2018-12-31,7447.2,104.66,2019-10-17
191,0053e7f,2019-01-31,14072.25,218.99,2019-10-17
192,0053e7f,2019-02-28,3151.14,52.38,2019-10-17
193,0053e7f,2019-03-31,10451.31,158.81,2019-10-17
194,0053e7f,2019-04-30,4500.51,72.05,2019-10-17
195,0053e7f,2019-05-31,4394.37,65.45,2019-10-17
196,0053e7f,2019-06-30,3953.28,54.27,2019-10-17
197,0053e7f,2019-07-31,7529.85,99.09,2019-10-17
198,0053e7f,2019-08-31,5737.67,87.2,2019-10-17
199,0053e7f,2019-09-30,3974.16,58.27,2019-10-17
200,0063da1,2018-10-31,12648.1,156.58,2019-10-02
201,0063da1,2018-11-30,19167.35,239.01,2019-10-02
202,0063da1,2018-12-31,17304.08,205.09,2019-10-02
203,0063da1,2019-01-31,20099.08,237.76,2019-10-02
204,0063da1,2019-02-28,15779.98,188.94,2019-10-02
205,0063da1,2019-03-31,11581.47,132.94,2019-10-02
206,0063da1,2019-04-30,12096.74,164.55,2019-10-02
207,0063da1,2019-05-31,14684.33,165.48,2019-10-02
208,0063da1,2019-06-30,13034.12,159.28,2019-10-02
209,0063da1,2019-07-31,14004.78,152.3,2019-10-02
210,0063da1,2019-08-31,25231.25,297.77,2019-10-02
211,0063da1,2019-09-30,16432.34,194.59,2019-10-02
212,007ae20,2018-10-31,3582.27,59.11,2019-10-30
213,007ae20,2018-11-30,2422.91,39.58,2019-10-30
214,007ae20,2018-12-31,2735.47,40.75,2019-10-30
215,007ae20,2019-01-31,4583.16,71.89,2019-10-30
216,007ae20,2019-02-28,3792.44,62.37,2019-10-30
217,007ae20,2019-03-31,3003.32,46.84,2019-10-30
218,007ae20,2019-04-30,1601.26,30.12,2019-10-30
219,007ae20,2019-05-31,1587.32,24.33,2019-10-30
220,007ae20,2019-06-30,2002.67,28.46,2019-10-30
221,007ae20,2019-07-31,2163.43,22.57,2019-10-30
222,007ae20,2019-08-31,2627.1,15.15,2019-10-30
223,007ae20,2019-09-30,2162.73,9.36,2019-10-30
236,007bb49,2018-10-31,8425.95,129.95,2019-10-08
237,007bb49,2018-11-30,9199.38,161.83,2019-10-08
238,007bb49,2018-12-31,8519.96,140.2,2019-10-08
239,007bb49,2019-01-31,1804.38,30.35,2019-10-08
240,007bb49,2019-02-28,2282.88,20.37,2019-10-08
241,007bb49,2019-03-31,3014.55,29.91,2019-10-08
242,007bb49,2019-04-30,7076.58,64.11,2019-10-08
243,007bb49,2019-05-31,11173.41,95.14,2019-10-08
244,007bb49,2019-06-30,7171.41,67.66,2019-10-08
245,007bb49,2019-07-31,9732.69,81.8,2019-10-08
246,007bb49,2019-08-31,7635.99,75.96,2019-10-08
247,007bb49,2019-09-30,7955.28,48.26,2019-10-08
260,008b0a8,2018-10-31,11456.7,177.23,2019-10-11
261,008b0a8,2018-11-30,14407.76,177.56,2019-10-11
262,008b0a8,2018-12-31,47046.5,520.51,2019-10-11
263,008b0a8,2019-01-31,10604.73,123.67,2019-10-11
264,008b0a8,2019-02-28,11093.04,142.53,2019-10-11
265,008b0a8,2019-03-31,12674.06,155.96,2019-10-11
266,008b0a8,2019-04-30,17814.38,228.02,2019-10-11
267,008b0a8,2019-05-31,27107.48,333.1,2019-10-11
268,008b0a8,2019-06-30,35924.21,445.93,2019-10-11
269,008b0a8,2019-07-31,28482.47,351.16,2019-10-11
270,008b0a8,2019-08-31,46906.56,596.01,2019-10-11
271,008b0a8,2019-09-30,30656.86,367.56,2019-10-11
272,008e4f2,2018-10-31,2958.0,21.57,2019-10-23
273,008e4f2,2018-11-30,22847.94,162.08,2019-10-23
274,008e4f2,2018-12-31,98514.8,764.11,2019-10-23
275,008e4f2,2019-01-31,65056.69,492.7,2019-10-23
276,008e4f2,2019-02-28,75450.75,588.4,2019-10-23
277,008e4f2,2019-03-31,89140.46,665.16,2019-10-23
278,008e4f2,2019-04-30,83066.73,625.91,2019-10-23
279,008e4f2,2019-05-31,80228.44,593.19,2019-10-23
280,008e4f2,2019-06-30,73293.59,544.1,2019-10-23
281,008e4f2,2019-07-31,70409.97,525.51,2019-10-23
282,008e4f2,2019-08-31,79146.51,593.14,2019-10-23
283,008e4f2,2019-09-30,62275.48,442.51,2019-10-23
284,0094f89,2018-09-30,33773.08,385.78,2019-09-12
285,0094f89,2018-10-31,33218.91,365.93,2019-09-12
286,0094f89,2018-11-30,34121.76,367.86,2019-09-12
287,0094f89,2018-12-31,39071.14,438.35,2019-09-12
288,0094f89,2019-01-31,42180.62,410.27,2019-09-12
289,0094f89,2019-02-28,31784.54,322.19,2019-09-12
290,0094f89,2019-03-31,41802.95,428.79,2019-09-12
291,0094f89,2019-04-30,31667.93,325.54,2019-09-12
292,0094f89,2019-05-31,33365.0,339.54,2019-09-12
293,0094f89,2019-06-30,30407.98,289.75,2019-09-12
294,0094f89,2019-07-31,34028.94,293.75,2019-09-12
295,0094f89,2019-08-31,27563.71,199.56,2019-09-12
296,0099a43,2018-12-31,17211.98,144.23,2019-10-07
297,0099a43,2019-01-31,24326.85,207.37,2019-10-07
298,0099a43,2019-02-28,14359.05,124.3,2019-10-07
299,0099a43,2019-03-31,29373.11,243.39,2019-10-07
300,0099a43,2019-04-30,24631.61,201.37,2019-10-07
301,0099a43,2019-05-31,31213.42,252.28,2019-10-07
302,0099a43,2019-06-30,39393.34,335.05,2019-10-07
303,0099a43,2019-07-31,49326.65,427.26,2019-10-07
304,0099a43,2019-08-31,21368.24,171.97,2019-10-07
305,0099a43,2019-09-30,9360.07,76.2,2019-10-07
306,00a12b3,2019-04-30,5959.5,73.6,2019-10-31
307,00a12b3,2019-05-31,11927.7,163.29,2019-10-31
308,00a12b3,2019-06-30,7171.32,81.67,2019-10-31
309,00a12b3,2019-07-31,7208.82,83.98,2019-10-31
310,00a12b3,2019-08-31,6446.53,76.89,2019-10-31
311,00a12b3,2019-09-30,10761.03,128.13,2019-10-31
312,00a14c1,2018-12-31,4597.08,55.01,2019-10-30
313,00a14c1,2019-01-31,18641.92,211.75,2019-10-30
314,00a14c1,2019-02-28,17922.87,173.65,2019-10-30
315,00a14c1,2019-03-31,10600.08,106.98,2019-10-30
316,00a14c1,2019-04-30,15265.89,153.48,2019-10-30
317,00a14c1,2019-05-31,35178.88,434.69,2019-10-30
318,00a14c1,2019-06-30,30411.73,347.72,2019-10-30
319,00a14c1,2019-07-31,56438.53,678.9,2019-10-30
320,00a14c1,2019-08-31,60346.75,670.15,2019-10-30
321,00a14c1,2019-09-30,41925.43,526.63,2019-10-30
322,00afc8b,2018-09-30,15536.62,196.94,2019-09-20
323,00afc8b,2018-10-31,15563.19,211.07,2019-09-20
324,00afc8b,2018-11-30,18527.91,209.26,2019-09-20
325,00afc8b,2018-12-31,27335.81,315.88,2019-09-20
326,00afc8b,2019-01-31,25537.85,295.07,2019-09-20
327,00afc8b,2019-02-28,20239.73,233.84,2019-09-20
328,00afc8b,2019-03-31,26066.04,299.34,2019-09-20
329,00afc8b,2019-04-30,22283.46,255.42,2019-09-20
330,00afc8b,2019-05-31,25507.3,281.65,2019-09-20
331,00afc8b,2019-06-30,26720.91,296.89,2019-09-20
332,00afc8b,2019-07-31,24749.64,245.36,2019-09-20
333,00afc8b,2019-08-31,30043.31,260.78,2019-09-20
346,00b7378,2018-10-31,20532.65,327.41,2019-10-16
347,00b7378,2018-11-30,25014.54,411.27,2019-10-16
348,00b7378,2018-12-31,40878.5,652.87,2019-10-16
349,00b7378,2019-01-31,41799.4,661.14,2019-10-16
350,00b7378,2019-02-28,11015.85,180.33,2019-10-16
351,00b7378,2019-03-31,4320.51,68.15,2019-10-16
352,00b7378,2019-04-30,13392.07,208.03,2019-10-16
353,00b7378,2019-05-31,8760.42,129.37,2019-10-16
354,00b7378,2019-06-30,14270.87,244.24,2019-10-16
355,00b7378,2019-07-31,38145.88,652.02,2019-10-16
356,00b7378,2019-08-31,21936.61,382.95,2019-10-16
357,00b7378,2019-09-30,21092.19,398.02,2019-10-16
358,00b9ab4,2018-10-31,9715.4,150.79,2019-10-07
359,00b9ab4,2018-11-30,8276.83,133.84,2019-10-07
360,00b9ab4,2018-12-31,10430.52,161.98,2019-10-07
361,00b9ab4,2019-01-31,7536.9,132.12,2019-10-07
362,00b9ab4,2019-02-28,8439.74,159.05,2019-10-07
363,00b9ab4,2019-03-31,8747.07,158.74,2019-10-07
364,00b9ab4,2019-04-30,7148.4,128.91,2019-10-07
365,00b9ab4,2019-05-31,7913.87,146.69,2019-10-07
366,00b9ab4,2019-06-30,7796.48,143.63,2019-10-07
367,00b9ab4,2019-07-31,11812.21,218.12,2019-10-07
368,00b9ab4,2019-08-31,11687.41,205.97,2019-10-07
369,00b9ab4,2019-09-30,10786.87,189.93,2019-10-07
370,00bafb2,2019-03-31,3136.35,35.61,2019-10-28
371,00bafb2,2019-04-30,7264.06,84.62,2019-10-28
372,00bafb2,2019-05-31,8456.38,99.04,2019-10-28
373,00bafb2,2019-06-30,9112.79,106.87,2019-10-28
374,00bafb2,2019-07-31,7101.38,83.49,2019-10-28
375,00bafb2,2019-08-31,8067.15,93.94,2019-10-28
376,00bafb2,2019-09-30,9633.51,119.84,2019-10-28
377,00bcd0d,2018-10-31,12786.9,132.65,2019-10-15
378,00bcd0d,2018-11-30,12099.94,125.75,2019-10-15
379,00bcd0d,2018-12-31,8086.31,74.47,2019-10-15
380,00bcd0d,2019-01-31,4212.14,41.52,2019-10-15
381,00bcd0d,2019-02-28,2510.52,24.14,2019-10-15
382,00bcd0d,2019-03-31,8618.14,92.27,2019-10-15
383,00bcd0d,2019-04-30,8811.57,97.75,2019-10-15
384,00bcd0d,2019-05-31,10611.73,114.68,2019-10-15
385,00bcd0d,2019-06-30,6710.74,73.9,2019-10-15
386,00bcd0d,2019-07-31,11317.13,124.33,2019-10-15
387,00bcd0d,2019-08-31,12656.6,129.72,2019-10-15
388,00bcd0d,2019-09-30,12040.9,111.58,2019-10-15
389,00cd72a,2018-09-30,17123.71,229.84,2019-09-20
390,00cd72a,2018-10-31,18858.89,309.97,2019-09-20
391,00cd72a,2018-11-30,19788.08,322.52,2019-09-20
392,00cd72a,2018-12-31,10608.08,176.79,2019-09-20
393,00cd72a,2019-01-31,10104.88,169.6,2019-09-20
394,00cd72a,2019-02-28,21099.8,349.71,2019-09-20
395,00cd72a,2019-03-31,10952.35,174.95,2019-09-20
396,00cd72a,2019-04-30,16229.18,267.24,2019-09-20
397,00cd72a,2019-05-31,24915.4,399.49,2019-09-20
398,00cd72a,2019-06-30,23507.45,383.6,2019-09-20
399,00cd72a,2019-07-31,12688.24,212.46,2019-09-20
400,00cd72a,2019-08-31,27804.86,446.23,2019-09-20
413,00d7990,2018-09-30,21911.38,277.07,2019-09-23
414,00d7990,2018-10-31,27566.82,397.47,2019-09-23
415,00d7990,2018-11-30,20666.85,313.91,2019-09-23
416,00d7990,2018-12-31,21003.54,311.08,2019-09-23
417,00d7990,2019-01-31,19795.11,292.1,2019-09-23
418,00d7990,2019-02-28,13893.03,195.44,2019-09-23
419,00d7990,2019-03-31,21537.72,315.78,2019-09-23
420,00d7990,2019-04-30,25490.13,364.03,2019-09-23
421,00d7990,2019-05-31,18861.6,265.3,2019-09-23
422,00d7990,2019-06-30,22213.71,317.23,2019-09-23
423,00d7990,2019-07-31,24656.67,360.34,2019-09-23
424,00d7990,2019-08-31,22155.42,235.31,2019-09-23
425,00d7b02,2018-10-31,102.66,0.84,2019-09-26
426,00d7b02,2018-11-30,2627.4,33.49,2019-09-26
427,00d7b02,2018-12-31,6325.77,72.46,2019-09-26
428,00d7b02,2019-01-31,5000.15,76.35,2019-09-26
429,00d7b02,2019-02-28,5715.9,72.23,2019-09-26
430,00d7b02,2019-03-31,2905.8,36.73,2019-09-26
431,00d7b02,2019-04-30,3635.73,42.7,2019-09-26
432,00d7b02,2019-05-31,2704.83,33.68,2019-09-26
433,00d7b02,2019-06-30,3723.88,36.53,2019-09-26
434,00d7b02,2019-07-31,6906.32,95.95,2019-09-26
435,00d7b02,2019-08-31,9057.57,98.57,2019-09-26
445,00dcaaf,2019-03-31,508.65,4.33,2019-10-28
446,00dcaaf,2019-04-30,3424.34,26.05,2019-10-28
447,00dcaaf,2019-05-31,3025.7,22.88,2019-10-28
448,00dcaaf,2019-06-30,2412.38,20.26,2019-10-28
449,00dcaaf,2019-07-31,2972.23,23.18,2019-10-28
450,00dcaaf,2019-08-31,2526.18,19.71,2019-10-28
451,00dcaaf,2019-09-30,10240.19,310.47,2019-10-28
452,00de358,2018-10-31,25744.23,457.18,2019-10-15
453,00de358,2018-11-30,22255.05,403.02,2019-10-15
454,00de358,2018-12-31,20841.35,374.12,2019-10-15
455,00de358,2019-01-31,16517.33,301.63,2019-10-15
456,00de358,2019-02-28,18695.13,336.53,2019-10-15
457,00de358,2019-03-31,24772.68,395.25,2019-10-15
458,00de358,2019-04-30,16601.63,108.22,2019-10-15
459,00de358,2019-05-31,18236.58,128.19,2019-10-15
460,00de358,2019-06-30,23608.89,169.96,2019-10-15
461,00de358,2019-07-31,8163.42,59.66,2019-10-15
462,00de358,2019-08-31,10537.68,68.97,2019-10-15
463,00de358,2019-09-30,10467.48,68.73,2019-10-15
464,00df326,2018-09-30,5692.24,83.91,2019-09-20
465,00df326,2018-10-31,7414.14,122.21,2019-09-20
466,00df326,2018-11-30,15097.72,243.09,2019-09-20
467,00df326,2018-12-31,20910.88,315.76,2019-09-20
468,00df326,2019-01-31,25197.03,418.45,2019-09-20
469,00df326,2019-02-28,14177.87,217.74,2019-09-20
470,00df326,2019-03-31,15999.13,239.62,2019-09-20
471,00df326,2019-04-30,16381.49,242.48,2019-09-20
472,00df326,2019-05-31,20835.2,348.32,2019-09-20
473,00df326,2019-06-30,17070.18,259.81,2019-09-20
474,00df326,2019-07-31,15000.37,249.14,2019-09-20
475,00df326,2019-08-31,15670.44,236.81,2019-09-20
476,00dfe09,2018-10-31,14690.82,178.19,2019-10-30
477,00dfe09,2018-11-30,15758.31,196.86,2019-10-30
478,00dfe09,2018-12-31,24280.83,311.76,2019-10-30
479,00dfe09,2019-01-31,21603.84,251.57,2019-10-30
480,00dfe09,2019-02-28,16551.75,151.64,2019-10-30
481,00dfe09,2019-03-31,18218.67,172.99,2019-10-30
482,00dfe09,2019-04-30,13872.15,118.62,2019-10-30
483,00dfe09,2019-05-31,8250.21,71.53,2019-10-30
484,00dfe09,2019-06-30,19257.45,147.92,2019-10-30
485,00dfe09,2019-07-31,10786.26,87.78,2019-10-30
486,00dfe09,2019-08-31,11535.33,100.59,2019-10-30
487,00dfe09,2019-09-30,11518.8,91.61,2019-10-30
488,00eeee3,2018-09-30,18245.42,320.19,2019-09-02
489,00eeee3,2018-10-31,19046.04,376.25,2019-09-02
490,00eeee3,2018-11-30,25334.84,516.66,2019-09-02
491,00eeee3,2018-12-31,33200.5,643.02,2019-09-02
492,00eeee3,2019-01-31,59020.36,1160.06,2019-09-02
493,00eeee3,2019-02-28,15716.54,278.12,2019-09-02
494,00eeee3,2019-03-31,26153.94,491.05,2019-09-02
495,00eeee3,2019-04-30,13752.09,254.77,2019-09-02
496,00eeee3,2019-05-31,10915.02,212.83,2019-09-02
497,00eeee3,2019-06-30,7134.44,136.0,2019-09-02
498,00eeee3,2019-07-31,13516.76,260.12,2019-09-02
499,00eeee3,2019-08-31,7859.58,135.83,2019-09-02
500,00f983e,2018-10-31,37730.96,599.37,2019-10-31
501,00f983e,2018-11-30,46756.34,742.84,2019-10-31
502,00f983e,2018-12-31,48887.26,764.59,2019-10-31
503,00f983e,2019-01-31,36531.38,545.47,2019-10-31
504,00f983e,2019-02-28,27483.2,403.33,2019-10-31
505,00f983e,2019-03-31,35937.46,541.65,2019-10-31
506,00f983e,2019-04-30,33714.03,482.18,2019-10-31
507,00f983e,2019-05-31,33380.68,505.91,2019-10-31
508,00f983e,2019-06-30,14109.42,219.07,2019-10-31
509,00f983e,2019-07-31,27232.6,422.57,2019-10-31
510,00f983e,2019-08-31,24210.01,319.78,2019-10-31
511,00f983e,2019-09-30,27184.25,365.85,2019-10-31
521,00fd63e,2018-11-30,5036.57,71.74,2019-10-02
522,00fd63e,2018-12-31,10881.52,118.99,2019-10-02
523,00fd63e,2019-01-31,8503.73,97.46,2019-10-02
524,00fd63e,2019-02-28,5990.17,70.46,2019-10-02
525,00fd63e,2019-03-31,9063.34,103.81,2019-10-02
526,00fd63e,2019-04-30,7887.88,87.76,2019-10-02
527,00fd63e,2019-05-31,6519.13,63.23,2019-10-02
528,00fd63e,2019-06-30,5223.81,40.07,2019-10-02
529,00fd63e,2019-07-31,7318.41,70.23,2019-10-02
530,00fd63e,2019-08-31,7381.69,76.79,2019-10-02
531,00fd63e,2019-09-30,5354.42,66.63,2019-10-02
544,01002b8,2018-10-31,17656.18,25.84,2019-10-07
545,01002b8,2018-11-30,21903.62,34.11,2019-10-07
546,01002b8,2018-12-31,16494.09,46.6,2019-10-07
547,01002b8,2019-01-31,22253.03,22.36,2019-10-07
548,01002b8,2019-02-28,10531.65,0.36,2019-10-07
549,01002b8,2019-03-31,21494.22,5.61,2019-10-07
550,01002b8,2019-04-30,37265.75,62.61,2019-10-07
551,01002b8,2019-05-31,29720.63,0.0,2019-10-07
552,01002b8,2019-06-30,11801.97,2.67,2019-10-07
553,01002b8,2019-07-31,43761.35,10.61,2019-10-07
554,01002b8,2019-08-31,55783.04,0.0,2019-10-07
555,01002b8,2019-09-30,38659.35,38.38,2019-10-07
556,0101f6b,2018-10-31,35183.24,240.46,2019-10-16
557,0101f6b,2018-11-30,48605.98,308.5,2019-10-16
558,0101f6b,2018-12-31,104816.38,730.63,2019-10-16
559,0101f6b,2019-01-31,31293.95,210.01,2019-10-16
560,0101f6b,2019-02-28,35089.51,221.78,2019-10-16
561,0101f6b,2019-03-31,49361.62,340.79,2019-10-16
562,0101f6b,2019-04-30,53401.02,397.2,2019-10-16
563,0101f6b,2019-05-31,64853.03,445.78,2019-10-16
564,0101f6b,2019-06-30,48660.23,340.47,2019-10-16
565,0101f6b,2019-07-31,55445.64,303.15,2019-10-16
566,0101f6b,2019-08-31,47675.21,181.24,2019-10-16
567,0101f6b,2019-09-30,47865.72,158.8,2019-10-16
616,0113f90,2018-10-31,6390.15,69.3,2019-10-07
617,0113f90,2018-11-30,6890.4,61.89,2019-10-07
618,0113f90,2018-12-31,2724.84,26.97,2019-10-07
619,0113f90,2019-01-31,7428.06,83.36,2019-10-07
620,0113f90,2019-02-28,2043.63,23.38,2019-10-07
621,0113f90,2019-03-31,2830.11,30.58,2019-10-07
622,0113f90,2019-04-30,3950.67,41.28,2019-10-07
623,0113f90,2019-05-31,5237.4,50.2,2019-10-07
624,0113f90,2019-06-30,3928.05,29.63,2019-10-07
625,0113f90,2019-07-31,5402.7,47.46,2019-10-07
626,0113f90,2019-08-31,5822.04,59.71,2019-10-07
627,0113f90,2019-09-30,8370.27,90.47,2019-10-07
664,012fb17,2018-10-31,91278.5,620.05,2019-10-09
665,012fb17,2018-11-30,66150.94,498.44,2019-10-09
666,012fb17,2018-12-31,80577.41,668.95,2019-10-09
667,012fb17,2019-01-31,53712.75,484.25,2019-10-09
668,012fb17,2019-02-28,71203.16,547.65,2019-10-09
669,012fb17,2019-03-31,82526.64,594.4,2019-10-09
670,012fb17,2019-04-30,79064.5,581.48,2019-10-09
671,012fb17,2019-05-31,87524.79,563.34,2019-10-09
672,012fb17,2019-06-30,92476.11,182.8,2019-10-09
673,012fb17,2019-07-31,89591.06,0.0,2019-10-09
674,012fb17,2019-08-31,100704.21,0.0,2019-10-09
675,012fb17,2019-09-30,76304.45,0.0,2019-10-09
676,013512d,2019-02-28,28260.5,75.1,2019-10-02
677,013512d,2019-03-31,57756.55,173.53,2019-10-02
678,013512d,2019-04-30,44314.36,115.78,2019-10-02
679,013512d,2019-05-31,40956.39,141.05,2019-10-02
680,013512d,2019-06-30,43956.02,151.13,2019-10-02
681,013512d,2019-07-31,39916.66,139.85,2019-10-02
682,013512d,2019-08-31,40608.81,133.53,2019-10-02
683,013512d,2019-09-30,51987.59,317.44,2019-10-02
684,01388b7,2018-09-30,10213.8,192.59,2019-09-25
685,01388b7,2018-10-31,14294.1,286.33,2019-09-25
686,01388b7,2018-11-30,15364.2,296.83,2019-09-25
687,01388b7,2018-12-31,12317.46,235.52,2019-09-25
688,01388b7,2019-01-31,17014.24,347.79,2019-09-25
689,01388b7,2019-02-28,14311.5,296.54,2019-09-25
690,01388b7,2019-03-31,12661.11,249.49,2019-09-25
691,01388b7,2019-04-30,16012.35,342.85,2019-09-25
692,01388b7,2019-05-31,9729.21,176.84,2019-09-25
693,01388b7,2019-06-30,10011.96,196.93,2019-09-25
694,01388b7,2019-07-31,14409.81,293.22,2019-09-25
695,01388b7,2019-08-31,9706.16,186.69,2019-09-25
708,0141fc9,2018-10-31,6116.1,160.16,2019-10-11
709,0141fc9,2018-11-30,3175.5,80.49,2019-10-11
710,0141fc9,2018-12-31,2470.8,58.89,2019-10-11
711,0141fc9,2019-01-31,6237.9,147.76,2019-10-11
712,0141fc9,2019-02-28,6385.8,113.3,2019-10-11
713,0141fc9,2019-03-31,4976.41,118.57,2019-10-11
714,0141fc9,2019-04-30,9291.6,196.71,2019-10-11
715,0141fc9,2019-05-31,5628.9,128.88,2019-10-11
716,0141fc9,2019-06-30,8230.2,132.97,2019-10-11
717,0141fc9,2019-07-31,9004.5,187.78,2019-10-11
718,0141fc9,2019-08-31,10948.95,241.79,2019-10-11
719,0141fc9,2019-09-30,6968.7,155.97,2019-10-11
742,0148d53,2018-10-31,1593.19,25.69,2019-10-31
743,0148d53,2018-11-30,6679.64,106.53,2019-10-31
744,0148d53,2018-12-31,6324.9,51.68,2019-10-31
745,0148d53,2019-01-31,12910.8,162.32,2019-10-31
746,0148d53,2019-02-28,6503.25,102.89,2019-10-31
