,client_id,data_de_desembolso,data_cadastro,tpv_prometido,mcc,segmento,cidade,bairro,canal_de_vendas,subcanal_de_vendas,uf,regiao
3605,01b9e86,09/10/2019,11/08/2016,,1,3,70,1,1,1,1,1
1771,01bbfd5,23/09/2019,24/12/2016,30001.0,5,9,8,140,1,1,10,4
2879,01c3da5,19/09/2019,20/10/2018,,66,6,378,1,1,1,12,1
2108,01ce685,03/09/2019,23/03/2018,200000.0,18,21,4,2,1,1,7,4
4129,01e33de,16/10/2019,14/11/2018,15000.0,4,4,178,0,1,1,14,3
2212,01e4376,16/10/2019,11/12/2017,130000.0,5,9,3,416,1,1,3,2
4075,01ef9c7,23/09/2019,02/10/2018,13000.0,17,20,794,0,1,3,9,3
2036,01f5448,01/10/2019,09/07/2018,20000.0,9,11,2,156,1,1,2,1
1798,01f704f,26/09/2019,21/09/2017,15000.0,15,5,1,618,1,1,1,1
1829,0201d39,25/10/2019,28/08/2018,,3,1,107,1676,1,1,6,2
429,020c8da,07/10/2019,25/02/2019,21000.0,17,20,39,1,1,1,4,2
741,0211bd4,21/10/2019,01/02/2019,70000.0,4,4,253,1,1,1,19,4
1477,021842e,07/10/2019,14/12/2018,30000.0,2,2,2,8,1,1,2,1
2881,02255b7,07/10/2019,26/03/2018,,4,4,116,2644,1,2,5,1
3631,023b059,06/09/2019,19/07/2017,,69,6,215,0,1,1,4,2
302,023c3dc,10/10/2019,14/12/2017,15000.0,9,11,47,1,1,1,3,2
3388,023cdfc,25/09/2019,14/11/2018,48000.0,41,5,2,285,1,1,2,1
1676,0248d04,07/10/2019,22/02/2019,11000.0,1,3,88,3046,1,1,1,1
4167,0249ce2,25/10/2019,24/10/2018,35000.0,8,10,271,0,1,4,5,1
1356,0254dee,28/10/2019,26/11/2018,8000.0,6,1,111,2288,1,1,12,1
2826,0261c08,25/09/2019,12/07/2018,30000.0,23,25,2,5,1,1,2,1
3405,026577c,13/09/2019,22/11/2018,10000.0,37,6,9,184,1,1,6,2
2830,026594c,04/09/2019,22/02/2017,,1,3,5,1307,1,2,5,1
31,026c1b3,25/10/2019,08/03/2019,20000.0,1,3,1,651,1,1,1,1
3218,028563e,04/09/2019,26/12/2017,130000.0,3,1,2,5,1,1,2,1
30,028c264,16/10/2019,24/05/2017,,54,14,1,103,1,1,1,1
2917,0290f95,16/09/2019,12/11/2018,13000.0,6,1,41,106,1,1,17,5
1777,02a47bb,23/09/2019,20/03/2018,49000.0,109,6,4,74,1,1,7,4
1499,02adb3f,07/10/2019,06/04/2017,500000.0,1,3,10,1,1,1,11,3
2961,02ae998,25/10/2019,04/10/2018,10000.0,5,9,98,1,1,1,9,3
2995,02b457c,30/10/2019,01/04/2019,20000.0,17,20,183,2933,1,1,10,4
1794,02b5885,21/10/2019,14/10/2015,,39,17,18,69,1,1,3,2
214,02cad2e,08/10/2019,06/12/2017,18000.0,13,13,4,194,1,1,7,4
2910,02cfae0,04/09/2019,04/10/2018,300000.0,6,1,10,576,1,1,11,3
3192,02e4e74,28/10/2019,28/02/2018,,30,8,74,103,1,1,2,1
973,02f3dbc,16/10/2019,05/07/2018,8000.0,15,5,56,2193,1,1,4,2
2038,02f64b6,21/10/2019,05/01/2018,40000.0,13,13,23,59,1,1,13,3
3131,030048c,28/10/2019,26/04/2019,7000.0,27,19,5,1231,1,2,5,1
2952,030ee21,02/10/2019,13/02/2019,40000.0,7,7,24,2999,1,1,1,1
1596,0316d6a,10/09/2019,04/05/2017,,20,23,3,1,1,1,3,2
3509,031b5e4,25/09/2019,23/06/2017,20000.0,7,7,80,688,1,1,1,1
101,032269b,25/09/2019,20/03/2018,9000.0,2,2,36,518,1,1,3,2
1119,03233ee,07/10/2019,20/02/2019,36000.0,4,4,17,359,1,1,2,1
3332,0332e9c,31/10/2019,16/04/2019,6000.0,16,14,60,868,1,3,5,1
2379,033a046,11/10/2019,03/04/2018,40000.0,3,1,1,2806,1,1,1,1
2591,033ac75,26/09/2019,29/11/2018,25000.0,4,4,1,1348,1,1,1,1
1173,033cd78,28/10/2019,09/01/2019,9000.0,9,11,1,17,1,1,1,1
843,033d958,28/10/2019,26/04/2019,,3,1,1,258,1,1,1,1
1081,034ddea,20/09/2019,09/04/2018,70000.0,23,25,4,4,1,1,7,4
651,03504d7,28/10/2019,28/02/2019,15100.0,70,22,153,55,1,2,5,1
1333,035c01c,07/10/2019,04/01/2019,75000.0,2,2,47,165,1,1,3,2
2780,035f9e6,20/09/2019,02/05/2018,5000.0,16,14,1,488,1,1,1,1
1451,0360f00,16/10/2019,29/11/2018,45000.0,4,4,306,2475,1,4,5,1
196,036707b,28/10/2019,11/04/2019,40000.0,5,9,739,0,1,4,1,1
2188,036ee4a,21/10/2019,04/12/2018,25000.0,7,7,122,1276,1,1,2,1
3898,03719a2,03/10/2019,01/09/2018,20000.0,4,4,26,1,1,1,5,1
265,0372dbb,08/10/2019,28/03/2017,20000.0,4,4,16,110,1,1,4,2
1091,037c86b,07/10/2019,30/08/2018,35000.0,11,8,201,91,1,4,2,1
2576,0380a30,19/09/2019,28/11/2017,30000.0,2,2,56,455,1,1,4,2
1449,0386e9d,18/09/2019,26/05/2018,120000.0,2,2,29,39,1,1,5,1
2238,03b0aba,17/10/2019,17/12/2018,15000.0,2,2,335,0,1,4,6,2
930,03b0bb3,26/09/2019,17/10/2018,12000.0,2,2,8,1891,1,1,10,4
823,03b4cec,01/10/2019,27/11/2018,50000.0,34,15,1,3154,1,1,1,1
72,03b8634,25/09/2019,05/10/2018,6000.0,8,10,27,1392,1,2,1,1
2162,03b8e2c,04/10/2019,21/01/2019,30000.0,7,7,44,311,1,1,18,3
3039,03c4c49,16/10/2019,08/02/2019,,34,15,4,240,1,1,7,4
3062,03cd0c9,05/09/2019,16/01/2018,14000.0,34,15,154,0,1,1,4,2
565,03d79f0,25/09/2019,02/06/2017,40000.0,4,4,17,1,1,1,2,1
2788,03d8011,08/10/2019,18/11/2016,,9,11,181,1837,1,1,21,5
1543,03dd486,20/09/2019,08/07/2018,32000.0,70,22,81,355,1,1,12,1
2795,03df854,31/10/2019,27/04/2019,20000.0,5,9,9,641,1,1,6,2
746,03e1eaf,16/10/2019,21/03/2018,14000.0,18,21,2,22,1,1,2,1
2047,03e2afe,07/10/2019,26/06/2019,20000.0,15,5,29,819,1,1,5,1
2344,03ec02e,30/10/2019,21/11/2018,70000.0,7,7,42,127,1,1,15,3
757,03fccec,16/10/2019,23/02/2018,15000.0,38,26,4,104,1,1,7,4
1193,040a6e4,08/10/2019,21/02/2019,10000.0,49,8,109,1467,1,1,6,2
2802,041199a,28/10/2019,11/05/2018,,3,1,117,2281,1,1,1,1
2701,04271f1,24/10/2019,29/06/2018,30000.0,51,17,161,254,1,1,5,1
2944,043170e,28/10/2019,31/07/2018,40000.0,13,13,18,69,1,1,3,2
1125,04348ad,16/10/2019,18/03/2019,8000.0,57,12,3,296,1,1,3,2
3275,043a51c,26/09/2019,01/03/2018,5000.0,52,1,26,2187,1,1,5,1
489,043d7e3,31/10/2019,09/06/2017,62805.0,3,1,3,7,1,1,3,2
2184,04402a2,28/10/2019,29/01/2019,,21,24,48,1,1,1,2,1
1116,04441ea,28/10/2019,14/12/2018,10000.0,3,1,1,63,1,1,1,1
2361,04498f0,01/10/2019,12/11/2018,20000.0,18,21,64,1,1,1,4,2
291,045df61,02/10/2019,08/02/2019,40000.0,7,7,9,918,1,1,6,2
1366,045f1e6,21/10/2019,10/10/2017,25000.0,4,4,48,1,1,1,2,1
369,0461e1d,13/09/2019,08/08/2017,,3,1,273,1075,1,1,11,3
1810,04660d5,17/10/2019,27/03/2019,9000.0,2,2,11,99,1,1,4,2
2299,0467cab,21/10/2019,26/09/2018,10000.0,4,4,42,244,1,1,15,3
3120,046d585,28/10/2019,26/12/2018,15000.0,4,4,3,38,1,1,3,2
1490,046d95f,07/10/2019,03/01/2019,14000.0,1,3,44,173,1,1,18,3
3783,047b1cf,16/10/2019,16/03/2019,4000.0,20,23,172,2865,1,1,6,2
3370,047bb54,06/09/2019,06/11/2018,12000.0,1,3,72,314,1,1,6,2
2023,04830df,09/09/2019,02/10/2018,4500.0,15,5,1,1298,1,1,1,1
1176,048491a,28/10/2019,28/03/2019,3200.0,3,1,1,1524,1,1,1,1
952,049ea2f,30/10/2019,23/10/2018,7000.0,9,11,229,1,1,1,10,4
1204,049f843,20/09/2019,04/07/2018,,1,3,125,212,1,1,12,1
484,04a11de,16/10/2019,10/07/2018,10000.0,2,2,211,1077,1,1,1,1
3573,04a1a19,28/10/2019,15/05/2017,150000.0,17,20,3,1,1,1,3,2
2799,04a72a5,18/09/2019,26/03/2018,30001.0,2,2,127,1448,1,1,4,2
149,04ac313,07/10/2019,10/02/2018,6000.0,4,4,587,0,1,3,5,1
3378,04c18c8,15/10/2019,30/11/2018,55000.0,41,5,38,1292,1,1,1,1
1935,04d4800,16/09/2019,22/11/2018,10000.0,2,2,4,4,1,1,7,4
1320,04daf35,02/09/2019,19/04/2018,20000.0,6,1,44,1680,1,1,18,3
3784,04ef972,28/10/2019,04/12/2018,15000.0,29,6,1,36,1,1,1,1
1785,04f6840,20/09/2019,22/12/2018,40000.0,4,4,449,1,1,1,8,3
696,0515f27,11/09/2019,09/08/2017,,15,5,439,0,1,1,1,1
3284,0523f97,28/10/2019,27/02/2019,10100.0,1,3,59,400,1,1,1,1
3816,052f537,02/09/2019,28/11/2018,5000.0,12,1,168,1371,1,1,2,1
2717,0536c13,26/09/2019,03/12/2018,15000.0,106,26,284,0,1,1,1,1
1967,053a6e7,16/10/2019,20/02/2019,20000.0,6,1,59,1,1,1,1,1
1410,0558b84,24/10/2019,26/01/2018,10000.0,32,5,2,1,1,1,2,1
3902,056cd9a,25/10/2019,24/07/2018,15000.0,9,11,157,1,1,1,6,2
2213,0579d2c,28/10/2019,24/07/2017,,23,25,1,647,1,1,1,1
3906,057beb9,09/10/2019,28/06/2018,30000.0,74,10,1,256,1,1,1,1
1240,057c33c,07/10/2019,09/02/2018,60000.0,17,20,1,1,1,1,1,1
893,057c48f,16/09/2019,06/12/2018,35000.0,1,3,9,438,1,1,6,2
3703,057d8cb,31/10/2019,06/03/2019,50100.0,7,7,27,1,1,2,1,1
3296,05834f1,31/10/2019,11/12/2018,7000.0,1,3,11,1,1,1,4,2
3216,05915f2,28/10/2019,17/12/2018,20000.0,11,8,122,2451,1,1,2,1
3297,059ba15,28/10/2019,22/03/2019,28000.0,1,3,5,1160,1,2,5,1
1147,05abbb3,16/10/2019,13/09/2018,55000.0,4,4,34,10,1,1,2,1
2580,05bb2e6,16/10/2019,03/10/2018,500000.0,3,1,222,1,1,1,3,2
2870,05bb51d,25/09/2019,16/02/2017,120000.0,22,15,89,1,1,1,1,1
2997,05c4337,11/09/2019,29/08/2017,75000.0,6,1,1,56,1,1,1,1
723,05c4fa6,01/10/2019,07/02/2019,18000.0,17,20,151,100,1,1,24,5
2554,05ce37d,02/09/2019,28/09/2018,20000.0,4,4,104,1,1,1,9,3
3868,05dbc1a,23/09/2019,04/04/2017,,63,22,1,64,1,1,1,1
3700,05dedbc,07/10/2019,24/01/2019,15135.0,4,4,31,202,1,1,2,1
3371,05fe103,06/09/2019,23/11/2018,6000.0,1,3,11,1,1,1,4,2
2378,0620f2c,25/09/2019,07/11/2018,34500.0,3,1,48,864,1,1,2,1
2432,062e815,12/09/2019,14/09/2017,10000.0,4,4,147,0,1,1,2,1
2869,063f035,07/10/2019,20/02/2019,15000.0,2,2,1,1355,1,1,1,1
3551,063f899,25/10/2019,02/03/2019,10000.0,12,1,538,0,1,1,1,1
1079,064772e,11/10/2019,17/04/2018,40000.0,58,26,1,569,1,1,1,1
3254,064bc78,07/10/2019,17/01/2019,110000.0,21,24,23,217,1,1,13,3
2367,067fb9e,02/10/2019,05/02/2019,40000.0,8,10,1,253,1,1,1,1
3853,068004b,07/10/2019,23/07/2016,25000.0,1,3,2,0,1,1,2,1
960,0687e2c,20/09/2019,14/11/2017,100000.0,3,1,154,0,1,1,4,2
2383,068ccb4,28/10/2019,28/02/2019,70000.0,4,4,3,84,1,1,3,2
2336,068df27,07/10/2019,08/05/2018,100000.0,18,21,4,343,1,1,7,4
1960,069bdda,16/10/2019,06/03/2019,,24,16,46,2801,1,1,1,1
2248,06ac288,31/10/2019,19/01/2018,,93,6,43,2467,1,1,2,1
356,06b7f6c,25/09/2019,21/08/2018,,6,1,105,879,1,1,2,1
2093,06ce9da,02/10/2019,24/09/2017,35000.0,14,2,1,313,1,1,1,1
351,06d170a,28/10/2019,23/11/2018,15000.0,24,16,11,1,1,1,4,2
3624,06daee2,15/10/2019,24/08/2015,,16,14,4,74,1,1,7,4
1167,06dbd45,02/10/2019,17/01/2019,10000.0,19,17,94,907,1,1,3,2
4080,06e271e,11/10/2019,16/11/2018,10000.0,27,19,48,1,1,1,2,1
1838,06ebbd1,31/10/2019,05/09/2018,30000.0,17,20,380,0,1,1,9,3
1344,06f35bc,31/10/2019,11/01/2019,7000.0,11,8,90,789,1,1,6,2
3684,06f6ff1,30/09/2019,24/08/2018,30000.0,17,20,122,1,1,1,2,1
2409,06fff4d,04/10/2019,04/06/2018,20000.8,2,2,14,1,1,1,3,2
567,070ee42,04/09/2019,16/07/2018,5000.0,3,1,545,0,1,1,5,1
2273,07147a6,24/10/2019,09/04/2018,10000.0,22,15,5,2811,1,2,5,1
635,071aa50,28/10/2019,05/12/2018,30000.0,47,6,111,1710,1,1,12,1
787,071f30e,31/10/2019,11/04/2019,25000.0,33,5,23,123,1,1,13,3
3125,07280ca,15/10/2019,18/07/2018,15000.0,28,8,7,1690,1,1,9,3
1427,072cc1a,07/10/2019,20/09/2018,20000.0,20,23,804,2257,1,1,2,1
2783,0731ab3,17/10/2019,04/08/2015,,42,1,18,182,1,1,3,2
3715,0731f20,12/09/2019,24/08/2018,90000.0,6,1,210,18,1,1,3,2
1083,0742cc5,07/10/2019,31/10/2017,,19,17,10,611,1,1,11,3
889,0751a70,23/09/2019,22/11/2017,20000.0,16,14,18,93,1,1,3,2
3148,07706fc,02/09/2019,06/02/2018,20000.0,125,6,33,1564,1,1,1,1
1685,0770ee1,31/10/2019,20/03/2019,15000.0,7,7,100,2322,1,1,1,1
4163,078688c,15/10/2019,22/02/2018,9200.0,122,19,2,1,1,1,2,1
1337,07895b7,04/10/2019,11/07/2017,,49,8,107,461,1,1,6,2
3171,078bae6,03/09/2019,10/10/2017,70000.0,15,5,39,1,1,1,4,2
2561,078e7f6,31/10/2019,28/04/2019,22000.0,87,6,52,1,1,1,4,2
761,07b012c,25/09/2019,11/10/2017,20000.0,4,4,56,27,1,1,4,2
2333,07b6ca3,07/10/2019,09/02/2019,10000.0,51,17,1,1309,1,1,1,1
3395,07b77ca,28/10/2019,12/07/2017,15000.0,22,15,7,215,1,1,9,3
2301,07b9358,08/10/2019,25/05/2018,35000.0,2,2,353,0,1,1,4,2
2902,07c5653,05/09/2019,31/08/2018,26000.0,1,3,55,369,1,1,1,1
2045,07cbf31,08/10/2019,27/10/2018,40000.0,2,2,369,0,1,1,4,2
2286,07cf4fe,29/10/2019,24/01/2019,16000.0,22,15,87,0,1,1,1,1
1872,07d1d63,21/10/2019,29/01/2018,,15,5,5,372,1,2,5,1
740,07d4896,13/09/2019,06/12/2018,45000.0,34,15,4,1728,1,1,7,4
1216,07d632e,25/10/2019,28/03/2019,16000.0,18,21,17,58,1,1,2,1
545,07dd361,28/10/2019,05/12/2018,5000.0,10,12,16,2631,1,1,4,2
2929,07e704d,03/09/2019,16/11/2018,12000.0,27,19,48,1,1,1,2,1
3505,07f539a,25/09/2019,26/07/2018,12000.0,38,26,5,1,1,2,5,1
3187,080b6b8,07/10/2019,01/02/2019,50000.0,53,7,114,2922,1,1,1,1
2779,080de1c,16/10/2019,26/03/2019,6000.0,122,19,28,612,1,1,1,1
2526,08213a0,25/09/2019,12/11/2018,7000.0,54,14,1,95,1,1,1,1
2828,083ab5c,31/10/2019,12/02/2019,40000.0,3,1,50,626,1,1,3,2
8,083c795,23/09/2019,03/04/2018,8000.0,106,26,2,76,1,1,2,1
1573,08416a6,28/10/2019,16/04/2019,20000.0,2,2,2,47,1,1,2,1
480,085d806,22/10/2019,04/07/2017,10000.0,1,3,1,92,1,1,1,1
2722,0868f00,16/10/2019,13/03/2019,15000.0,2,2,47,1,1,1,3,2
2252,086b6d7,28/10/2019,24/01/2018,15000.0,14,2,195,0,1,1,4,2
1944,087f870,16/10/2019,14/03/2019,17000.0,8,10,4,60,1,1,7,4
2579,0882bcf,20/09/2019,19/09/2017,17500.0,8,10,521,1,1,3,5,1
2903,08a0b4f,28/10/2019,23/11/2017,,1,3,29,39,1,1,5,1
4150,08a4051,25/09/2019,12/07/2018,10000.0,7,7,2,903,1,1,2,1
3419,08a9ed9,30/10/2019,29/03/2019,40000.0,2,2,457,0,1,1,2,1
4021,08b1aa3,12/09/2019,23/05/2018,40000.0,8,10,177,331,1,1,2,1
3892,08b28e9,10/10/2019,14/12/2018,98400.0,22,15,443,1,1,1,5,1
1782,08b79fa,16/10/2019,09/02/2018,,2,2,12,1435,1,1,1,1
1818,08b97b3,23/10/2019,27/02/2019,80000.0,2,2,9,41,1,1,6,2
1296,08d12c5,07/10/2019,17/10/2018,10000.0,2,2,2,0,1,1,2,1
385,08d663b,16/10/2019,19/09/2017,45000.0,17,20,22,513,1,3,1,1
200,08d9275,07/10/2019,28/02/2019,120000.0,1,3,404,2013,1,1,20,4
1436,08da36b,26/09/2019,20/06/2018,23000.0,1,3,149,1988,1,1,3,2
676,08dffc3,16/10/2019,09/03/2018,20000.0,35,16,47,12,1,1,3,2
2489,08ec5ea,01/10/2019,05/10/2018,35000.0,60,6,390,0,1,1,1,1
3785,08edf91,18/10/2019,23/08/2019,6500.0,4,4,10,912,1,1,11,3
2298,08f5826,07/10/2019,24/07/2018,100000.0,47,6,1,75,1,1,1,1
566,08f5a43,29/10/2019,20/12/2018,10000.0,29,6,50,1,1,1,3,2
4125,08f6844,03/10/2019,06/11/2018,15000.0,73,7,29,1091,1,1,5,1
2222,08f7ff4,25/10/2019,13/12/2018,20000.0,3,1,1,256,1,1,1,1
3278,08fe218,26/09/2019,20/12/2018,60000.0,80,4,21,157,1,1,5,1
3440,090414a,30/09/2019,18/04/2017,35000.0,7,7,76,350,1,1,3,2
3901,0916b93,17/10/2019,20/10/2017,15000.0,81,6,13,50,1,1,1,1
2520,091f5af,31/10/2019,04/04/2019,20000.0,7,7,401,1,1,1,10,4
443,092ac7c,28/10/2019,04/04/2019,10000.0,5,9,12,1536,1,1,1,1
2678,093656c,30/09/2019,27/11/2018,10000.0,17,20,23,59,1,1,13,3
739,0938b9e,23/10/2019,26/07/2018,6800.0,15,5,12,3146,1,1,1,1
383,093da73,15/10/2019,07/11/2018,9000.0,1,3,318,1778,1,4,4,2
849,094f54a,23/09/2019,05/10/2018,30000.0,3,1,5,1070,1,2,5,1
4094,09565ca,16/10/2019,25/08/2018,50000.0,4,4,31,942,1,1,2,1
1938,09568f6,02/09/2019,10/04/2018,15000.0,3,1,8,201,1,1,10,4
3666,0959b98,30/09/2019,04/10/2018,100000.0,1,3,3,1544,1,1,3,2
466,095a07e,28/10/2019,28/03/2019,45000.0,23,25,41,493,1,1,17,5
2235,09664d0,31/10/2019,30/03/2019,22000.0,1,3,13,1,1,1,1,1
1,0976a96,25/10/2019,08/12/2017,13000.0,4,4,3,286,1,1,3,2
3343,0976d04,15/10/2019,13/03/2018,20000.0,29,6,76,1526,1,1,3,2
392,0979a54,11/10/2019,10/06/2017,,71,5,71,2579,1,1,6,2
3513,097bca7,23/10/2019,27/03/2019,25000.0,11,8,10,150,1,1,11,3
4061,097d542,28/10/2019,25/08/2017,,19,17,40,0,1,1,1,1
3141,0988bd2,11/10/2019,25/09/2018,,108,5,189,10,1,1,2,1
2180,09924ae,28/10/2019,28/02/2019,20000.0,4,4,297,0,1,1,4,2
2896,0992c1a,10/09/2019,16/11/2017,10000.0,1,3,1,962,1,1,1,1
3257,099e43f,31/10/2019,29/04/2019,15000.0,132,6,3,37,1,1,3,2
86,099ea73,21/10/2019,02/02/2018,15000.0,3,1,21,2002,1,1,5,1
1634,09abe4b,12/09/2019,25/10/2018,15000.0,2,2,3,37,1,1,3,2
1725,09b995d,16/10/2019,28/01/2019,30000.0,16,14,28,2910,1,1,1,1
3713,09bdfd4,30/10/2019,21/12/2018,50000.0,1,3,1,2923,1,1,1,1
964,09cad3c,30/10/2019,19/12/2018,15000.0,4,4,91,599,1,1,6,2
2856,09d6528,30/10/2019,29/12/2017,70000.0,99,6,28,1,1,1,1,1
3264,09e68eb,09/10/2019,24/08/2018,41000.0,12,1,179,3,1,1,6,2
1836,09e7c0a,23/09/2019,03/08/2018,25000.0,31,4,32,605,1,1,16,3
1054,09ecac6,15/10/2019,05/10/2017,11350.0,10,12,3,118,1,1,3,2
3205,09f5011,19/09/2019,01/08/2018,8000.0,83,26,2,5,1,1,2,1
730,0a1d955,28/10/2019,03/12/2018,10000.0,3,1,35,325,1,1,4,2
4090,0a3bf8a,28/10/2019,15/02/2019,7000.0,18,21,4,2,1,1,7,4
892,0a4a02c,05/09/2019,07/11/2018,50000.0,3,1,62,2883,1,1,1,1
183,0a4a477,20/09/2019,11/10/2017,,71,5,795,0,1,3,6,2
1913,0a4e63c,16/10/2019,27/03/2019,20000.0,78,5,48,1372,1,1,2,1
4008,0a51208,25/09/2019,17/10/2018,30000.0,59,6,394,0,1,1,4,2
1925,0a52e1e,02/10/2019,07/01/2019,19000.0,56,6,4,2,1,1,7,4
923,0a5a20b,12/09/2019,19/11/2018,92000.0,26,18,2,1102,1,1,2,1
1358,0a5d6c7,21/10/2019,29/03/2019,15000.0,1,3,41,106,1,1,17,5
976,0a60ed8,07/10/2019,31/10/2018,,4,4,254,1,1,1,12,1
2820,0a6321c,06/09/2019,13/10/2017,45000.0,1,3,39,1,1,1,4,2
2635,0a69d48,31/10/2019,09/08/2018,,3,1,11,39,1,1,4,2
2712,0a728d0,23/10/2019,10/09/2018,55000.0,31,4,97,519,1,2,1,1
1359,0a86317,20/09/2019,26/01/2018,85000.0,2,2,1,256,1,1,1,1
2839,0a8b965,21/10/2019,27/02/2019,30000.0,3,1,290,0,1,1,5,1
2529,0a8d661,16/10/2019,06/03/2019,30000.0,2,2,12,1327,1,1,1,1
1192,0a9451e,02/10/2019,19/12/2018,20000.0,5,9,57,283,1,1,6,2
2868,0aaf9b7,30/10/2019,10/12/2018,10000.0,3,1,12,952,1,1,1,1
3723,0ab496b,08/10/2019,15/01/2019,,15,5,172,1,1,1,6,2
2690,0ab532a,28/10/2019,15/02/2019,5000.0,42,1,33,1,1,1,1,1
1989,0abac1e,21/10/2019,12/03/2019,3000.0,21,24,2,34,1,1,2,1
1089,0abba77,28/10/2019,07/01/2019,5000.0,18,21,76,236,1,1,3,2
309,0abe529,02/10/2019,02/06/2017,,1,3,2,22,1,1,2,1
2911,0ac7424,23/10/2019,22/03/2019,64000.0,2,2,78,149,1,1,8,3
3121,0acd4d7,02/10/2019,08/11/2016,,1,3,2,1,1,1,2,1
428,0ad77fa,11/09/2019,13/07/2018,4000.0,3,1,94,243,1,1,3,2
2374,0ae4018,20/09/2019,09/06/2017,30000.0,20,23,35,42,1,1,4,2
