,client_id,mes,total_rav_,margem_rav_,duration_rav_,tipo_rav_,data_de_desembolso_
267,008e4f2,2019-07-31,32438.49,1018.92,28.94,1,2019-10-23
268,008e4f2,2019-08-31,24681.27,772.79,28.85,1,2019-10-23
269,008e4f2,2019-09-30,27751.35,862.55,28.64,1,2019-10-23
270,0094f89,2018-09-30,11894.13,321.84,25.16,1,2019-09-12
271,0094f89,2018-10-31,13470.72,364.18,25.14,1,2019-09-12
272,0094f89,2018-11-30,12183.89,330.0,25.18,1,2019-09-12
273,0094f89,2018-12-31,13620.27,368.41,25.15,1,2019-09-12
274,0094f89,2019-01-31,15193.2,410.62,25.13,1,2019-09-12
275,0094f89,2019-02-28,10251.54,280.38,25.43,1,2019-09-12
276,0094f89,2019-03-31,16728.94,448.98,24.96,1,2019-09-12
277,0094f89,2019-04-30,11885.92,320.09,25.04,1,2019-09-12
278,0094f89,2019-05-31,11342.51,307.85,25.24,1,2019-09-12
279,0094f89,2019-06-30,10741.9,290.06,25.11,1,2019-09-12
280,0094f89,2019-07-31,12805.01,344.85,25.04,1,2019-09-12
281,0094f89,2019-08-31,10539.06,286.09,25.24,1,2019-09-12
282,0099a43,2018-12-31,3192.44,137.59,32.65,2,2019-10-07
283,0099a43,2019-01-31,7318.46,322.02,33.34,2,2019-10-07
284,0099a43,2019-02-28,5086.25,258.94,39.44,1,2019-10-07
285,0099a43,2019-03-31,8859.35,484.1,42.08,1,2019-10-07
286,0099a43,2019-04-30,10708.5,525.86,38.89,1,2019-10-07
287,0099a43,2019-05-31,10729.65,404.92,29.81,1,2019-10-07
288,0099a43,2019-06-30,7961.55,287.98,28.79,1,2019-10-07
289,0099a43,2019-07-31,12145.41,488.84,31.75,1,2019-10-07
290,0099a43,2019-08-31,3499.66,127.66,29.06,1,2019-10-07
291,0099a43,2019-09-30,2007.88,76.37,30.4,1,2019-10-07
292,00a12b3,2019-04-30,4912.77,550.03,91.98,1,2019-10-31
293,00a12b3,2019-05-31,11296.7,890.25,64.74,1,2019-10-31
294,00a12b3,2019-06-30,4598.9,408.35,72.95,1,2019-10-31
295,00a12b3,2019-07-31,7967.06,739.15,76.22,1,2019-10-31
296,00a12b3,2019-08-31,5912.09,428.57,59.55,1,2019-10-31
297,00a12b3,2019-09-30,9582.69,732.16,62.77,1,2019-10-31
298,00a14c1,2018-12-31,2729.66,70.66,44.13,1,2019-10-30
299,00a14c1,2019-01-31,10253.43,431.0,47.36,1,2019-10-30
300,00a14c1,2019-02-28,10491.11,326.74,53.09,1,2019-10-30
301,00a14c1,2019-03-31,6776.61,172.3,43.34,1,2019-10-30
302,00a14c1,2019-04-30,8910.86,220.5,42.18,1,2019-10-30
303,00a14c1,2019-05-31,25844.76,1420.27,93.68,1,2019-10-30
304,00a14c1,2019-06-30,15806.4,508.07,54.8,1,2019-10-30
305,00a14c1,2019-07-31,47196.57,2541.69,91.81,1,2019-10-30
306,00a14c1,2019-08-31,41666.19,2323.0,95.04,1,2019-10-30
307,00a14c1,2019-09-30,34068.45,1969.47,98.55,1,2019-10-30
308,00afc8b,2018-09-30,3808.03,122.52,25.32,1,2019-09-20
309,00afc8b,2018-10-31,3961.49,126.2,25.06,1,2019-09-20
310,00afc8b,2018-11-30,4553.65,145.37,25.12,1,2019-09-20
311,00afc8b,2018-12-31,4939.15,157.65,25.11,1,2019-09-20
312,00afc8b,2019-01-31,8087.08,259.67,25.26,1,2019-09-20
313,00afc8b,2019-02-28,5577.5,179.89,25.38,1,2019-09-20
314,00afc8b,2019-03-31,6627.05,210.48,24.99,1,2019-09-20
315,00afc8b,2019-04-30,6792.14,209.73,25.08,1,2019-09-20
316,00afc8b,2019-05-31,6651.64,180.19,25.19,1,2019-09-20
317,00afc8b,2019-06-30,6669.87,180.24,25.13,1,2019-09-20
318,00afc8b,2019-07-31,6276.22,169.54,25.12,1,2019-09-20
319,00afc8b,2019-08-31,7583.37,204.91,25.13,1,2019-09-20
332,00b7378,2018-10-31,9645.61,493.05,29.96,1,2019-10-16
333,00b7378,2018-11-30,12309.93,638.23,30.39,1,2019-10-16
334,00b7378,2018-12-31,16892.52,1009.4,35.03,1,2019-10-16
335,00b7378,2019-01-31,15910.74,698.1,25.72,1,2019-10-16
336,00b7378,2019-02-28,6844.37,296.89,25.43,1,2019-10-16
337,00b7378,2019-03-31,2019.87,102.33,29.7,1,2019-10-16
338,00b7378,2019-04-30,4444.98,200.05,26.38,1,2019-10-16
339,00b7378,2019-05-31,1813.34,78.15,25.26,1,2019-10-16
340,00b7378,2019-06-30,7213.08,369.46,30.02,1,2019-10-16
341,00b7378,2019-07-31,17896.43,796.33,26.08,1,2019-10-16
342,00b7378,2019-08-31,8747.51,538.45,36.08,1,2019-10-16
343,00b7378,2019-09-30,11789.28,506.21,25.17,1,2019-10-16
344,00b9ab4,2019-02-28,4267.32,128.12,15.83,2,2019-10-07
345,00b9ab4,2019-03-31,2800.61,76.27,14.36,2,2019-10-07
346,00b9ab4,2019-04-30,3323.93,114.46,18.16,2,2019-10-07
347,00b9ab4,2019-05-31,3736.56,126.71,17.88,2,2019-10-07
348,00b9ab4,2019-06-30,600.86,26.37,23.14,2,2019-10-07
349,00b9ab4,2019-07-31,6453.6,189.75,15.5,2,2019-10-07
350,00b9ab4,2019-08-31,3970.32,147.05,19.53,2,2019-10-07
351,00b9ab4,2019-09-30,4559.67,190.94,22.08,2,2019-10-07
352,00bafb2,2019-03-31,947.31,28.96,25.02,1,2019-10-28
353,00bafb2,2019-04-30,3179.88,97.15,25.0,1,2019-10-28
354,00bafb2,2019-05-31,3020.31,93.0,25.2,1,2019-10-28
355,00bafb2,2019-06-30,3444.6,105.95,25.17,1,2019-10-28
356,00bafb2,2019-07-31,3434.96,105.24,25.07,1,2019-10-28
357,00bafb2,2019-08-31,2862.13,87.88,25.13,1,2019-10-28
358,00bafb2,2019-09-30,4518.0,138.34,25.06,1,2019-10-28
359,00bcd0d,2018-10-31,3446.35,109.86,23.37,1,2019-10-15
360,00bcd0d,2018-11-30,2600.79,84.07,23.7,1,2019-10-15
361,00bcd0d,2018-12-31,3838.81,357.48,60.86,1,2019-10-15
362,00bcd0d,2019-01-31,852.72,27.0,23.22,1,2019-10-15
363,00bcd0d,2019-02-28,736.33,23.93,23.83,1,2019-10-15
364,00bcd0d,2019-03-31,1884.62,60.7,23.41,1,2019-10-15
365,00bcd0d,2019-04-30,2757.55,87.92,23.38,1,2019-10-15
366,00bcd0d,2019-05-31,2181.29,69.65,23.41,1,2019-10-15
367,00bcd0d,2019-06-30,983.95,31.18,23.24,1,2019-10-15
368,00bcd0d,2019-07-31,3358.86,113.13,23.96,1,2019-10-15
369,00bcd0d,2019-08-31,3491.92,111.39,23.39,1,2019-10-15
370,00bcd0d,2019-09-30,3843.53,127.55,24.03,1,2019-10-15
371,00cd72a,2018-09-30,7200.93,338.7,25.66,1,2019-09-20
372,00cd72a,2018-10-31,8859.61,437.45,26.93,1,2019-09-20
373,00cd72a,2018-11-30,9347.86,732.74,42.76,1,2019-09-20
374,00cd72a,2018-12-31,4184.1,194.51,25.36,1,2019-09-20
375,00cd72a,2019-01-31,3120.1,145.62,25.46,1,2019-09-20
376,00cd72a,2019-02-28,8735.65,413.15,25.8,1,2019-09-20
377,00cd72a,2019-03-31,5413.16,250.98,25.29,1,2019-09-20
378,00cd72a,2019-04-30,7505.49,394.6,28.68,1,2019-09-20
379,00cd72a,2019-05-31,10816.22,505.89,25.51,1,2019-09-20
380,00cd72a,2019-06-30,10270.39,476.55,25.31,1,2019-09-20
381,00cd72a,2019-07-31,4991.12,232.35,25.4,1,2019-09-20
382,00cd72a,2019-08-31,11518.57,539.83,25.57,1,2019-09-20
395,00d7990,2018-09-30,12252.13,1030.36,56.22,1,2019-09-23
396,00d7990,2018-10-31,13629.18,999.88,49.04,1,2019-09-23
397,00d7990,2018-11-30,20296.95,1850.31,60.94,1,2019-09-23
398,00d7990,2018-12-31,11738.8,810.0,46.13,1,2019-09-23
399,00d7990,2019-01-31,13073.34,1142.23,58.41,1,2019-09-23
400,00d7990,2019-02-28,7976.59,560.93,47.01,1,2019-09-23
401,00d7990,2019-03-31,18225.97,1670.4,61.27,1,2019-09-23
402,00d7990,2019-04-30,19213.8,1515.01,52.71,1,2019-09-23
403,00d7990,2019-05-31,9505.93,748.74,52.66,1,2019-09-23
404,00d7990,2019-06-30,13062.21,1131.56,57.91,1,2019-09-23
405,00d7990,2019-07-31,19694.48,1950.71,66.22,1,2019-09-23
406,00d7990,2019-08-31,11231.73,557.44,52.23,1,2019-09-23
407,00d7b02,2018-11-30,1197.1,82.63,50.43,1,2019-09-26
408,00d7b02,2018-12-31,3682.04,194.23,38.54,1,2019-09-26
409,00d7b02,2019-01-31,3125.76,281.07,65.7,1,2019-09-26
410,00d7b02,2019-02-28,1919.6,66.29,25.23,1,2019-09-26
411,00d7b02,2019-03-31,118.39,4.37,26.97,1,2019-09-26
412,00d7b02,2019-04-30,2610.62,108.82,30.45,1,2019-09-26
413,00d7b02,2019-05-31,591.1,20.65,25.53,1,2019-09-26
414,00d7b02,2019-06-30,703.88,32.9,34.15,1,2019-09-26
415,00d7b02,2019-07-31,4733.35,366.33,56.54,1,2019-09-26
416,00d7b02,2019-08-31,6071.97,516.27,62.12,1,2019-09-26
426,00dcaaf,2019-03-31,20.27,0.53,26.97,1,2019-10-28
427,00dcaaf,2019-04-30,932.23,22.68,24.89,1,2019-10-28
428,00dcaaf,2019-05-31,744.87,18.54,25.45,1,2019-10-28
429,00dcaaf,2019-06-30,455.03,11.26,25.3,1,2019-10-28
430,00dcaaf,2019-07-31,792.81,19.4,25.03,1,2019-10-28
431,00dcaaf,2019-08-31,913.26,22.25,24.92,1,2019-10-28
432,00dcaaf,2019-09-30,8325.39,963.4,118.36,1,2019-10-28
433,00de358,2018-10-31,17234.8,546.66,25.05,1,2019-10-15
434,00de358,2018-11-30,12563.16,400.08,25.15,1,2019-10-15
435,00de358,2018-12-31,12094.25,383.47,25.04,1,2019-10-15
436,00de358,2019-01-31,10098.55,321.1,25.11,1,2019-10-15
437,00de358,2019-02-28,12073.74,387.89,25.37,1,2019-10-15
438,00de358,2019-03-31,13157.85,411.07,24.94,1,2019-10-15
439,00de358,2019-04-30,11944.53,290.71,25.02,1,2019-10-15
440,00de358,2019-05-31,10866.57,264.69,25.04,1,2019-10-15
441,00de358,2019-06-30,11279.8,275.38,25.1,1,2019-10-15
442,00de358,2019-07-31,6545.67,158.48,24.89,1,2019-10-15
443,00de358,2019-08-31,7322.51,178.09,25.0,1,2019-10-15
444,00de358,2019-09-30,7241.33,176.35,25.03,1,2019-10-15
445,00df326,2018-09-30,2797.27,254.22,67.6,1,2019-09-20
446,00df326,2018-10-31,1308.91,103.42,58.77,1,2019-09-20
447,00df326,2018-11-30,14799.02,1587.55,79.8,1,2019-09-20
448,00df326,2018-12-31,10966.47,1056.53,70.91,1,2019-09-20
449,00df326,2019-01-31,19164.98,1814.18,70.01,1,2019-09-20
450,00df326,2019-02-28,8161.85,752.71,67.29,1,2019-09-20
451,00df326,2019-03-31,12047.38,1278.95,77.81,1,2019-09-20
452,00df326,2019-04-30,8583.38,796.13,67.92,1,2019-09-20
453,00df326,2019-05-31,13018.47,1404.29,78.76,1,2019-09-20
454,00df326,2019-06-30,12473.38,1124.27,66.28,1,2019-09-20
455,00df326,2019-07-31,11089.27,1161.64,76.53,1,2019-09-20
456,00df326,2019-08-31,10707.56,1113.14,76.13,1,2019-09-20
457,00dfe09,2018-10-31,11892.6,1175.01,67.6,1,2019-10-30
458,00dfe09,2018-11-30,11817.93,925.19,53.56,1,2019-10-30
459,00dfe09,2018-12-31,17384.83,1284.96,50.57,1,2019-10-30
460,00dfe09,2019-01-31,15283.14,1462.09,65.45,1,2019-10-30
461,00dfe09,2019-02-28,13279.46,889.06,62.09,1,2019-10-30
462,00dfe09,2019-03-31,13380.48,726.0,55.78,1,2019-10-30
463,00dfe09,2019-04-30,10492.3,645.65,63.26,1,2019-10-30
464,00dfe09,2019-05-31,5871.78,329.05,57.61,1,2019-10-30
465,00dfe09,2019-06-30,14255.85,828.7,59.76,1,2019-10-30
466,00dfe09,2019-07-31,7500.88,300.39,41.17,1,2019-10-30
467,00dfe09,2019-08-31,7284.5,369.71,52.17,1,2019-10-30
468,00dfe09,2019-09-30,7272.52,378.83,53.55,1,2019-10-30
469,00eeee3,2018-09-30,7921.32,495.79,27.71,2,2019-09-02
470,00eeee3,2018-10-31,13515.91,822.81,26.96,2,2019-09-02
471,00eeee3,2018-11-30,10873.78,702.07,28.59,2,2019-09-02
472,00eeee3,2018-12-31,8942.54,560.78,27.77,2,2019-09-02
473,00eeee3,2019-02-28,22038.9,876.22,17.6,2,2019-09-02
474,00eeee3,2019-06-30,6786.97,288.87,18.85,2,2019-09-02
475,00eeee3,2019-07-31,6555.81,387.51,26.17,2,2019-09-02
476,00eeee3,2019-08-31,5317.73,326.77,27.21,2,2019-09-02
477,00f983e,2018-10-31,11570.1,422.98,24.93,1,2019-10-31
478,00f983e,2018-11-30,14797.17,544.97,25.11,1,2019-10-31
479,00f983e,2018-12-31,11128.99,409.9,25.11,1,2019-10-31
480,00f983e,2019-01-31,11622.65,427.26,25.07,1,2019-10-31
481,00f983e,2019-02-28,8875.18,330.04,25.36,1,2019-10-31
482,00f983e,2019-03-31,9515.45,345.09,24.73,1,2019-10-31
483,00f983e,2019-04-30,12669.44,465.58,25.06,1,2019-10-31
484,00f983e,2019-05-31,12058.01,441.87,24.99,1,2019-10-31
485,00f983e,2019-06-30,3521.09,130.77,25.32,1,2019-10-31
486,00f983e,2019-07-31,10397.08,383.15,25.13,1,2019-10-31
487,00f983e,2019-08-31,7260.37,268.43,25.21,1,2019-10-31
488,00f983e,2019-09-30,8295.92,303.22,24.92,1,2019-10-31
498,00fd63e,2018-11-30,2429.53,89.71,25.26,1,2019-10-02
499,00fd63e,2018-12-31,3941.36,144.71,25.12,1,2019-10-02
500,00fd63e,2019-01-31,3830.95,139.87,24.98,1,2019-10-02
501,00fd63e,2019-02-28,2503.89,92.51,25.28,1,2019-10-02
502,00fd63e,2019-03-31,2863.21,104.35,24.93,1,2019-10-02
503,00fd63e,2019-04-30,4980.22,180.49,24.79,1,2019-10-02
504,00fd63e,2019-05-31,2122.05,77.38,24.95,1,2019-10-02
505,00fd63e,2019-06-30,32.07,1.14,24.36,1,2019-10-02
506,00fd63e,2019-07-31,1305.0,47.84,25.08,1,2019-10-02
507,00fd63e,2019-08-31,1556.85,56.93,25.02,1,2019-10-02
508,00fd63e,2019-09-30,1067.76,38.97,24.97,1,2019-10-02
521,01002b8,2018-10-31,12326.56,730.72,85.93,1,2019-10-07
522,01002b8,2018-11-30,16320.59,919.12,88.62,1,2019-10-07
523,01002b8,2018-12-31,16692.6,950.94,87.22,1,2019-10-07
524,01002b8,2019-01-31,14143.96,675.44,75.15,1,2019-10-07
525,01002b8,2019-02-28,8742.18,431.28,77.63,1,2019-10-07
526,01002b8,2019-03-31,14953.42,800.74,84.27,1,2019-10-07
527,01002b8,2019-04-30,32812.54,1782.34,85.48,1,2019-10-07
528,01002b8,2019-05-31,25971.13,1517.11,90.46,1,2019-10-07
529,01002b8,2019-06-30,18434.71,1217.56,102.18,1,2019-10-07
530,01002b8,2019-07-31,29718.44,1951.38,103.33,1,2019-10-07
531,01002b8,2019-08-31,42495.9,2190.23,81.1,1,2019-10-07
532,01002b8,2019-09-30,38140.02,1953.85,80.61,1,2019-10-07
533,0101f6b,2018-10-31,26680.21,853.7,47.09,1,2019-10-16
534,0101f6b,2018-11-30,31666.32,1113.53,51.75,1,2019-10-16
535,0101f6b,2018-12-31,70255.9,2481.94,51.99,1,2019-10-16
536,0101f6b,2019-01-31,19973.3,629.97,46.42,1,2019-10-16
537,0101f6b,2019-02-28,19984.13,602.88,44.4,1,2019-10-16
538,0101f6b,2019-03-31,28047.72,966.5,50.71,1,2019-10-16
539,0101f6b,2019-04-30,34148.05,1350.01,58.18,1,2019-10-16
540,0101f6b,2019-05-31,45961.51,1734.16,55.53,1,2019-10-16
541,0101f6b,2019-06-30,33317.83,1213.24,53.59,1,2019-10-16
542,0101f6b,2019-07-31,38504.6,1304.3,49.85,1,2019-10-16
543,0101f6b,2019-08-31,28608.66,944.29,48.58,1,2019-10-16
544,0101f6b,2019-09-30,35075.46,1237.96,50.88,1,2019-10-16
593,0113f90,2018-10-31,3812.29,143.78,31.11,1,2019-10-07
594,0113f90,2018-11-30,4965.77,155.75,25.87,1,2019-10-07
595,0113f90,2018-12-31,1946.47,59.02,25.01,1,2019-10-07
596,0113f90,2019-01-31,5434.05,164.76,25.01,1,2019-10-07
597,0113f90,2019-02-28,1721.96,54.88,26.29,1,2019-10-07
598,0113f90,2019-03-31,1525.44,46.25,25.01,1,2019-10-07
